"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"United Kingdom","Aruba","2015.0","Import","12.0","0.26","113.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Afghanistan","2015.0","Import","80.0","1.76","7208.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Angola","2015.0","Import","132.0","2.91","1006251.2","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Anguila","2015.0","Import","6.0","0.13","60.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Albania","2015.0","Import","68.0","1.5","4727.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Andorra","2015.0","Import","25.0","0.55","1046.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","United Arab Emirates","2015.0","Import","1249.0","27.55","1302559.11","0.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Argentina","2015.0","Import","304.0","6.71","864192.47","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Armenia","2015.0","Import","25.0","0.55","346.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","American Samoa","2015.0","Import","15.0","0.33","728.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Antarctica","2015.0","Import","2.0","0.04","23.37","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Antigua and Barbuda","2015.0","Import","23.0","0.51","2998.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Australia","2015.0","Import","1681.0","37.08","2881053.62","0.46","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Austria","2015.0","Import","2391.0","52.75","4692249.06","0.74","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Azerbaijan","2015.0","Import","89.0","1.96","62258.24","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Burundi","2015.0","Import","5.0","0.11","1416.61","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Belgium","2015.0","Import","3581.0","79.0","31402186.23","4.98","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Benin","2015.0","Import","7.0","0.15","1176.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bonaire","2015.0","Import","8.0","0.18","78.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Burkina Faso","2015.0","Import","13.0","0.29","1729.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bangladesh","2015.0","Import","496.0","10.94","3539788.22","0.56","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bulgaria","2015.0","Import","949.0","20.94","563619.57","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bahrain","2015.0","Import","171.0","3.77","195426.53","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bahamas, The","2015.0","Import","30.0","0.66","6948.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bosnia and Herzegovina","2015.0","Import","148.0","3.26","28111.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Belarus","2015.0","Import","89.0","1.96","51462.96","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Belize","2015.0","Import","23.0","0.51","123726.33","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bermuda","2015.0","Import","26.0","0.57","1872.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bolivia","2015.0","Import","70.0","1.54","57448.82","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Brazil","2015.0","Import","1102.0","24.31","3482088.69","0.55","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Barbados","2015.0","Import","68.0","1.5","7425.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Brunei","2015.0","Import","39.0","0.86","48298.48","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bhutan","2015.0","Import","4.0","0.09","230.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bunkers","2015.0","Import","1.0","0.02","27.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Bouvet Island","2015.0","Import","2.0","0.04","100.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Botswana","2015.0","Import","22.0","0.49","31188.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Central African Republic","2015.0","Import","4.0","0.09","98.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Canada","2015.0","Import","2138.0","47.17","10717280.37","1.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Cocos (Keeling) Islands","2015.0","Import","4.0","0.09","84.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Switzerland","2015.0","Import","2130.0","46.99","10226343.66","1.62","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Chile","2015.0","Import","306.0","6.75","790004.26","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","China","2015.0","Import","3763.0","83.01","62979613.76","9.99","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Cote d'Ivoire","2015.0","Import","95.0","2.1","291998.72","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Cameroon","2015.0","Import","134.0","2.96","148068.26","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Congo, Rep.","2015.0","Import","36.0","0.79","33310.56","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom","Cook Islands","2015.0","Import","5.0","0.11","62.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
