"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Georgia","Albania","2015.0","Import","3.0","0.08","122.95","0.0","6.0","1.55","64.0","10.94","6.25","82.81","0.0","12.0","0.0","4.2","19.53","103.43","6.0","1.55","64.0","10.94","6.25","82.81","0.0","12.0","0.0","4.2","19.53","103.43",""
"Georgia","Andorra","2015.0","Import","2.0","0.05","8.99","0.0","","","156.0","0.0","0.0","100.0","0.0","","","8.99","8.99","0.0","","","156.0","0.0","0.0","100.0","0.0","","","8.99","8.99","0.0",""
"Georgia","United Arab Emirates","2015.0","Import","1476.0","37.59","210180.77","2.72","1.23","0.36","3686.0","13.19","79.44","7.38","0.0","12.0","0.0","3808.67","10933.42","200483.57","1.23","0.36","3686.0","13.19","79.44","7.38","0.0","12.0","0.0","3808.67","10933.42","200483.57",""
"Georgia","Argentina","2015.0","Import","67.0","1.71","3202.97","0.04","2.08","4.11","314.0","16.56","50.64","32.8","0.0","12.0","0.0","10.59","1094.26","2082.09","2.08","4.11","314.0","16.56","50.64","32.8","0.0","12.0","0.0","10.59","1094.26","2082.09",""
"Georgia","Armenia","2015.0","Import","871.0","22.18","143695.44","1.86","0.0","0.0","2787.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","143626.08","2.69","1.38","2787.0","24.76","63.11","9.58","2.55","219.65","0.0","2631.77","20021.79","123604.29","2.0"
"Georgia","Australia","2015.0","Import","80.0","2.04","1258.89","0.02","1.93","0.75","495.0","13.33","33.74","52.93","0.0","12.0","0.0","36.21","113.38","1145.51","1.93","0.75","495.0","13.33","33.74","52.93","0.0","12.0","0.0","36.21","113.38","1145.51",""
"Georgia","Austria","2015.0","Import","1139.0","29.0","83764.8","1.08","0.0","0.0","3150.0","0.03","99.94","0.03","0.0","5.0","0.0","9.35","9.73","83620.04","1.54","2.11","3150.0","16.79","74.44","8.63","0.13","15.51","0.0","603.74","15778.89","67850.88","1.0"
"Georgia","Azerbaijan","2015.0","Import","1092.0","27.81","226400.93","2.93","0.0","0.0","3105.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","225409.05","1.5","1.54","3105.0","15.23","71.82","9.69","3.25","12.0","0.0","2064.18","32606.48","192802.56","2.0"
"Georgia","Belgium","2015.0","Import","1133.0","28.85","66847.47","0.86","0.0","0.0","3329.0","0.0","99.97","0.03","0.0","0.0","0.0","9.14","9.14","65859.36","1.64","1.45","3329.0","16.7","72.84","8.47","1.98","18.83","0.0","2752.29","11398.11","54470.38","1.0"
"Georgia","Burkina Faso","2015.0","Import","1.0","0.03","80.16","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","80.16","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","80.16",""
