"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Guinea","Angola","2015.0","Import","7.0","0.26","90.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Albania","2015.0","Import","2.0","0.07","2.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Andorra","2015.0","Import","5.0","0.18","184.99","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","United Arab Emirates","2015.0","Import","948.0","34.57","139267.33","6.51","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Argentina","2015.0","Import","4.0","0.15","341.75","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Antarctica","2015.0","Import","1.0","0.04","49.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Australia","2015.0","Import","81.0","2.95","1731.72","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Austria","2015.0","Import","13.0","0.47","215.08","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Azerbaijan","2015.0","Import","1.0","0.04","167.5","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Burundi","2015.0","Import","2.0","0.07","66.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Belgium","2015.0","Import","944.0","34.43","173457.14","8.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Benin","2015.0","Import","20.0","0.73","807.15","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Burkina Faso","2015.0","Import","16.0","0.58","500.01","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Bangladesh","2015.0","Import","15.0","0.55","152.55","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Bulgaria","2015.0","Import","4.0","0.15","208.05","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","Bahrain","2015.0","Import","1.0","0.04","1054.22","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
