"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Greece","Aruba","2015.0","Import","1.0","0.02","1.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Angola","2015.0","Import","1.0","0.02","0.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Albania","2015.0","Import","470.0","10.61","110624.98","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Andorra","2015.0","Import","6.0","0.14","76.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","United Arab Emirates","2015.0","Import","221.0","4.99","69078.88","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Argentina","2015.0","Import","62.0","1.4","137299.44","0.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Armenia","2015.0","Import","10.0","0.23","71.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Australia","2015.0","Import","242.0","5.47","9777.89","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Austria","2015.0","Import","1929.0","43.56","445801.03","0.94","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Azerbaijan","2015.0","Import","8.0","0.18","245618.43","0.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Belgium","2015.0","Import","2596.0","58.63","1555394.35","3.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Benin","2015.0","Import","2.0","0.05","539.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Burkina Faso","2015.0","Import","1.0","0.02","372.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bangladesh","2015.0","Import","136.0","3.07","30900.56","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bulgaria","2015.0","Import","2791.0","63.03","1536610.34","3.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bahrain","2015.0","Import","11.0","0.25","288.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bahamas, The","2015.0","Import","7.0","0.16","462.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bosnia and Herzegovina","2015.0","Import","52.0","1.17","11789.85","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Belarus","2015.0","Import","19.0","0.43","17275.35","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Belize","2015.0","Import","2.0","0.05","262.72","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bermuda","2015.0","Import","1.0","0.02","1.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bolivia","2015.0","Import","3.0","0.07","354.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Brazil","2015.0","Import","237.0","5.35","116770.82","0.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Barbados","2015.0","Import","2.0","0.05","3.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Bunkers","2015.0","Import","11.0","0.25","260.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Botswana","2015.0","Import","3.0","0.07","2678.62","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Central African Republic","2015.0","Import","1.0","0.02","95.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Canada","2015.0","Import","444.0","10.03","95468.43","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Switzerland","2015.0","Import","802.0","18.11","477857.56","1.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Chile","2015.0","Import","36.0","0.81","130937.38","0.28","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","China","2015.0","Import","2424.0","54.74","2831346.47","5.99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Cote d'Ivoire","2015.0","Import","14.0","0.32","17149.98","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Cameroon","2015.0","Import","14.0","0.32","3154.41","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Congo, Rep.","2015.0","Import","6.0","0.14","74659.72","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Colombia","2015.0","Import","37.0","0.84","17691.32","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Comoros","2015.0","Import","3.0","0.07","186.37","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Cape Verde","2015.0","Import","1.0","0.02","113.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Costa Rica","2015.0","Import","13.0","0.29","17665.36","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Cuba","2015.0","Import","8.0","0.18","12720.75","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Curaçao","2015.0","Import","2.0","0.05","10.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Cayman Islands","2015.0","Import","2.0","0.05","18341.85","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Cyprus","2015.0","Import","1408.0","31.8","352627.84","0.75","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Czech Republic","2015.0","Import","1452.0","32.79","311069.56","0.66","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Germany","2015.0","Import","3789.0","85.57","5014854.74","10.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Djibouti","2015.0","Import","1.0","0.02","183.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Denmark","2015.0","Import","1567.0","35.39","498580.51","1.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Dominican Republic","2015.0","Import","12.0","0.27","1228.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Algeria","2015.0","Import","10.0","0.23","146782.13","0.31","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","East Asia & Pacific","2015.0","Import","2721.0","61.45","5468318.95","11.57","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Europe & Central Asia","2015.0","Import","4408.0","99.55","33008334.24","69.84","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Ecuador","2015.0","Import","15.0","0.34","77066.62","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Egypt, Arab Rep.","2015.0","Import","317.0","7.16","729432.16","1.54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Spain","2015.0","Import","2844.0","64.23","1711880.52","3.62","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Estonia","2015.0","Import","138.0","3.12","11596.29","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Ethiopia(excludes Eritrea)","2015.0","Import","9.0","0.2","6231.06","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Finland","2015.0","Import","629.0","14.21","114378.29","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","France","2015.0","Import","2998.0","67.71","2099481.33","4.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Faeroe Islands","2015.0","Import","1.0","0.02","335.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Gabon","2015.0","Import","6.0","0.14","16210.06","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","United Kingdom","2015.0","Import","2899.0","65.47","1328635.66","2.81","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Georgia","2015.0","Import","25.0","0.56","11605.42","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Ghana","2015.0","Import","30.0","0.68","13797.61","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Gibraltar","2015.0","Import","9.0","0.2","37221.11","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Guinea","2015.0","Import","1.0","0.02","1.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Equatorial Guinea","2015.0","Import","2.0","0.05","98.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Guatemala","2015.0","Import","20.0","0.45","9274.17","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Guyana","2015.0","Import","1.0","0.02","8.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Hong Kong, China","2015.0","Import","480.0","10.84","41525.82","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Honduras","2015.0","Import","7.0","0.16","975.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Croatia","2015.0","Import","282.0","6.37","96754.7","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Haiti","2015.0","Import","1.0","0.02","0.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Hungary","2015.0","Import","1057.0","23.87","400297.29","0.85","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Indonesia","2015.0","Import","410.0","9.26","163500.97","0.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","India","2015.0","Import","1002.0","22.63","316555.81","0.67","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Ireland","2015.0","Import","594.0","13.41","347585.99","0.74","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Iran, Islamic Rep.","2015.0","Import","32.0","0.72","13914.49","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Iraq","2015.0","Import","6.0","0.14","3327711.71","7.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Iceland","2015.0","Import","26.0","0.59","6803.58","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Israel","2015.0","Import","556.0","12.56","494163.24","1.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Italy","2015.0","Import","3807.0","85.98","3710270.19","7.85","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Jamaica","2015.0","Import","3.0","0.07","14.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Jordan","2015.0","Import","38.0","0.86","5641.42","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Japan","2015.0","Import","615.0","13.89","276036.54","0.58","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Kazakhstan","2015.0","Import","9.0","0.2","1581159.17","3.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Kenya","2015.0","Import","28.0","0.63","2109.8","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Kyrgyz Republic","2015.0","Import","2.0","0.05","856.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Cambodia","2015.0","Import","54.0","1.22","19760.91","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Kiribati","2015.0","Import","1.0","0.02","1.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Korea, Rep.","2015.0","Import","699.0","15.79","1633414.75","3.46","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Kuwait","2015.0","Import","10.0","0.23","21418.13","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Lao PDR","2015.0","Import","1.0","0.02","64.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Lebanon","2015.0","Import","99.0","2.24","37835.2","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Liberia","2015.0","Import","9.0","0.2","41073.24","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Libya","2015.0","Import","3.0","0.07","294378.46","0.62","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Latin America & Caribbean","2015.0","Import","550.0","12.42","714407.15","1.51","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Sri Lanka","2015.0","Import","88.0","1.99","4735.02","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Lithuania","2015.0","Import","440.0","9.94","26295.97","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Luxembourg","2015.0","Import","418.0","9.44","150644.08","0.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Latvia","2015.0","Import","275.0","6.21","17136.28","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Macao","2015.0","Import","3.0","0.07","59.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Morocco","2015.0","Import","70.0","1.58","28162.41","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Moldova","2015.0","Import","60.0","1.36","35077.06","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Madagascar","2015.0","Import","19.0","0.43","1951.93","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Middle East & North Africa","2015.0","Import","1130.0","25.52","6342482.99","13.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Mexico","2015.0","Import","192.0","4.34","31755.6","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Marshall Islands","2015.0","Import","9.0","0.2","87937.19","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Macedonia, FYR","2015.0","Import","488.0","11.02","254020.71","0.54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Malta","2015.0","Import","180.0","4.07","22729.54","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Myanmar","2015.0","Import","19.0","0.43","2375.17","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greece","Mongolia","2015.0","Import","1.0","0.02","95.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
