"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Greenland","Afghanistan","2015.0","Import","1.0","0.04","0.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","United Arab Emirates","2015.0","Import","4.0","0.15","47.46","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Argentina","2015.0","Import","11.0","0.4","171.57","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Antigua and Barbuda","2015.0","Import","1.0","0.04","51.47","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Australia","2015.0","Import","15.0","0.55","264.84","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Austria","2015.0","Import","57.0","2.1","551.76","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Belgium","2015.0","Import","158.0","5.81","1275.1","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Burkina Faso","2015.0","Import","1.0","0.04","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Bangladesh","2015.0","Import","60.0","2.21","878.87","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Bulgaria","2015.0","Import","28.0","1.03","48.36","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Bahamas, The","2015.0","Import","3.0","0.11","16.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Bosnia and Herzegovina","2015.0","Import","6.0","0.22","4.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Belarus","2015.0","Import","1.0","0.04","0.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Bolivia","2015.0","Import","4.0","0.15","3.62","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Brazil","2015.0","Import","29.0","1.07","389.03","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Barbados","2015.0","Import","1.0","0.04","0.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Bunkers","2015.0","Import","2.0","0.07","8.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Canada","2015.0","Import","63.0","2.32","11552.24","1.97","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Switzerland","2015.0","Import","96.0","3.53","428.22","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Chile","2015.0","Import","24.0","0.88","880.42","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","China","2015.0","Import","953.0","35.06","16019.18","2.73","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Cote d'Ivoire","2015.0","Import","1.0","0.04","0.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Cameroon","2015.0","Import","2.0","0.07","1.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Colombia","2015.0","Import","5.0","0.18","5.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Costa Rica","2015.0","Import","4.0","0.15","33.13","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Cuba","2015.0","Import","1.0","0.04","1.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Curaçao","2015.0","Import","1.0","0.04","0.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Cyprus","2015.0","Import","3.0","0.11","7.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Greenland","Czech Republic","2015.0","Import","129.0","4.75","815.46","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
