"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Guatemala","Afghanistan","2015.0","Import","6.0","0.15","91.18","0.0","15.0","15.0","3.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.07","0.0","15.0","15.0","3.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.07","0.0",""
"Guatemala","Andorra","2015.0","Import","13.0","0.32","505.7","0.0","1.56","0.53","13.0","46.15","53.85","0.0","0.0","10.0","0.0","0.0","13.48","145.38","1.56","0.53","13.0","46.15","53.85","0.0","0.0","10.0","0.0","0.0","13.48","145.38",""
"Guatemala","United Arab Emirates","2015.0","Import","171.0","4.15","8453.54","0.05","7.1","4.06","308.0","60.39","39.61","0.0","0.0","15.0","0.0","0.0","2367.65","2359.59","7.1","4.06","308.0","60.39","39.61","0.0","0.0","15.0","0.0","0.0","2367.65","2359.59",""
"Guatemala","Argentina","2015.0","Import","482.0","11.69","73170.75","0.41","6.02","3.2","930.0","55.59","44.41","0.0","0.0","23.7","0.0","0.0","27159.43","30243.16","6.02","3.2","930.0","55.59","44.41","0.0","0.0","23.7","0.0","0.0","27159.43","30243.16",""
"Guatemala","American Samoa","2015.0","Import","1.0","0.02","1257.59","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guatemala","Antigua and Barbuda","2015.0","Import","1.0","0.02","0.46","0.0","10.0","6.22","2.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","4.82","0.0","10.0","6.22","2.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","4.82","0.0",""
"Guatemala","Australia","2015.0","Import","177.0","4.29","11477.59","0.07","5.51","4.53","373.0","52.55","47.45","0.0","0.0","15.0","0.0","0.0","2914.3","4587.01","5.51","4.53","373.0","52.55","47.45","0.0","0.0","15.0","0.0","0.0","2914.3","4587.01",""
"Guatemala","Austria","2015.0","Import","457.0","11.09","11116.88","0.06","3.12","0.57","736.0","46.47","53.53","0.0","0.0","15.0","0.0","0.0","2014.08","22074.63","4.61","0.79","736.0","47.69","52.31","0.0","0.0","15.0","0.0","0.0","2014.08","22074.63","1.0"
"Guatemala","Belgium","2015.0","Import","1033.0","25.06","173627.38","0.98","3.32","1.37","1824.0","46.71","53.29","0.0","0.0","40.0","0.0","0.0","33191.51","102718.75","4.99","1.89","1824.0","48.03","51.97","0.0","0.0","40.0","0.0","0.0","33498.52","102411.74","1.0"
"Guatemala","Bangladesh","2015.0","Import","13.0","0.32","741.59","0.0","11.25","13.26","30.0","90.0","10.0","0.0","0.0","15.0","0.0","0.0","549.99","28.22","11.25","13.26","30.0","90.0","10.0","0.0","0.0","15.0","0.0","0.0","549.99","28.22",""
"Guatemala","Bulgaria","2015.0","Import","47.0","1.14","2451.89","0.01","5.06","1.17","117.0","63.25","36.75","0.0","0.0","15.0","0.0","0.0","277.88","1038.78","8.24","1.6","117.0","64.1","35.9","0.0","0.0","20.0","0.0","0.0","283.58","1033.09","1.0"
"Guatemala","Bahamas, The","2015.0","Import","7.0","0.17","57.81","0.0","10.5","3.12","25.0","16.0","84.0","0.0","0.0","15.0","0.0","0.0","64.8","246.52","10.5","3.12","25.0","16.0","84.0","0.0","0.0","15.0","0.0","0.0","64.8","246.52",""
"Guatemala","Belize","2015.0","Import","264.0","6.4","5620.76","0.03","7.23","9.64","490.0","55.1","44.9","0.0","0.0","20.0","0.0","0.0","6176.73","1412.37","7.23","9.64","490.0","55.1","44.9","0.0","0.0","20.0","0.0","0.0","6176.73","1412.37",""
"Guatemala","Bolivia","2015.0","Import","35.0","0.85","300.71","0.0","8.5","0.42","93.0","74.19","25.81","0.0","0.0","15.0","0.0","0.0","130.17","1900.38","8.5","0.42","93.0","74.19","25.81","0.0","0.0","15.0","0.0","0.0","130.17","1900.38",""
"Guatemala","Brazil","2015.0","Import","1294.0","31.39","226976.05","1.29","5.22","3.37","2172.0","50.6","49.4","0.0","0.0","40.0","0.0","0.0","79442.12","122932.44","5.22","3.37","2172.0","50.6","49.4","0.0","0.0","40.0","0.0","0.0","79442.12","122932.44",""
"Guatemala","Barbados","2015.0","Import","28.0","0.68","3753.48","0.02","6.0","8.94","6.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","7198.1","933.22","6.0","8.94","6.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","7198.1","933.22",""
"Guatemala","Central African Republic","2015.0","Import","1.0","0.02","0.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guatemala","Canada","2015.0","Import","1054.0","25.57","94852.41","0.54","6.52","2.5","1732.0","54.79","45.21","0.0","0.0","40.0","0.0","0.0","26744.33","50914.49","6.52","2.5","1732.0","54.79","45.21","0.0","0.0","40.0","0.0","0.0","26744.33","50914.49",""
"Guatemala","Switzerland","2015.0","Import","628.0","15.24","23792.48","0.13","5.02","4.09","1012.0","49.41","50.59","0.0","0.0","15.0","0.0","0.0","10541.35","11534.41","5.02","4.09","1012.0","49.41","50.59","0.0","0.0","15.0","0.0","0.0","10541.35","11534.41",""
"Guatemala","Chile","2015.0","Import","575.0","13.95","113610.24","0.64","3.23","2.48","1065.0","44.6","55.4","0.0","0.0","15.0","0.0","0.0","62596.28","57415.05","6.99","7.59","1065.0","58.59","41.41","0.0","0.0","20.0","0.0","0.0","100425.56","19585.76","1.0"
"Guatemala","China","2015.0","Import","2635.0","63.93","1868217.13","10.59","5.44","5.09","4025.0","49.47","50.53","0.0","0.0","20.0","0.0","0.0","977219.48","819669.25","5.44","5.09","4025.0","49.47","50.53","0.0","0.0","20.0","0.0","0.0","977219.48","819669.25",""
"Guatemala","Cote d'Ivoire","2015.0","Import","8.0","0.19","218.2","0.0","4.0","0.03","9.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","0.15","56.79","4.0","0.03","9.0","33.33","66.67","0.0","0.0","15.0","0.0","0.0","0.15","56.79",""
"Guatemala","Colombia","2015.0","Import","1523.0","36.95","376080.53","2.13","4.32","3.32","2398.0","43.49","56.51","0.0","0.0","23.7","0.0","0.0","253732.32","123009.29","6.44","5.06","2398.0","56.76","43.24","0.0","0.0","23.7","0.0","0.0","296939.02","79802.59","1.0"
"Guatemala","Costa Rica","2015.0","Import","1875.0","45.49","599653.39","3.4","0.01","0.0","2898.0","0.03","99.97","0.0","0.0","15.0","0.0","0.0","7.45","532937.87","6.24","8.75","2898.0","54.35","45.65","0.0","0.0","40.0","0.0","0.0","457186.21","75759.11","1.0"
"Guatemala","Cuba","2015.0","Import","23.0","0.56","1184.18","0.01","2.83","0.44","66.0","24.24","75.76","0.0","0.0","20.0","0.0","0.0","160.93","995.07","6.13","3.78","66.0","60.61","39.39","0.0","0.0","20.0","0.0","0.0","581.56","574.43","1.0"
"Guatemala","Curaçao","2015.0","Import","14.0","0.34","9989.89","0.06","7.5","9.98","20.0","70.0","30.0","0.0","0.0","15.0","0.0","0.0","845.11","14.46","7.5","9.98","20.0","70.0","30.0","0.0","0.0","15.0","0.0","0.0","845.11","14.46",""
"Guatemala","Cayman Islands","2015.0","Import","1.0","0.02","23918.16","0.14","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.06","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.06","0.0",""
"Guatemala","Cyprus","2015.0","Import","16.0","0.39","70.75","0.0","1.77","0.64","46.0","52.17","47.83","0.0","0.0","10.5","0.0","0.0","7.44","45.7","2.72","1.03","46.0","52.17","47.83","0.0","0.0","15.0","0.0","0.0","7.44","45.7","1.0"
"Guatemala","Czech Republic","2015.0","Import","169.0","4.1","2042.43","0.01","3.92","6.15","265.0","57.36","42.64","0.0","0.0","15.0","0.0","0.0","905.13","857.38","5.78","6.75","265.0","58.11","41.89","0.0","0.0","15.0","0.0","0.0","905.13","857.38","1.0"
"Guatemala","Germany","2015.0","Import","2045.0","49.61","286207.53","1.62","3.29","1.51","3304.0","43.19","56.81","0.0","0.0","40.0","0.0","0.0","74627.23","198713.25","4.77","2.31","3304.0","43.83","56.17","0.0","0.0","40.0","0.0","0.0","76245.87","197094.61","1.0"
"Guatemala","Djibouti","2015.0","Import","3.0","0.07","467.39","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","391.72","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","391.72",""
"Guatemala","Dominica","2015.0","Import","2.0","0.05","3.28","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.16","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.16","0.0",""
"Guatemala","Denmark","2015.0","Import","343.0","8.32","40030.54","0.23","2.71","0.94","520.0","45.0","55.0","0.0","0.0","15.0","0.0","0.0","9781.19","44703.77","3.9","1.57","520.0","46.54","53.46","0.0","0.0","15.0","0.0","0.0","9884.25","44600.71","1.0"
"Guatemala","Dominican Republic","2015.0","Import","325.0","7.88","38786.33","0.22","1.42","0.7","905.0","7.07","92.93","0.0","0.0","40.0","0.0","0.0","4926.2","36647.81","8.13","4.92","905.0","64.97","35.03","0.0","0.0","40.0","0.0","0.0","38193.17","3380.85","1.0"
"Guatemala","Algeria","2015.0","Import","3.0","0.07","103.66","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","196.53","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","196.53",""
"Guatemala","East Asia & Pacific","2015.0","Import","2934.0","71.18","3175902.39","18.01","5.67","4.16","12955.0","52.1","47.9","0.0","0.0","40.0","0.0","0.0","1447398.99","1638863.91","5.53","4.16","4516.0","50.02","49.98","0.0","0.0","40.0","0.0","0.0","1447398.99","1638863.91",""
"Guatemala","Europe & Central Asia","2015.0","Import","3081.0","74.75","1447473.75","8.21","3.92","2.24","20681.0","49.73","50.27","0.0","0.0","40.0","0.0","0.0","531208.41","869207.41","5.53","3.33","4740.0","49.54","50.46","0.0","0.0","40.0","0.0","0.0","546216.48","854199.33","27.0"
"Guatemala","Ecuador","2015.0","Import","279.0","6.77","69072.94","0.39","5.31","0.72","605.0","42.81","57.19","0.0","0.0","15.0","0.0","0.0","10505.85","57519.05","9.0","10.04","605.0","70.25","29.75","0.0","0.0","15.0","0.0","0.0","62482.33","5542.56","1.0"
"Guatemala","Egypt, Arab Rep.","2015.0","Import","83.0","2.01","3142.73","0.02","9.15","4.84","145.0","67.59","32.41","0.0","0.0","15.0","0.0","0.0","1503.5","1708.87","9.15","4.84","145.0","67.59","32.41","0.0","0.0","15.0","0.0","0.0","1503.5","1708.87",""
