"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Guyana","Aruba","2015.0","Import","2.0","0.06","8.78","0.0","20.0","20.0","3.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","12.22","0.0","20.0","20.0","3.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","12.22","0.0",""
"Guyana","Afghanistan","2015.0","Import","1.0","0.03","0.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Anguila","2015.0","Import","9.0","0.29","16.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Andorra","2015.0","Import","3.0","0.1","5.29","0.0","12.0","9.62","13.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","144.11","0.0","12.0","9.62","13.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","144.11","0.0",""
"Guyana","United Arab Emirates","2015.0","Import","60.0","1.92","1920.98","0.09","14.86","15.01","153.0","96.08","3.92","0.0","0.0","100.0","0.0","0.0","1776.58","1.17","14.86","15.01","153.0","96.08","3.92","0.0","0.0","100.0","0.0","0.0","1776.58","1.17",""
"Guyana","Argentina","2015.0","Import","25.0","0.8","2960.64","0.14","14.88","33.53","39.0","76.92","23.08","0.0","0.0","40.0","0.0","0.0","3370.06","397.04","14.88","33.53","39.0","76.92","23.08","0.0","0.0","40.0","0.0","0.0","3370.06","397.04",""
"Guyana","Antigua and Barbuda","2015.0","Import","49.0","1.57","1251.78","0.06","0.0","0.0","164.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","232.49","14.7","14.12","164.0","89.02","10.98","0.0","0.0","45.0","0.0","0.0","202.3","30.19","1.0"
"Guyana","Australia","2015.0","Import","138.0","4.42","6819.86","0.31","9.33","1.88","178.0","84.83","15.17","0.0","0.0","45.0","0.0","0.0","3689.08","8653.27","9.33","1.88","178.0","84.83","15.17","0.0","0.0","45.0","0.0","0.0","3689.08","8653.27",""
"Guyana","Austria","2015.0","Import","17.0","0.55","386.53","0.02","4.67","16.43","40.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","367.66","22.88","8.1","17.15","40.0","80.0","20.0","0.0","0.0","20.0","0.0","0.0","376.34","14.2","1.0"
"Guyana","Belgium","2015.0","Import","93.0","2.98","9610.83","0.44","6.02","2.71","190.0","33.16","66.84","0.0","0.0","100.0","0.0","0.0","3622.15","9002.98","9.91","6.34","190.0","90.53","9.47","0.0","0.0","100.0","0.0","0.0","10328.91","2296.22","1.0"
"Guyana","Bangladesh","2015.0","Import","13.0","0.42","65.62","0.0","27.56","81.1","22.0","81.82","18.18","0.0","0.0","100.0","0.0","0.0","17.11","0.0","27.56","81.1","22.0","81.82","18.18","0.0","0.0","100.0","0.0","0.0","17.11","0.0",""
"Guyana","Bulgaria","2015.0","Import","4.0","0.13","1541.99","0.07","2.5","0.64","7.0","14.29","85.71","0.0","0.0","15.0","0.0","0.0","70.36","1589.84","3.33","0.85","7.0","14.29","85.71","0.0","0.0","20.0","0.0","0.0","70.36","1589.84","1.0"
"Guyana","Bahamas, The","2015.0","Import","39.0","1.25","16.79","0.0","0.0","0.0","11.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","88.15","9.44","8.16","11.0","90.91","9.09","0.0","0.0","20.0","0.0","0.0","88.15","0.0","1.0"
"Guyana","Bosnia and Herzegovina","2015.0","Import","2.0","0.06","14.52","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","50.91","0.0","5.0","5.0","2.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","50.91","0.0",""
"Guyana","Belize","2015.0","Import","17.0","0.55","3223.29","0.15","0.0","0.0","53.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","6042.37","14.31","8.7","53.0","84.91","15.09","0.0","0.0","40.0","0.0","0.0","5758.34","284.03","1.0"
"Guyana","Bolivia","2015.0","Import","2.0","0.06","188.07","0.01","18.06","19.83","11.0","90.91","9.09","0.0","0.0","20.0","0.0","0.0","107.75","0.0","18.06","19.83","11.0","90.91","9.09","0.0","0.0","20.0","0.0","0.0","107.75","0.0",""
"Guyana","Brazil","2015.0","Import","419.0","13.43","19218.3","0.88","9.69","9.78","707.0","87.98","12.02","0.0","0.0","100.0","0.0","0.0","17459.88","5678.69","9.69","9.78","707.0","87.98","12.02","0.0","0.0","100.0","0.0","0.0","17459.88","5678.69",""
"Guyana","Barbados","2015.0","Import","219.0","7.02","28453.65","1.3","0.0","0.0","533.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","28126.93","14.05","11.17","533.0","91.56","8.44","0.0","0.0","100.0","0.0","0.0","27821.97","304.96","1.0"
"Guyana","Central African Republic","2015.0","Import","1.0","0.03","11.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Canada","2015.0","Import","1057.0","33.89","20456.21","0.94","12.13","8.69","1722.0","89.78","10.16","0.06","0.0","100.0","0.0","0.52","15400.84","2205.15","12.13","8.69","1722.0","89.78","10.16","0.06","0.0","100.0","0.0","0.52","15400.84","2205.15",""
"Guyana","Switzerland","2015.0","Import","73.0","2.34","5815.46","0.27","8.28","2.72","95.0","89.47","10.53","0.0","0.0","100.0","0.0","0.0","1255.72","3221.59","8.28","2.72","95.0","89.47","10.53","0.0","0.0","100.0","0.0","0.0","1255.72","3221.59",""
"Guyana","Chile","2015.0","Import","133.0","4.26","10646.64","0.49","14.56","11.46","109.0","92.66","7.34","0.0","0.0","100.0","0.0","0.0","1579.1","191.66","14.56","11.46","109.0","92.66","7.34","0.0","0.0","100.0","0.0","0.0","1579.1","191.66",""
"Guyana","China","2015.0","Import","1835.0","58.83","113513.59","5.19","12.0","9.32","2814.0","91.54","8.42","0.04","0.0","100.0","0.0","3.74","108323.36","25443.3","12.0","9.32","2814.0","91.54","8.42","0.04","0.0","100.0","0.0","3.74","108323.36","25443.3",""
"Guyana","Cameroon","2015.0","Import","3.0","0.1","4.82","0.0","20.0","20.0","10.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","1.51","0.0","20.0","20.0","10.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","1.51","0.0",""
"Guyana","Congo, Rep.","2015.0","Import","2.0","0.06","22.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Colombia","2015.0","Import","126.0","4.04","17088.76","0.78","13.34","16.81","287.0","91.99","8.01","0.0","0.0","100.0","0.0","0.0","8425.83","1555.44","13.34","16.81","287.0","91.99","8.01","0.0","0.0","100.0","0.0","0.0","8425.83","1555.44",""
"Guyana","Cape Verde","2015.0","Import","1.0","0.03","24.33","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.74","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.74","0.0",""
"Guyana","Costa Rica","2015.0","Import","87.0","2.79","11391.07","0.52","11.79","15.5","209.0","94.26","5.74","0.0","0.0","100.0","0.0","0.0","16669.81","74.02","11.79","15.5","209.0","94.26","5.74","0.0","0.0","100.0","0.0","0.0","16669.81","74.02",""
"Guyana","Cuba","2015.0","Import","28.0","0.9","303.26","0.01","7.67","12.5","15.0","80.0","20.0","0.0","0.0","20.0","0.0","0.0","2.7","0.06","7.67","12.5","15.0","80.0","20.0","0.0","0.0","20.0","0.0","0.0","2.7","0.06",""
"Guyana","Curaçao","2015.0","Import","286.0","9.17","37084.58","1.7","15.5","8.39","540.0","95.19","4.63","0.19","0.0","100.0","0.0","0.04","1156.5","909.5","15.5","8.39","540.0","95.19","4.63","0.19","0.0","100.0","0.0","0.04","1156.5","909.5",""
"Guyana","Cayman Islands","2015.0","Import","7.0","0.22","7.79","0.0","100.0","100.0","2.0","100.0","0.0","0.0","0.0","100.0","100.0","0.0","0.1","0.0","100.0","100.0","2.0","100.0","0.0","0.0","0.0","100.0","100.0","0.0","0.1","0.0",""
"Guyana","Czech Republic","2015.0","Import","16.0","0.51","70.88","0.0","3.7","1.85","55.0","29.09","70.91","0.0","0.0","25.0","0.0","0.0","86.12","292.52","7.57","6.27","55.0","81.82","18.18","0.0","0.0","30.0","0.0","0.0","231.53","147.1","1.0"
"Guyana","Germany","2015.0","Import","363.0","11.64","19886.88","0.91","4.88","3.7","726.0","46.28","53.72","0.0","0.0","100.0","0.0","0.0","2524.54","4379.51","8.8","6.46","726.0","90.22","9.78","0.0","0.0","100.0","0.0","0.0","4442.61","2461.43","1.0"
"Guyana","Dominica","2015.0","Import","13.0","0.42","2905.18","0.13","0.0","0.0","43.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4814.98","12.01","12.39","43.0","93.02","6.98","0.0","0.0","40.0","0.0","0.0","3654.68","1160.3","1.0"
"Guyana","Denmark","2015.0","Import","182.0","5.84","3707.95","0.17","11.05","3.68","196.0","49.49","50.51","0.0","0.0","100.0","0.0","0.0","967.34","3913.94","14.58","5.13","196.0","92.35","7.65","0.0","0.0","100.0","0.0","0.0","1567.33","3313.95","1.0"
"Guyana","Dominican Republic","2015.0","Import","122.0","3.91","15754.45","0.72","13.95","10.63","244.0","95.49","4.51","0.0","0.0","40.0","0.0","0.0","12312.1","1860.33","13.95","10.63","244.0","95.49","4.51","0.0","0.0","40.0","0.0","0.0","12312.1","1860.33",""
"Guyana","East Asia & Pacific","2015.0","Import","1953.0","62.62","932269.65","42.65","11.54","10.38","5942.0","92.16","7.83","0.02","0.0","100.0","0.0","3.74","215259.65","63058.17","11.8","10.38","2995.0","91.15","8.81","0.02","0.0","100.0","0.0","3.74","215259.65","63058.17",""
"Guyana","Europe & Central Asia","2015.0","Import","1406.0","45.08","146430.42","6.7","6.94","6.17","5307.0","53.5","46.49","0.02","0.0","100.0","0.0","1.23","73205.21","71767.25","10.71","8.93","2280.0","89.43","10.53","0.02","0.0","100.0","0.0","1.23","103891.29","41081.18","26.0"
"Guyana","Ecuador","2015.0","Import","10.0","0.32","162.46","0.01","12.86","19.56","16.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","222.26","0.0","12.86","19.56","16.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","222.26","0.0",""
"Guyana","Egypt, Arab Rep.","2015.0","Import","9.0","0.29","2660.3","0.12","15.17","5.49","50.0","94.0","6.0","0.0","0.0","100.0","0.0","0.0","1418.55","1113.64","15.17","5.49","50.0","94.0","6.0","0.0","0.0","100.0","0.0","0.0","1418.55","1113.64",""
"Guyana","Spain","2015.0","Import","47.0","1.51","1621.14","0.07","7.58","8.82","143.0","58.04","41.96","0.0","0.0","100.0","0.0","0.0","989.7","490.21","11.52","12.42","143.0","90.21","9.79","0.0","0.0","100.0","0.0","0.0","1404.52","75.4","1.0"
"Guyana","Estonia","2015.0","Import","1.0","0.03","96.91","0.0","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","123.63","2.5","0.05","4.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","1.24","122.4","1.0"
"Guyana","Finland","2015.0","Import","20.0","0.64","1417.6","0.06","1.96","0.61","76.0","31.58","68.42","0.0","0.0","20.0","0.0","0.0","45.92","554.52","6.25","2.01","76.0","88.16","11.84","0.0","0.0","45.0","0.0","0.0","190.36","410.08","1.0"
"Guyana","France","2015.0","Import","123.0","3.94","2151.7","0.1","7.25","6.14","239.0","39.75","60.25","0.0","0.0","100.0","0.0","0.0","1251.2","2403.75","11.65","10.76","239.0","91.21","8.79","0.0","0.0","100.0","0.0","0.0","2796.1","858.85","1.0"
"Guyana","Micronesia, Fed. Sts.","2015.0","Import","1.0","0.03","14.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Gabon","2015.0","Import","1.0","0.03","2.35","0.0","13.52","16.56","12.0","91.67","8.33","0.0","0.0","100.0","0.0","0.0","31.56","4.48","13.52","16.56","12.0","91.67","8.33","0.0","0.0","100.0","0.0","0.0","31.56","4.48",""
"Guyana","United Kingdom","2015.0","Import","1028.0","32.96","40197.97","1.84","6.78","5.63","1565.0","50.42","49.52","0.06","0.0","100.0","0.0","1.23","27189.5","21526.98","10.6","8.19","1565.0","89.27","10.67","0.06","0.0","100.0","0.0","1.23","35052.55","13663.93","1.0"
"Guyana","Georgia","2015.0","Import","1.0","0.03","4.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Ghana","2015.0","Import","3.0","0.1","105.36","0.0","16.31","9.94","29.0","86.21","13.79","0.0","0.0","45.0","0.0","0.0","129.12","117.01","16.31","9.94","29.0","86.21","13.79","0.0","0.0","45.0","0.0","0.0","129.12","117.01",""
"Guyana","Gibraltar","2015.0","Import","1.0","0.03","0.87","0.0","21.25","22.71","4.0","100.0","0.0","0.0","0.0","45.0","5.0","0.0","44.02","0.0","21.25","22.71","4.0","100.0","0.0","0.0","0.0","45.0","5.0","0.0","44.02","0.0",""
"Guyana","Guinea","2015.0","Import","1.0","0.03","64.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
