"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Hong Kong, China","Aruba","2015.0","Import","4.0","0.1","149.46","0.0","0.0","0.0","15.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","145.43","0.0","0.0","15.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","145.43",""
"Hong Kong, China","Afghanistan","2015.0","Import","7.0","0.17","240.7","0.0","0.0","0.0","27.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","86.33","0.0","0.0","27.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","86.33",""
"Hong Kong, China","Angola","2015.0","Import","10.0","0.24","24112.54","0.0","0.0","0.0","42.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","24101.81","0.0","0.0","42.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","24101.81",""
"Hong Kong, China","Albania","2015.0","Import","11.0","0.26","448.49","0.0","0.0","0.0","23.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","439.52","0.0","0.0","23.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","439.52",""
"Hong Kong, China","Andorra","2015.0","Import","5.0","0.12","110.62","0.0","0.0","0.0","16.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","105.12","0.0","0.0","16.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","105.12",""
"Hong Kong, China","United Arab Emirates","2015.0","Import","635.0","15.15","4435823.15","0.79","0.0","0.0","1175.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4281411.89","0.0","0.0","1175.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4281411.89",""
"Hong Kong, China","Argentina","2015.0","Import","131.0","3.13","261910.07","0.05","0.0","0.0","292.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","256512.55","0.0","0.0","292.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","256512.55",""
"Hong Kong, China","Armenia","2015.0","Import","11.0","0.26","4792.66","0.0","0.0","0.0","19.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4787.62","0.0","0.0","19.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4787.62",""
"Hong Kong, China","American Samoa","2015.0","Import","4.0","0.1","191.82","0.0","0.0","0.0","11.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","185.55","0.0","0.0","11.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","185.55",""
"Hong Kong, China","Australia","2015.0","Import","1462.0","34.88","4833538.6","0.86","0.0","0.0","2593.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4690608.89","0.0","0.0","2593.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4690608.89",""
"Hong Kong, China","Austria","2015.0","Import","805.0","19.21","413067.15","0.07","0.0","0.0","1442.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","396375.76","0.0","0.0","1442.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","396375.76",""
"Hong Kong, China","Azerbaijan","2015.0","Import","22.0","0.52","2773.26","0.0","0.0","0.0","44.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2708.71","0.0","0.0","44.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2708.71",""
"Hong Kong, China","Burundi","2015.0","Import","2.0","0.05","34.51","0.0","0.0","0.0","7.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.44","0.0","0.0","7.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.44",""
"Hong Kong, China","Belgium","2015.0","Import","1349.0","32.19","3316654.8","0.59","0.0","0.0","2238.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","3189537.12","0.0","0.0","2238.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","3189537.12",""
"Hong Kong, China","Benin","2015.0","Import","4.0","0.1","127.96","0.0","0.0","0.0","14.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","126.9","0.0","0.0","14.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","126.9",""
"Hong Kong, China","Burkina Faso","2015.0","Import","9.0","0.21","213.32","0.0","0.0","0.0","31.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","212.91","0.0","0.0","31.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","212.91",""
"Hong Kong, China","Bangladesh","2015.0","Import","284.0","6.78","223283.65","0.04","0.0","0.0","649.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","222293.23","0.0","0.0","649.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","222293.23",""
"Hong Kong, China","Bulgaria","2015.0","Import","221.0","5.27","48922.29","0.01","0.0","0.0","479.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","46433.13","0.0","0.0","479.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","46433.13",""
"Hong Kong, China","Bahrain","2015.0","Import","124.0","2.96","42341.33","0.01","0.0","0.0","241.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","42138.05","0.0","0.0","241.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","42138.05",""
"Hong Kong, China","Bahamas, The","2015.0","Import","6.0","0.14","430.16","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","425.73","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","425.73",""
"Hong Kong, China","Bosnia and Herzegovina","2015.0","Import","19.0","0.45","887.78","0.0","0.0","0.0","52.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","472.45","0.0","0.0","52.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","472.45",""
"Hong Kong, China","Belarus","2015.0","Import","40.0","0.95","6722.91","0.0","0.0","0.0","73.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","6700.01","0.0","0.0","73.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","6700.01",""
"Hong Kong, China","Belize","2015.0","Import","7.0","0.17","587.03","0.0","0.0","0.0","11.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","578.27","0.0","0.0","11.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","578.27",""
"Hong Kong, China","Bolivia","2015.0","Import","16.0","0.38","5738.66","0.0","0.0","0.0","79.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4568.18","0.0","0.0","79.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4568.18",""
"Hong Kong, China","Brazil","2015.0","Import","378.0","9.02","2139327.46","0.38","0.0","0.0","716.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2118864.76","0.0","0.0","716.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2118864.76",""
"Hong Kong, China","Barbados","2015.0","Import","7.0","0.17","243.85","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","242.23","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","242.23",""
