"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Croatia","Afghanistan","2015.0","Import","3.0","0.07","5.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Albania","2015.0","Import","84.0","1.93","3909.77","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Andorra","2015.0","Import","3.0","0.07","1.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","United Arab Emirates","2015.0","Import","127.0","2.92","8834.83","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Argentina","2015.0","Import","43.0","0.99","37718.15","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Armenia","2015.0","Import","3.0","0.07","110.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Australia","2015.0","Import","383.0","8.81","2586.59","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Austria","2015.0","Import","3151.0","72.45","1881679.36","9.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Azerbaijan","2015.0","Import","3.0","0.07","391592.73","1.9","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Burundi","2015.0","Import","1.0","0.02","2.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Belgium","2015.0","Import","1830.0","42.08","360654.21","1.75","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Bangladesh","2015.0","Import","189.0","4.35","14358.66","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Bulgaria","2015.0","Import","783.0","18.0","106756.2","0.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Bahrain","2015.0","Import","4.0","0.09","11.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Bahamas, The","2015.0","Import","2.0","0.05","1.11","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Bosnia and Herzegovina","2015.0","Import","1652.0","37.99","551086.69","2.68","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Belarus","2015.0","Import","26.0","0.6","4848.35","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Bermuda","2015.0","Import","3.0","0.07","8.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Bolivia","2015.0","Import","2.0","0.05","54.61","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Brazil","2015.0","Import","171.0","3.93","43212.83","0.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Botswana","2015.0","Import","3.0","0.07","1.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Croatia","Canada","2015.0","Import","601.0","13.82","13418.47","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
