"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Hungary","Aruba","2015.0","Import","7.0","0.16","1.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Afghanistan","2015.0","Import","19.0","0.43","75.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Angola","2015.0","Import","1.0","0.02","0.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Albania","2015.0","Import","91.0","2.07","15670.39","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Andorra","2015.0","Import","1.0","0.02","0.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","United Arab Emirates","2015.0","Import","386.0","8.78","16584.66","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Argentina","2015.0","Import","108.0","2.46","13905.7","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Armenia","2015.0","Import","44.0","1.0","515.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Australia","2015.0","Import","488.0","11.11","38718.35","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Austria","2015.0","Import","3358.0","76.42","5997545.59","6.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Azerbaijan","2015.0","Import","43.0","0.98","78.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Belgium","2015.0","Import","2522.0","57.4","2125969.38","2.34","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Benin","2015.0","Import","1.0","0.02","0.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Bangladesh","2015.0","Import","48.0","1.09","5012.2","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Bulgaria","2015.0","Import","970.0","22.08","375401.93","0.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Bahrain","2015.0","Import","14.0","0.32","146.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Bahamas, The","2015.0","Import","28.0","0.64","1847.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Bosnia and Herzegovina","2015.0","Import","288.0","6.55","111757.42","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Belarus","2015.0","Import","294.0","6.69","84670.34","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Belize","2015.0","Import","10.0","0.23","334.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","Bermuda","2015.0","Import","4.0","0.09","56.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
