"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Indonesia","Afghanistan","2015.0","Import","1.0","0.02","248.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Angola","2015.0","Import","27.0","0.61","640309.0","0.45","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Anguila","2015.0","Import","5.0","0.11","1324.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Albania","2015.0","Import","37.0","0.84","180.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Andorra","2015.0","Import","10.0","0.23","50.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","United Arab Emirates","2015.0","Import","625.0","14.24","1356098.75","0.95","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Argentina","2015.0","Import","186.0","4.24","1298349.72","0.91","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Armenia","2015.0","Import","9.0","0.2","15.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","American Samoa","2015.0","Import","25.0","0.57","4730.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Antigua and Barbuda","2015.0","Import","5.0","0.11","34.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Australia","2015.0","Import","2108.0","48.02","4815794.52","3.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Austria","2015.0","Import","971.0","22.12","316176.42","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Azerbaijan","2015.0","Import","6.0","0.14","1284083.82","0.9","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Burundi","2015.0","Import","1.0","0.02","0.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Belgium","2015.0","Import","1477.0","33.64","559364.25","0.39","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Benin","2015.0","Import","1.0","0.02","32592.82","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Burkina Faso","2015.0","Import","1.0","0.02","48966.25","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bangladesh","2015.0","Import","277.0","6.31","59470.95","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bulgaria","2015.0","Import","300.0","6.83","54518.08","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bahrain","2015.0","Import","53.0","1.21","23442.98","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bahamas, The","2015.0","Import","6.0","0.14","97.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bosnia and Herzegovina","2015.0","Import","39.0","0.89","316.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Belarus","2015.0","Import","42.0","0.96","210918.95","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Belize","2015.0","Import","14.0","0.32","2329.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bermuda","2015.0","Import","3.0","0.07","1475.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bolivia","2015.0","Import","75.0","1.71","292.64","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Brazil","2015.0","Import","710.0","16.17","2425426.65","1.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Barbados","2015.0","Import","6.0","0.14","25.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Brunei","2015.0","Import","234.0","5.33","131437.23","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Bhutan","2015.0","Import","12.0","0.27","10.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Botswana","2015.0","Import","6.0","0.14","0.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Central African Republic","2015.0","Import","5.0","0.11","6284.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Canada","2015.0","Import","1094.0","24.92","1609251.59","1.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cocos (Keeling) Islands","2015.0","Import","6.0","0.14","3293.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Switzerland","2015.0","Import","1321.0","30.09","634401.7","0.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Chile","2015.0","Import","84.0","1.91","173847.94","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","China","2015.0","Import","3760.0","85.65","29411071.33","20.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cote d'Ivoire","2015.0","Import","15.0","0.34","122056.08","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cameroon","2015.0","Import","39.0","0.89","26509.84","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Congo, Rep.","2015.0","Import","16.0","0.36","126403.1","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cook Islands","2015.0","Import","5.0","0.11","11.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Colombia","2015.0","Import","94.0","2.14","6046.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Comoros","2015.0","Import","1.0","0.02","0.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cape Verde","2015.0","Import","4.0","0.09","2969.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Costa Rica","2015.0","Import","50.0","1.14","2893.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cuba","2015.0","Import","9.0","0.2","1973.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Curaçao","2015.0","Import","10.0","0.23","2455.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Christmas Island","2015.0","Import","4.0","0.09","6937.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cayman Islands","2015.0","Import","3.0","0.07","51.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Cyprus","2015.0","Import","30.0","0.68","3048.99","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Czech Republic","2015.0","Import","694.0","15.81","145392.56","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Germany","2015.0","Import","2722.0","62.0","3471690.5","2.43","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Dominica","2015.0","Import","3.0","0.07","171.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Denmark","2015.0","Import","797.0","18.15","201302.94","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Dominican Republic","2015.0","Import","57.0","1.3","3683.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Algeria","2015.0","Import","8.0","0.18","282771.49","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","East Asia & Pacific","2015.0","Import","4292.0","97.77","97333415.78","68.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Europe & Central Asia","2015.0","Import","3771.0","85.9","15167877.66","10.63","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Ecuador","2015.0","Import","78.0","1.78","22672.93","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Egypt, Arab Rep.","2015.0","Import","210.0","4.78","243252.02","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Eritrea","2015.0","Import","4.0","0.09","1.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Spain","2015.0","Import","1494.0","34.03","472547.24","0.33","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Estonia","2015.0","Import","133.0","3.03","3549.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Ethiopia(excludes Eritrea)","2015.0","Import","15.0","0.34","10962.78","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Finland","2015.0","Import","701.0","15.97","534092.09","0.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Fiji","2015.0","Import","24.0","0.55","718.72","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","France","2015.0","Import","2000.0","45.56","1337703.19","0.94","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Faeroe Islands","2015.0","Import","1.0","0.02","115.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Micronesia, Fed. Sts.","2015.0","Import","8.0","0.18","1713.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Gabon","2015.0","Import","16.0","0.36","296.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","United Kingdom","2015.0","Import","2128.0","48.47","818897.4","0.57","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Georgia","2015.0","Import","61.0","1.39","6302.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Ghana","2015.0","Import","19.0","0.43","22372.24","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Gibraltar","2015.0","Import","2.0","0.05","6.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Guinea","2015.0","Import","6.0","0.14","289.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Gambia, The","2015.0","Import","3.0","0.07","5.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Equatorial Guinea","2015.0","Import","3.0","0.07","68503.91","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Greece","2015.0","Import","195.0","4.44","76426.37","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Greenland","2015.0","Import","1.0","0.02","281.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Guatemala","2015.0","Import","37.0","0.84","18831.38","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Guam","2015.0","Import","2.0","0.05","21.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Guyana","2015.0","Import","1.0","0.02","0.19","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Hong Kong, China","2015.0","Import","2184.0","49.75","1817366.99","1.27","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Honduras","2015.0","Import","27.0","0.61","1345.59","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Croatia","2015.0","Import","116.0","2.64","17780.79","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Haiti","2015.0","Import","9.0","0.2","288.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
