"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"India","Aruba","2015.0","Import","2.0","0.05","250.7","0.0","4.58","5.55","4.0","100.0","0.0","0.0","0.0","10.0","2.5","0.0","250.69","0.0","4.58","5.55","4.0","100.0","0.0","0.0","0.0","10.0","2.5","0.0","250.69","0.0",""
"India","Afghanistan","2015.0","Import","50.0","1.16","317719.54","0.08","7.26","16.98","186.0","10.22","89.25","0.54","0.0","90.0","0.0","12864.0","82129.59","234658.48","18.56","37.42","186.0","92.47","6.45","1.08","0.0","100.0","0.0","17251.19","299780.72","17007.35","1.0"
"India","Angola","2015.0","Import","35.0","0.81","3169598.58","0.81","0.82","0.0","213.0","38.03","61.97","0.0","0.0","9.0","0.0","0.0","1075.11","3168523.42","7.43","0.34","213.0","99.06","0.94","0.0","0.0","10.0","0.0","0.0","122117.03","3047481.5","1.0"
"India","Anguila","2015.0","Import","14.0","0.32","5.99","0.0","9.62","9.73","62.0","100.0","0.0","0.0","0.0","10.0","7.5","0.0","5.89","0.0","9.62","9.73","62.0","100.0","0.0","0.0","0.0","10.0","7.5","0.0","5.89","0.0",""
"India","Albania","2015.0","Import","25.0","0.58","12282.56","0.0","6.43","3.1","138.0","86.96","13.04","0.0","0.0","15.0","0.0","0.0","12245.23","37.27","6.43","3.1","138.0","86.96","13.04","0.0","0.0","15.0","0.0","0.0","12245.23","37.27",""
"India","Andorra","2015.0","Import","2.0","0.05","5108.36","0.0","5.0","2.5","5.0","100.0","0.0","0.0","0.0","7.5","2.5","0.0","5108.36","0.0","5.0","2.5","5.0","100.0","0.0","0.0","0.0","7.5","2.5","0.0","5108.36","0.0",""
"India","United Arab Emirates","2015.0","Import","2137.0","49.55","20283244.41","5.19","11.28","6.42","5944.0","91.49","3.5","5.01","0.0","150.0","0.0","10390.13","14005760.68","6270298.44","11.28","6.42","5944.0","91.49","3.5","5.01","0.0","150.0","0.0","10390.13","14005760.68","6270298.44",""
"India","Argentina","2015.0","Import","242.0","5.61","2228104.31","0.57","14.48","7.83","933.0","96.89","3.11","0.0","0.0","150.0","0.0","0.0","2127329.31","96942.7","14.48","7.83","933.0","96.89","3.11","0.0","0.0","150.0","0.0","0.0","2127329.31","96942.7",""
"India","Armenia","2015.0","Import","14.0","0.32","14452.98","0.0","6.35","2.85","76.0","93.42","6.58","0.0","0.0","10.0","0.0","0.0","14389.85","63.05","6.35","2.85","76.0","93.42","6.58","0.0","0.0","10.0","0.0","0.0","14389.85","63.05",""
"India","American Samoa","2015.0","Import","10.0","0.23","1212.42","0.0","6.39","5.38","45.0","82.22","17.78","0.0","0.0","10.0","0.0","0.0","1209.45","2.96","6.39","5.38","45.0","82.22","17.78","0.0","0.0","10.0","0.0","0.0","1209.45","2.96",""
