"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Ireland","Aruba","2015.0","Import","4.0","0.09","45.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Afghanistan","2015.0","Import","34.0","0.78","103.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Angola","2015.0","Import","8.0","0.18","40.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Anguila","2015.0","Import","4.0","0.09","609.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Albania","2015.0","Import","37.0","0.85","4800.71","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Andorra","2015.0","Import","11.0","0.25","33.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","United Arab Emirates","2015.0","Import","552.0","12.61","38082.17","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Argentina","2015.0","Import","161.0","3.68","227126.07","0.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Armenia","2015.0","Import","14.0","0.32","63.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","American Samoa","2015.0","Import","4.0","0.09","158.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Fr. So. Ant. Tr","2015.0","Import","2.0","0.05","8.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Antigua and Barbuda","2015.0","Import","7.0","0.16","14559.58","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Australia","2015.0","Import","1078.0","24.63","111550.8","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Austria","2015.0","Import","917.0","20.96","290972.85","0.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Azerbaijan","2015.0","Import","7.0","0.16","31067.71","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Burundi","2015.0","Import","3.0","0.07","51.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Belgium","2015.0","Import","1917.0","43.81","1424508.57","1.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Benin","2015.0","Import","1.0","0.02","0.55","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Burkina Faso","2015.0","Import","10.0","0.23","70.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Bangladesh","2015.0","Import","342.0","7.82","189281.44","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Bulgaria","2015.0","Import","468.0","10.69","77028.88","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Bahrain","2015.0","Import","52.0","1.19","704.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Bahamas, The","2015.0","Import","17.0","0.39","18018.8","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Bosnia and Herzegovina","2015.0","Import","107.0","2.45","1517.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Saint Barthélemy","2015.0","Import","3.0","0.07","21.75","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
