"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Iceland","Afghanistan","2015.0","Import","4.0","0.1","21.57","0.0","0.0","0.0","24.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","21.57","5.0","2.51","24.0","8.33","91.67","0.0","0.0","10.0","0.0","0.0","5.42","16.15","1.0"
"Iceland","Albania","2015.0","Import","34.0","0.85","95.56","0.0","0.0","0.0","52.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","95.63","11.96","14.67","52.0","82.69","17.31","0.0","0.0","15.0","0.0","0.0","94.8","0.83","1.0"
"Iceland","Andorra","2015.0","Import","2.0","0.05","0.66","0.0","11.0","1.97","7.0","57.14","42.86","0.0","0.0","30.0","0.0","0.0","0.09","0.59","11.0","1.97","7.0","57.14","42.86","0.0","0.0","30.0","0.0","0.0","0.09","0.59",""
"Iceland","United Arab Emirates","2015.0","Import","114.0","2.84","299.16","0.01","0.9","0.92","200.0","0.0","99.5","0.0","0.5","116.55","0.0","0.0","2.36","297.72","6.65","6.44","200.0","47.5","52.0","0.0","0.5","116.55","0.0","0.0","174.27","125.81","1.0"
"Iceland","Argentina","2015.0","Import","76.0","1.89","2251.85","0.04","5.15","2.39","369.0","37.13","59.89","0.0","2.98","90.21","0.0","0.0","1671.92","576.86","5.15","2.39","369.0","37.13","59.89","0.0","2.98","90.21","0.0","0.0","1671.92","576.86",""
"Iceland","Australia","2015.0","Import","403.0","10.04","16368.02","0.31","5.38","0.68","1031.0","42.97","52.09","0.19","4.75","90.21","0.0","0.04","1665.3","14701.44","5.38","0.68","1031.0","42.97","52.09","0.19","4.75","90.21","0.0","0.04","1665.3","14701.44",""
"Iceland","Austria","2015.0","Import","890.0","22.17","25489.05","0.48","0.33","0.35","1935.0","0.62","95.56","0.0","3.82","162.7","0.0","0.0","736.53","24737.09","4.08","3.21","1935.0","39.69","56.49","0.0","3.82","162.7","0.0","0.0","9179.67","16293.95","1.0"
"Iceland","Azerbaijan","2015.0","Import","2.0","0.05","1.74","0.0","4.82","4.23","9.0","44.44","55.56","0.0","0.0","10.0","0.0","0.0","1.74","0.0","4.82","4.23","9.0","44.44","55.56","0.0","0.0","10.0","0.0","0.0","1.74","0.0",""
"Iceland","Belgium","2015.0","Import","1340.0","33.37","70633.87","1.34","0.83","1.54","2920.0","0.86","94.69","0.1","4.35","279.98","0.0","32.84","9297.28","61324.03","4.25","5.67","2920.0","32.98","62.33","0.24","4.45","279.98","0.0","33.21","41707.82","28913.49","1.0"
"Iceland","Benin","2015.0","Import","1.0","0.02","88.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Iceland","Burkina Faso","2015.0","Import","3.0","0.07","32.41","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","32.41","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","32.41","1.0"
"Iceland","Bangladesh","2015.0","Import","212.0","5.28","7408.75","0.14","0.0","0.0","380.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","7410.26","12.53","13.15","380.0","82.63","17.37","0.0","0.0","15.0","0.0","0.0","6793.62","616.64","1.0"
"Iceland","Bulgaria","2015.0","Import","394.0","9.81","4383.2","0.08","0.31","0.11","786.0","1.65","96.69","0.0","1.65","76.0","0.0","0.0","12.04","4371.93","6.58","6.43","786.0","48.85","49.49","0.0","1.65","76.0","0.0","0.0","3279.31","1104.66","1.0"
"Iceland","Bahrain","2015.0","Import","2.0","0.05","241.94","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","241.94","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","241.94","1.0"
"Iceland","Bosnia and Herzegovina","2015.0","Import","84.0","2.09","322.99","0.01","0.02","0.02","243.0","2.88","97.12","0.0","0.0","10.0","0.0","0.0","3.5","320.0","8.55","11.47","243.0","50.62","49.38","0.0","0.0","20.0","0.0","0.0","306.22","17.28","1.0"
"Iceland","Belarus","2015.0","Import","35.0","0.87","3802.25","0.07","5.16","0.12","104.0","63.46","36.54","0.0","0.0","15.0","0.0","0.0","49.21","3753.13","5.16","0.12","104.0","63.46","36.54","0.0","0.0","15.0","0.0","0.0","49.21","3753.13",""
"Iceland","Bermuda","2015.0","Import","1.0","0.02","0.09","0.0","0.0","0.0","8.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","102924.52","0.0","0.0","8.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","102924.52",""
"Iceland","Bolivia","2015.0","Import","25.0","0.62","116.27","0.0","8.24","8.29","34.0","44.12","55.88","0.0","0.0","55.0","0.0","0.0","37.95","78.34","8.24","8.29","34.0","44.12","55.88","0.0","0.0","55.0","0.0","0.0","37.95","78.34",""
"Iceland","Brazil","2015.0","Import","231.0","5.75","323356.62","6.12","4.5","0.01","461.0","31.45","66.38","0.0","2.17","185.59","0.0","0.0","587.95","307905.4","4.5","0.01","461.0","31.45","66.38","0.0","2.17","185.59","0.0","0.0","587.95","307905.4",""
"Iceland","Barbados","2015.0","Import","3.0","0.07","2.99","0.0","9.0","2.19","24.0","12.5","87.5","0.0","0.0","15.0","0.0","0.0","0.46","2.69","9.0","2.19","24.0","12.5","87.5","0.0","0.0","15.0","0.0","0.0","0.46","2.69",""
"Iceland","Canada","2015.0","Import","830.0","20.67","100098.89","1.89","0.24","0.83","1730.0","0.81","96.71","0.0","2.49","162.7","0.0","0.0","2904.32","97167.84","3.92","2.78","1730.0","38.84","58.67","0.0","2.49","162.7","0.0","0.0","81435.04","18637.12","1.0"
"Iceland","Switzerland","2015.0","Import","1113.0","27.72","95618.81","1.81","3.73","2.24","2182.0","35.15","61.64","0.0","3.21","106.99","0.0","0.0","25166.11","70455.87","3.86","2.26","2182.0","37.86","58.94","0.0","3.21","106.99","0.0","0.0","25252.17","70369.81","1.0"
"Iceland","Chile","2015.0","Import","51.0","1.27","10191.73","0.19","0.0","0.0","299.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","10057.22","2.71","0.45","299.0","28.76","71.24","0.0","0.0","30.0","0.0","0.0","2904.56","7152.66","1.0"
