"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Italy","Aruba","2015.0","Import","2.0","0.04","9.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Afghanistan","2015.0","Import","25.0","0.55","2007.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Angola","2015.0","Import","62.0","1.36","971599.91","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Albania","2015.0","Import","844.0","18.51","899128.45","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Andorra","2015.0","Import","63.0","1.38","1690.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","United Arab Emirates","2015.0","Import","922.0","20.22","943685.31","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Argentina","2015.0","Import","469.0","10.29","946568.14","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Armenia","2015.0","Import","60.0","1.32","34211.9","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","American Samoa","2015.0","Import","3.0","0.07","31.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Fr. So. Ant. Tr","2015.0","Import","1.0","0.02","5.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Antigua and Barbuda","2015.0","Import","6.0","0.13","422.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Australia","2015.0","Import","947.0","20.77","560817.42","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Austria","2015.0","Import","3744.0","82.12","9412096.8","2.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Azerbaijan","2015.0","Import","103.0","2.26","4804163.99","1.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Burundi","2015.0","Import","4.0","0.09","3544.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Belgium","2015.0","Import","3798.0","83.31","18988961.75","4.62","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Benin","2015.0","Import","21.0","0.46","6367.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Burkina Faso","2015.0","Import","50.0","1.1","5877.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bangladesh","2015.0","Import","407.0","8.93","1427165.06","0.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bulgaria","2015.0","Import","1949.0","42.75","2549582.1","0.62","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bahrain","2015.0","Import","154.0","3.38","87637.66","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bahamas, The","2015.0","Import","35.0","0.77","5155.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bosnia and Herzegovina","2015.0","Import","644.0","14.13","735312.99","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Belarus","2015.0","Import","206.0","4.52","125453.73","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Belize","2015.0","Import","5.0","0.11","245.47","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bermuda","2015.0","Import","7.0","0.15","8010.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bolivia","2015.0","Import","87.0","1.91","77349.2","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Brazil","2015.0","Import","1227.0","26.91","3552066.4","0.86","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Barbados","2015.0","Import","10.0","0.22","768.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Brunei","2015.0","Import","8.0","0.18","36.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Bhutan","2015.0","Import","6.0","0.13","3784.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Botswana","2015.0","Import","6.0","0.13","11871.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Central African Republic","2015.0","Import","6.0","0.13","413.99","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Canada","2015.0","Import","1398.0","30.66","1619006.95","0.39","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Switzerland","2015.0","Import","2828.0","62.03","11940468.14","2.91","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Chile","2015.0","Import","326.0","7.15","1234827.82","0.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","China","2015.0","Import","3566.0","78.22","31315511.42","7.62","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Cote d'Ivoire","2015.0","Import","108.0","2.37","336560.66","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Cameroon","2015.0","Import","142.0","3.11","230502.81","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Congo, Rep.","2015.0","Import","69.0","1.51","1084724.57","0.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Cook Islands","2015.0","Import","1.0","0.02","34.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Colombia","2015.0","Import","359.0","7.87","816152.9","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Comoros","2015.0","Import","6.0","0.13","238.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Cape Verde","2015.0","Import","14.0","0.31","2426.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Costa Rica","2015.0","Import","110.0","2.41","268924.9","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Cuba","2015.0","Import","57.0","1.25","24614.11","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Christmas Island","2015.0","Import","2.0","0.04","2.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Cayman Islands","2015.0","Import","9.0","0.2","34504.79","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Cyprus","2015.0","Import","504.0","11.06","87813.51","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Czech Republic","2015.0","Import","2823.0","61.92","6143255.92","1.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Germany","2015.0","Import","4440.0","97.39","63879366.85","15.54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Djibouti","2015.0","Import","9.0","0.2","1447.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Dominica","2015.0","Import","5.0","0.11","62.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Denmark","2015.0","Import","2512.0","55.1","2403233.98","0.58","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Dominican Republic","2015.0","Import","147.0","3.22","35712.03","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Algeria","2015.0","Import","147.0","3.22","3349721.35","0.82","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","East Asia & Pacific","2015.0","Import","3858.0","84.62","48217691.62","11.73","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Europe & Central Asia","2015.0","Import","4550.0","99.8","291131137.43","70.85","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Ecuador","2015.0","Import","142.0","3.11","345143.05","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Egypt, Arab Rep.","2015.0","Import","867.0","19.02","2201991.23","0.54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Eritrea","2015.0","Import","17.0","0.37","2808.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Spain","2015.0","Import","4063.0","89.12","20612169.64","5.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Estonia","2015.0","Import","687.0","15.07","150139.17","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Ethiopia(excludes Eritrea)","2015.0","Import","68.0","1.49","64357.33","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
