"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Jamaica","Aruba","2015.0","Import","6.0","0.17","1.54","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.54","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.54",""
"Jamaica","Albania","2015.0","Import","3.0","0.08","31.86","0.0","20.0","20.0","3.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","31.86","0.0","20.0","20.0","3.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","31.86","0.0",""
"Jamaica","United Arab Emirates","2015.0","Import","102.0","2.86","3708.46","0.07","11.41","10.95","203.0","64.53","35.47","0.0","0.0","40.0","0.0","0.0","2851.71","856.75","11.41","10.95","203.0","64.53","35.47","0.0","0.0","40.0","0.0","0.0","2851.71","856.75",""
"Jamaica","Argentina","2015.0","Import","52.0","1.46","4910.25","0.1","12.38","22.04","114.0","63.16","36.84","0.0","0.0","50.0","0.0","0.0","4628.47","281.78","12.38","22.04","114.0","63.16","36.84","0.0","0.0","50.0","0.0","0.0","4628.47","281.78",""
"Jamaica","Antigua and Barbuda","2015.0","Import","4.0","0.11","63.18","0.0","20.7","20.45","46.0","78.26","21.74","0.0","0.0","100.0","0.0","0.0","63.18","0.0","20.7","20.45","46.0","78.26","21.74","0.0","0.0","100.0","0.0","0.0","63.18","0.0",""
"Jamaica","Australia","2015.0","Import","116.0","3.25","25169.94","0.5","8.25","6.23","248.0","56.05","43.95","0.0","0.0","40.0","0.0","0.0","12853.21","12316.73","8.25","6.23","248.0","56.05","43.95","0.0","0.0","40.0","0.0","0.0","12853.21","12316.73",""
"Jamaica","Austria","2015.0","Import","119.0","3.33","10865.54","0.22","8.04","8.07","206.0","55.83","44.17","0.0","0.0","40.0","0.0","0.0","5639.47","5226.07","8.04","8.07","206.0","55.83","44.17","0.0","0.0","40.0","0.0","0.0","5639.47","5226.07",""
"Jamaica","Belgium","2015.0","Import","263.0","7.37","50077.86","1.0","8.11","11.81","540.0","60.56","39.44","0.0","0.0","40.0","0.0","0.0","41937.7","8140.17","8.11","11.81","540.0","60.56","39.44","0.0","0.0","40.0","0.0","0.0","41937.7","8140.17",""
"Jamaica","Bonaire","2015.0","Import","1.0","0.03","274.12","0.01","6.67","6.67","6.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","274.12","0.0","6.67","6.67","6.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","274.12","0.0",""
"Jamaica","Bangladesh","2015.0","Import","38.0","1.06","1313.59","0.03","15.32","9.58","126.0","79.37","20.63","0.0","0.0","40.0","0.0","0.0","1213.43","100.17","15.32","9.58","126.0","79.37","20.63","0.0","0.0","40.0","0.0","0.0","1213.43","100.17",""
