"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Jordan","Aruba","2015.0","Import","137.0","3.83","8585.7","0.04","11.96","30.6","228.0","52.19","47.81","0.0","0.0","150.0","0.0","0.0","6088.03","2512.94","11.96","30.6","228.0","52.19","47.81","0.0","0.0","150.0","0.0","0.0","6088.03","2512.94",""
"Jordan","Afghanistan","2015.0","Import","7.0","0.2","2565.47","0.01","16.5","0.39","11.0","63.64","36.36","0.0","0.0","30.0","0.0","0.0","41.3","2629.34","16.5","0.39","11.0","63.64","36.36","0.0","0.0","30.0","0.0","0.0","41.3","2629.34",""
"Jordan","Albania","2015.0","Import","7.0","0.2","168.17","0.0","23.13","19.12","13.0","76.92","23.08","0.0","0.0","30.0","0.0","0.0","239.54","0.0","23.13","19.12","13.0","76.92","23.08","0.0","0.0","30.0","0.0","0.0","239.54","0.0",""
"Jordan","United Arab Emirates","2015.0","Import","735.0","20.55","843019.25","4.12","0.43","0.92","1537.0","0.91","99.09","0.0","0.0","150.0","0.0","0.0","446782.08","641282.78","13.0","11.14","1537.0","56.21","43.79","0.0","0.0","150.0","0.0","0.0","791651.86","296413.0","1.0"
"Jordan","Argentina","2015.0","Import","81.0","2.27","273995.6","1.34","10.03","0.21","213.0","53.05","46.95","0.0","0.0","40.0","0.0","0.0","4268.99","319084.79","10.03","0.21","213.0","53.05","46.95","0.0","0.0","40.0","0.0","0.0","4268.99","319084.79",""
"Jordan","Armenia","2015.0","Import","3.0","0.08","32.78","0.0","23.75","20.1","5.0","80.0","20.0","0.0","0.0","30.0","0.0","0.0","43.41","0.0","23.75","20.1","5.0","80.0","20.0","0.0","0.0","30.0","0.0","0.0","43.41","0.0",""
"Jordan","Australia","2015.0","Import","225.0","6.29","219550.96","1.07","9.86","2.24","658.0","44.98","55.02","0.0","0.0","200.0","0.0","0.0","43521.38","146794.19","9.86","2.24","658.0","44.98","55.02","0.0","0.0","200.0","0.0","0.0","43521.38","146794.19",""
"Jordan","Austria","2015.0","Import","369.0","10.32","77646.1","0.38","2.18","0.9","901.0","35.29","64.71","0.0","0.0","200.0","0.0","0.0","25520.46","51096.87","9.78","8.08","901.0","45.73","54.27","0.0","0.0","200.0","0.0","0.0","43166.85","33450.48","1.0"
"Jordan","Azerbaijan","2015.0","Import","1.0","0.03","1.29","0.0","20.0","29.38","4.0","75.0","25.0","0.0","0.0","30.0","0.0","0.0","6.63","0.14","20.0","29.38","4.0","75.0","25.0","0.0","0.0","30.0","0.0","0.0","6.63","0.14",""
"Jordan","Belgium","2015.0","Import","554.0","15.49","316108.73","1.54","2.26","2.27","1219.0","33.63","66.37","0.0","0.0","200.0","0.0","0.0","143021.0","126126.5","9.68","10.01","1219.0","46.84","53.16","0.0","0.0","200.0","0.0","0.0","187873.71","81273.79","1.0"
"Jordan","Burkina Faso","2015.0","Import","2.0","0.06","16.2","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","74.65","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","74.65",""
"Jordan","Bangladesh","2015.0","Import","95.0","2.66","23440.67","0.11","17.52","17.57","136.0","69.85","30.15","0.0","0.0","150.0","0.0","0.0","17723.32","2949.75","17.52","17.57","136.0","69.85","30.15","0.0","0.0","150.0","0.0","0.0","17723.32","2949.75",""
"Jordan","Bulgaria","2015.0","Import","176.0","4.92","24002.37","0.12","5.23","1.27","377.0","41.11","58.89","0.0","0.0","200.0","0.0","0.0","5676.33","13260.4","13.96","10.4","377.0","55.44","44.56","0.0","0.0","200.0","0.0","0.0","10816.37","8120.36","1.0"
"Jordan","Bahrain","2015.0","Import","82.0","2.29","35801.91","0.17","0.06","0.88","195.0","1.03","98.97","0.0","0.0","40.0","0.0","0.0","33379.11","45946.47","13.67","11.05","195.0","61.03","38.97","0.0","0.0","40.0","0.0","0.0","56821.83","22503.75","2.0"
"Jordan","Bosnia and Herzegovina","2015.0","Import","12.0","0.34","970.26","0.0","14.43","9.57","59.0","62.71","37.29","0.0","0.0","30.0","0.0","0.0","631.11","619.75","14.43","9.57","59.0","62.71","37.29","0.0","0.0","30.0","0.0","0.0","631.11","619.75",""
"Jordan","Belarus","2015.0","Import","10.0","0.28","3199.84","0.02","6.79","0.54","11.0","36.36","63.64","0.0","0.0","30.0","0.0","0.0","27.11","978.8","6.79","0.54","11.0","36.36","63.64","0.0","0.0","30.0","0.0","0.0","27.11","978.8",""
"Jordan","Bolivia","2015.0","Import","4.0","0.11","23.02","0.0","2.5","3.56","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","1.91","0.77","2.5","3.56","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","1.91","0.77",""
"Jordan","Brazil","2015.0","Import","233.0","6.52","280485.71","1.37","11.92","11.31","529.0","50.47","49.53","0.0","0.0","200.0","0.0","0.0","177807.46","89579.02","11.92","11.31","529.0","50.47","49.53","0.0","0.0","200.0","0.0","0.0","177807.46","89579.02",""
"Jordan","Brunei","2015.0","Import","1.0","0.03","158.16","0.0","10.0","17.98","2.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","16.34","1.84","10.0","17.98","2.0","50.0","50.0","0.0","0.0","20.0","0.0","0.0","16.34","1.84",""
