"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Japan","Afghanistan","2015.0","Import","19.0","0.43","565.48","0.0","0.0","0.0","46.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","555.76","1.15","1.77","46.0","34.78","65.22","0.0","0.0","12.0","0.0","0.0","440.94","114.81","2.0"
"Japan","Angola","2015.0","Import","14.0","0.31","272147.8","0.04","0.0","0.0","44.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","271938.98","0.64","0.2","44.0","9.09","72.73","15.91","2.27","7.0","0.0","32209.28","33759.2","238179.79","2.0"
"Japan","Anguila","2015.0","Import","1.0","0.02","3.83","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","3.83","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","3.83","1.0"
"Japan","Albania","2015.0","Import","64.0","1.44","6732.51","0.0","24.1","9.04","195.0","73.85","21.03","0.0","5.13","2922.46","0.0","0.0","3703.17","3029.34","24.29","9.38","195.0","80.51","14.36","0.0","5.13","2922.46","0.0","0.0","3771.12","2961.38","1.0"
"Japan","Andorra","2015.0","Import","5.0","0.11","29.55","0.0","4.2","4.2","7.0","28.57","0.0","71.43","0.0","4.6","3.8","29.55","29.55","0.0","0.0","0.0","7.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","29.55","1.0"
"Japan","United Arab Emirates","2015.0","Import","236.0","5.29","23521356.9","3.76","3.66","0.09","557.0","42.19","50.09","3.95","3.77","395.25","0.0","1323446.82","1358205.81","22142924.77","3.66","0.09","557.0","42.19","50.09","3.95","3.77","395.25","0.0","1323446.82","1358205.81","22142924.77",""
"Japan","Argentina","2015.0","Import","260.0","5.83","787998.38","0.13","9.48","5.78","850.0","44.82","45.06","1.65","8.47","2922.46","0.0","13064.24","330115.47","451630.79","10.19","6.43","850.0","57.29","32.47","1.65","8.59","2922.46","0.0","13064.24","503145.72","278600.54","1.0"
"Japan","Armenia","2015.0","Import","37.0","0.83","10631.68","0.0","4.24","10.14","66.0","37.88","59.09","1.52","1.52","22.77","0.0","4.42","9796.01","789.11","4.55","10.15","66.0","50.0","46.97","1.52","1.52","22.77","0.0","4.42","9824.43","760.7","1.0"
"Japan","American Samoa","2015.0","Import","5.0","0.11","550.26","0.0","3.54","0.44","7.0","57.14","28.57","0.0","14.29","7.0","0.0","0.0","50.85","499.41","3.54","0.44","7.0","57.14","28.57","0.0","14.29","7.0","0.0","0.0","50.85","499.41","1.0"
"Japan","Antigua and Barbuda","2015.0","Import","3.0","0.07","132.98","0.0","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","132.98","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","132.98","1.0"
