"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Kazakhstan","Afghanistan","2015.0","Import","13.0","0.3","1963.56","0.01","4.04","0.09","79.0","60.76","34.18","0.0","5.06","20.0","0.0","0.0","39.2","1924.6","7.76","5.4","79.0","81.01","13.92","0.0","5.06","20.0","0.0","0.0","1963.8","0.0","1.0"
"Kazakhstan","Anguila","2015.0","Import","4.0","0.09","11.75","0.0","1.75","3.41","5.0","20.0","80.0","0.0","0.0","7.0","0.0","0.0","11.5","0.3","1.75","3.41","5.0","20.0","80.0","0.0","0.0","7.0","0.0","0.0","11.5","0.3","1.0"
"Kazakhstan","Albania","2015.0","Import","91.0","2.09","606.71","0.0","8.35","5.08","265.0","29.43","14.34","0.0","56.23","18.3","0.0","0.0","572.1","34.4","8.46","5.09","265.0","29.43","14.34","0.0","56.23","18.3","0.0","0.0","572.1","34.4","1.0"
"Kazakhstan","Andorra","2015.0","Import","3.0","0.07","0.17","0.0","4.18","4.18","18.0","61.11","38.89","0.0","0.0","11.7","0.0","0.0","0.1","0.1","4.18","4.18","18.0","61.11","38.89","0.0","0.0","11.7","0.0","0.0","0.1","0.1",""
"Kazakhstan","United Arab Emirates","2015.0","Import","1258.0","28.92","67079.01","0.22","8.02","7.5","3089.0","63.55","20.14","3.4","12.92","20.0","0.0","560.9","57211.6","9752.8","8.29","7.84","3089.0","63.55","20.14","3.4","12.92","21.7","0.0","560.9","57211.6","9752.8","1.0"
"Kazakhstan","Argentina","2015.0","Import","143.0","3.29","18495.75","0.06","6.5","6.73","689.0","66.18","26.56","1.45","5.81","60.0","0.0","5.2","16977.1","1518.2","7.08","7.53","689.0","66.18","26.56","1.45","5.81","80.0","0.0","5.2","16977.1","1518.2","1.0"
"Kazakhstan","Armenia","2015.0","Import","59.0","1.36","4255.61","0.01","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"Kazakhstan","Antigua and Barbuda","2015.0","Import","3.0","0.07","6.8","0.0","3.9","4.6","21.0","61.9","38.1","0.0","0.0","11.7","0.0","0.0","4.7","2.1","3.9","4.6","21.0","61.9","38.1","0.0","0.0","11.7","0.0","0.0","4.7","2.1","1.0"
"Kazakhstan","Australia","2015.0","Import","552.0","12.69","67033.83","0.22","6.69","3.58","1740.0","65.34","26.84","1.67","6.15","50.0","0.0","5299.8","53094.0","13913.0","6.69","3.58","1740.0","65.34","26.84","1.67","6.15","50.0","0.0","5299.8","53094.0","13913.0",""
"Kazakhstan","Austria","2015.0","Import","896.0","20.6","190775.97","0.62","6.93","5.53","2834.0","66.48","23.43","2.54","7.55","20.0","0.0","11919.6","153570.0","33892.3","6.93","5.53","2834.0","66.48","23.43","2.54","7.55","20.0","0.0","11919.6","153570.0","33892.3",""
