"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Kyrgyz Republic","Afghanistan","2015.0","Import","7.0","0.2","72.74","0.0","2.86","1.84","26.0","19.23","80.77","0.0","0.0","11.0","0.0","0.0","13.39","59.34","10.08","8.34","26.0","38.46","0.0","0.0","61.54","15.0","5.0","0.0","72.74","0.0","1.0"
"Kyrgyz Republic","Albania","2015.0","Import","3.0","0.09","0.9","0.0","2.62","2.02","21.0","0.0","0.0","0.0","100.0","7.62","0.11","0.0","0.9","0.0","2.62","2.02","21.0","0.0","0.0","0.0","100.0","7.62","0.11","0.0","0.9","0.0","1.0"
"Kyrgyz Republic","United Arab Emirates","2015.0","Import","186.0","5.36","5909.02","0.15","8.8","10.25","655.0","64.27","16.18","8.09","11.45","20.0","0.0","135.92","5636.73","272.3","9.23","10.95","655.0","64.27","16.18","8.09","11.45","20.0","0.0","135.92","5636.73","272.3","1.0"
"Kyrgyz Republic","Argentina","2015.0","Import","19.0","0.55","1175.43","0.03","6.83","2.34","131.0","70.99","17.56","0.0","11.45","60.0","0.0","0.0","559.43","615.99","7.59","2.87","131.0","70.99","17.56","0.0","11.45","80.0","0.0","0.0","559.43","615.99","1.0"
"Kyrgyz Republic","Armenia","2015.0","Import","8.0","0.23","331.18","0.01","0.0","0.0","30.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","331.17","7.61","1.85","30.0","46.67","16.67","0.0","36.67","14.6","0.0","0.0","331.17","0.0","2.0"
"Kyrgyz Republic","Australia","2015.0","Import","91.0","2.62","2827.79","0.07","4.87","1.71","461.0","67.03","29.28","3.04","0.65","18.0","0.0","125.05","788.31","2039.48","4.87","1.71","461.0","67.03","29.28","3.04","0.65","18.0","0.0","125.05","788.31","2039.48",""
"Kyrgyz Republic","Austria","2015.0","Import","275.0","7.92","9276.53","0.23","6.73","3.67","1084.0","57.38","25.18","6.64","10.79","18.0","0.0","155.34","7202.17","1920.35","6.73","3.67","1084.0","57.38","25.18","6.64","10.79","18.0","0.0","155.34","7202.17","1920.35",""
"Kyrgyz Republic","Azerbaijan","2015.0","Import","33.0","0.95","6071.73","0.15","0.01","0.39","118.0","0.0","98.31","0.0","1.69","0.92","0.0","0.0","5151.01","920.71","10.41","2.43","118.0","52.54","1.69","3.39","42.37","36.0","0.0","188.6","5990.47","81.26","1.0"
"Kyrgyz Republic","Belgium","2015.0","Import","206.0","5.93","10336.93","0.25","6.09","4.69","787.0","56.8","26.94","3.18","13.09","20.0","0.0","246.65","9073.98","1262.95","6.09","4.69","787.0","56.8","26.94","3.18","13.09","20.0","0.0","246.65","9073.98","1262.95",""
"Kyrgyz Republic","Bangladesh","2015.0","Import","116.0","3.34","1696.35","0.04","10.34","8.96","243.0","16.46","2.47","0.0","81.07","18.3","0.0","0.0","1696.33","0.02","10.38","8.96","243.0","17.28","1.65","0.0","81.07","18.3","0.0","0.0","1696.35","0.0","1.0"
"Kyrgyz Republic","Bulgaria","2015.0","Import","98.0","2.82","7144.79","0.18","6.84","3.0","382.0","52.88","28.27","0.52","18.32","17.0","0.0","165.03","5898.66","1246.12","6.84","3.0","382.0","52.88","28.27","0.52","18.32","17.0","0.0","165.03","5898.66","1246.12",""
"Kyrgyz Republic","Bahamas, The","2015.0","Import","1.0","0.03","1.54","0.0","0.42","0.42","6.0","0.0","0.0","0.0","100.0","0.42","0.42","0.0","1.54","0.0","0.42","0.42","6.0","0.0","0.0","0.0","100.0","0.42","0.42","0.0","1.54","0.0","1.0"
"Kyrgyz Republic","Bosnia and Herzegovina","2015.0","Import","11.0","0.32","11.18","0.0","6.47","13.35","29.0","34.48","31.03","0.0","34.48","17.7","0.0","0.0","10.61","0.57","6.79","13.36","29.0","34.48","31.03","0.0","34.48","17.7","0.0","0.0","10.61","0.57","1.0"
"Kyrgyz Republic","Belarus","2015.0","Import","365.0","10.51","53605.09","1.32","0.0","0.0","1421.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","53323.82","7.31","5.6","1421.0","64.74","24.28","1.13","9.85","80.0","0.0","16100.97","51432.97","1890.85","2.0"
"Kyrgyz Republic","Brazil","2015.0","Import","55.0","1.58","291.65","0.01","4.33","1.67","252.0","48.02","37.7","0.0","14.29","15.0","0.0","0.0","230.41","61.24","4.5","1.68","252.0","48.02","37.7","0.0","14.29","15.0","0.0","0.0","230.41","61.24","1.0"
"Kyrgyz Republic","Barbados","2015.0","Import","1.0","0.03","0.7","0.0","0.42","0.42","6.0","0.0","0.0","0.0","100.0","0.42","0.42","0.0","0.7","0.0","0.42","0.42","6.0","0.0","0.0","0.0","100.0","0.42","0.42","0.0","0.7","0.0","1.0"
"Kyrgyz Republic","Canada","2015.0","Import","273.0","7.86","11214.54","0.28","6.05","3.88","979.0","62.92","26.56","1.43","9.09","18.6","0.0","471.69","9127.73","2086.8","6.05","3.88","979.0","62.92","26.56","1.43","9.09","18.6","0.0","471.69","9127.73","2086.8",""
"Kyrgyz Republic","Switzerland","2015.0","Import","292.0","8.41","18356.9","0.45","5.98","3.01","941.0","63.97","29.01","0.21","6.8","18.0","0.0","67.13","16200.09","2147.1","5.98","3.01","941.0","63.97","29.01","0.21","6.8","18.0","0.0","67.13","16200.09","2147.1",""
"Kyrgyz Republic","Chile","2015.0","Import","14.0","0.4","774.16","0.02","7.04","2.56","154.0","96.1","3.9","0.0","0.0","16.3","0.0","0.0","248.33","525.83","7.69","2.82","154.0","96.1","3.9","0.0","0.0","16.3","0.0","0.0","248.33","525.83","1.0"
"Kyrgyz Republic","China","2015.0","Import","2524.0","72.67","1029111.0","25.3","7.24","7.28","6358.0","64.64","20.89","1.07","13.4","100.0","0.0","24054.46","836745.73","191733.68","7.55","7.68","6358.0","64.64","20.89","1.07","13.4","100.0","0.0","24054.46","836745.73","191733.68","1.0"
"Kyrgyz Republic","Cote d'Ivoire","2015.0","Import","1.0","0.03","0.01","0.0","7.5","7.5","1.0","0.0","0.0","0.0","100.0","7.5","7.5","0.0","0.01","0.0","10.0","10.0","1.0","0.0","0.0","0.0","100.0","10.0","10.0","0.0","0.01","0.0","1.0"
"Kyrgyz Republic","Cameroon","2015.0","Import","1.0","0.03","0.07","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.07","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.07","0.0","1.0"
"Kyrgyz Republic","Congo, Rep.","2015.0","Import","2.0","0.06","93.09","0.0","11.25","7.52","4.0","100.0","0.0","0.0","0.0","15.0","7.5","0.0","93.09","0.0","12.5","10.01","4.0","100.0","0.0","0.0","0.0","15.0","10.0","0.0","93.09","0.0","1.0"
"Kyrgyz Republic","Colombia","2015.0","Import","9.0","0.26","474.89","0.01","5.34","3.96","44.0","47.73","9.09","0.0","43.18","11.7","0.0","0.0","474.89","0.0","6.14","5.16","44.0","47.73","9.09","0.0","43.18","11.7","0.0","0.0","474.89","0.0","1.0"
"Kyrgyz Republic","Costa Rica","2015.0","Import","10.0","0.29","411.5","0.01","3.5","2.99","45.0","53.33","35.56","0.0","11.11","10.0","0.0","0.0","405.1","6.4","4.22","3.87","45.0","53.33","35.56","0.0","11.11","10.0","0.0","0.0","405.1","6.4","1.0"
