"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Cambodia","Angola","2015.0","Import","1.0","0.03","2.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Albania","2015.0","Import","1.0","0.03","1.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","United Arab Emirates","2015.0","Import","62.0","1.94","14876.42","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Argentina","2015.0","Import","13.0","0.41","5484.46","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","American Samoa","2015.0","Import","1.0","0.03","0.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Australia","2015.0","Import","335.0","10.47","31268.15","0.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Austria","2015.0","Import","55.0","1.72","7217.1","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Burundi","2015.0","Import","1.0","0.03","3.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Belgium","2015.0","Import","127.0","3.97","18810.99","0.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Benin","2015.0","Import","1.0","0.03","58.11","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Bangladesh","2015.0","Import","33.0","1.03","4662.42","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Bulgaria","2015.0","Import","9.0","0.28","156.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Bahrain","2015.0","Import","1.0","0.03","1.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Belarus","2015.0","Import","11.0","0.34","2162.68","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Belize","2015.0","Import","5.0","0.16","68.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Brazil","2015.0","Import","55.0","1.72","3851.7","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Brunei","2015.0","Import","1.0","0.03","1.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Canada","2015.0","Import","142.0","4.44","30758.26","0.29","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Switzerland","2015.0","Import","132.0","4.13","9292.91","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Chile","2015.0","Import","11.0","0.34","748.36","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","China","2015.0","Import","2401.0","75.03","3926204.04","36.8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Cameroon","2015.0","Import","1.0","0.03","4.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Congo, Rep.","2015.0","Import","1.0","0.03","14.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Colombia","2015.0","Import","15.0","0.47","349.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Cuba","2015.0","Import","4.0","0.13","40.11","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Curaçao","2015.0","Import","1.0","0.03","0.1","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Cyprus","2015.0","Import","10.0","0.31","991.56","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Czech Republic","2015.0","Import","22.0","0.69","228.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Germany","2015.0","Import","676.0","21.13","106178.86","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Djibouti","2015.0","Import","1.0","0.03","3.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Dominica","2015.0","Import","1.0","0.03","52.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Denmark","2015.0","Import","84.0","2.63","35593.21","0.33","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Dominican Republic","2015.0","Import","2.0","0.06","90.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Algeria","2015.0","Import","1.0","0.03","52.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","East Asia & Pacific","2015.0","Import","3081.0","96.28","9154794.67","85.81","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Europe & Central Asia","2015.0","Import","1481.0","46.28","406982.8","3.81","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Egypt, Arab Rep.","2015.0","Import","5.0","0.16","102.93","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Spain","2015.0","Import","188.0","5.88","6163.77","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Estonia","2015.0","Import","8.0","0.25","117.95","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Ethiopia(excludes Eritrea)","2015.0","Import","3.0","0.09","1.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Finland","2015.0","Import","25.0","0.78","5786.88","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Fiji","2015.0","Import","3.0","0.09","60.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","France","2015.0","Import","627.0","19.59","65469.09","0.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Gabon","2015.0","Import","1.0","0.03","831.55","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","United Kingdom","2015.0","Import","283.0","8.84","32186.57","0.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Georgia","2015.0","Import","3.0","0.09","14.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Ghana","2015.0","Import","6.0","0.19","635.22","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Guinea","2015.0","Import","1.0","0.03","0.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Greece","2015.0","Import","10.0","0.31","315.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Grenada","2015.0","Import","1.0","0.03","16.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Guatemala","2015.0","Import","1.0","0.03","19.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Hong Kong, China","2015.0","Import","1250.0","39.06","714281.22","6.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Honduras","2015.0","Import","4.0","0.13","13.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","Croatia","2015.0","Import","24.0","0.75","33.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
