"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Korea, Rep.","Aruba","2015.0","Import","8.0","0.18","56200.32","0.01","4.0","2.99","31.0","74.19","25.81","0.0","0.0","13.0","0.0","0.0","110711.28","412.76","4.0","2.99","31.0","74.19","25.81","0.0","0.0","13.0","0.0","0.0","110711.28","412.76",""
"Korea, Rep.","Afghanistan","2015.0","Import","31.0","0.69","62.53","0.0","2.84","2.24","193.0","7.25","92.75","0.0","0.0","754.3","0.0","0.0","9.3","18.96","11.02","9.4","193.0","70.98","23.83","0.0","5.18","754.3","0.0","0.0","26.25","2.01","1.0"
"Korea, Rep.","Angola","2015.0","Import","46.0","1.02","142541.23","0.03","1.22","0.06","154.0","19.48","80.52","0.0","0.0","20.0","0.0","0.0","950.81","148903.66","7.03","2.9","154.0","85.06","14.94","0.0","0.0","20.0","0.0","0.0","140449.13","9405.34","1.0"
"Korea, Rep.","Anguila","2015.0","Import","6.0","0.13","156.78","0.0","7.25","6.64","12.0","100.0","0.0","0.0","0.0","8.0","5.0","0.0","31.8","0.0","7.25","6.64","12.0","100.0","0.0","0.0","0.0","8.0","5.0","0.0","31.8","0.0",""
"Korea, Rep.","Albania","2015.0","Import","94.0","2.09","1927.57","0.0","12.01","16.34","278.0","80.58","19.42","0.0","0.0","754.3","0.0","0.0","2404.14","82.15","12.01","16.34","278.0","80.58","19.42","0.0","0.0","754.3","0.0","0.0","2404.14","82.15",""
"Korea, Rep.","Andorra","2015.0","Import","41.0","0.91","151.84","0.0","7.97","5.6","242.0","63.22","36.78","0.0","0.0","15.0","0.0","0.0","53.25","34.58","7.97","5.6","242.0","63.22","36.78","0.0","0.0","15.0","0.0","0.0","53.25","34.58",""
"Korea, Rep.","United Arab Emirates","2015.0","Import","767.0","17.02","8614672.39","1.97","12.05","2.92","2596.0","76.08","23.19","0.0","0.73","754.3","0.0","0.0","15771036.63","425027.36","12.05","2.92","2596.0","76.08","23.19","0.0","0.73","754.3","0.0","0.0","15771036.63","425027.36",""
"Korea, Rep.","Argentina","2015.0","Import","338.0","7.5","698864.64","0.16","18.27","121.88","1477.0","79.15","19.7","0.0","1.15","800.3","0.0","0.0","433781.73","67158.2","18.27","121.88","1477.0","79.15","19.7","0.0","1.15","800.3","0.0","0.0","433781.73","67158.2","1.0"
"Korea, Rep.","Armenia","2015.0","Import","77.0","1.71","3190.16","0.0","13.0","13.34","239.0","89.96","5.86","0.0","4.18","754.3","0.0","0.0","3068.66","142.35","13.0","13.34","239.0","89.96","5.86","0.0","4.18","754.3","0.0","0.0","3068.66","142.35",""
"Korea, Rep.","American Samoa","2015.0","Import","11.0","0.24","1906.14","0.0","8.57","5.13","85.0","78.82","21.18","0.0","0.0","50.0","0.0","0.0","1657.44","1.06","8.57","5.13","85.0","78.82","21.18","0.0","0.0","50.0","0.0","0.0","1657.44","1.06",""
