"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Lao PDR","United Arab Emirates","2015.0","Import","5.0","0.21","202.19","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lao PDR","Argentina","2015.0","Import","1.0","0.04","20.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lao PDR","Australia","2015.0","Import","64.0","2.71","8685.43","0.28","6.77","6.09","1450.0","100.0","0.0","0.0","0.0","40.0","5.0","0.0","18532.94","0.0","7.95","6.57","1450.0","100.0","0.0","0.0","0.0","40.0","5.0","0.0","18532.94","0.0","1.0"
"Lao PDR","Austria","2015.0","Import","10.0","0.42","383.57","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lao PDR","Belgium","2015.0","Import","33.0","1.39","13748.61","0.45","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lao PDR","Bangladesh","2015.0","Import","11.0","0.46","142.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lao PDR","Bulgaria","2015.0","Import","1.0","0.04","2880.0","0.09","25.0","19.86","16.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","93.97","0.0","25.0","19.86","16.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","93.97","0.0",""
"Lao PDR","Brazil","2015.0","Import","2.0","0.08","22.59","0.0","6.15","7.68","34.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","205.57","0.0","6.15","7.68","34.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","205.57","0.0",""
"Lao PDR","Brunei","2015.0","Import","1.0","0.04","43.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"Lao PDR","Canada","2015.0","Import","36.0","1.52","12000.85","0.39","6.92","8.02","286.0","100.0","0.0","0.0","0.0","40.0","5.0","0.0","4526.72","0.0","6.92","8.02","286.0","100.0","0.0","0.0","0.0","40.0","5.0","0.0","4526.72","0.0",""
