"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Lithuania","Afghanistan","2015.0","Import","1.0","0.02","4.61","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Angola","2015.0","Import","2.0","0.05","0.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Albania","2015.0","Import","6.0","0.14","583.57","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Andorra","2015.0","Import","2.0","0.05","0.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","United Arab Emirates","2015.0","Import","113.0","2.6","1992.87","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Argentina","2015.0","Import","76.0","1.75","36593.98","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Armenia","2015.0","Import","40.0","0.92","2032.41","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Australia","2015.0","Import","200.0","4.6","4753.43","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Austria","2015.0","Import","1728.0","39.73","374942.44","1.33","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","Azerbaijan","2015.0","Import","19.0","0.44","34684.29","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
