"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Luxembourg","Aruba","2015.0","Import","1.0","0.02","0.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Afghanistan","2015.0","Import","10.0","0.23","30.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Angola","2015.0","Import","1.0","0.02","0.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Albania","2015.0","Import","51.0","1.19","168.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Andorra","2015.0","Import","27.0","0.63","48.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","United Arab Emirates","2015.0","Import","124.0","2.88","27781.98","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Argentina","2015.0","Import","79.0","1.84","15635.95","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Armenia","2015.0","Import","16.0","0.37","509.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","American Samoa","2015.0","Import","4.0","0.09","7.25","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Antarctica","2015.0","Import","4.0","0.09","17.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Antigua and Barbuda","2015.0","Import","1.0","0.02","0.47","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","Australia","2015.0","Import","213.0","4.95","10568.0","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
