"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Latvia","Afghanistan","2015.0","Import","4.0","0.09","204.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Albania","2015.0","Import","6.0","0.14","173.81","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Andorra","2015.0","Import","2.0","0.05","0.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","United Arab Emirates","2015.0","Import","191.0","4.48","6498.32","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Argentina","2015.0","Import","50.0","1.17","8483.27","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Armenia","2015.0","Import","28.0","0.66","1929.53","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","American Samoa","2015.0","Import","1.0","0.02","0.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Australia","2015.0","Import","112.0","2.63","1056.34","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Austria","2015.0","Import","1428.0","33.49","167827.55","1.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Azerbaijan","2015.0","Import","11.0","0.26","764.32","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Belgium","2015.0","Import","1805.0","42.33","229252.86","1.66","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Burkina Faso","2015.0","Import","1.0","0.02","59.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Bangladesh","2015.0","Import","59.0","1.38","2533.66","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Bulgaria","2015.0","Import","398.0","9.33","25894.88","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Bahrain","2015.0","Import","8.0","0.19","50.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Bahamas, The","2015.0","Import","1.0","0.02","0.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Bosnia and Herzegovina","2015.0","Import","20.0","0.47","256.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Belarus","2015.0","Import","870.0","20.4","332695.73","2.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Bolivia","2015.0","Import","1.0","0.02","0.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Brazil","2015.0","Import","88.0","2.06","4132.79","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Brunei","2015.0","Import","1.0","0.02","0.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Canada","2015.0","Import","416.0","9.76","19183.01","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Switzerland","2015.0","Import","794.0","18.62","117097.06","0.85","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Chile","2015.0","Import","26.0","0.61","4293.92","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","China","2015.0","Import","1927.0","45.19","460634.99","3.33","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","Cote d'Ivoire","2015.0","Import","2.0","0.05","1.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
