"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Macao","United Arab Emirates","2015.0","Import","3.0","0.13","51.32","0.0","0.0","0.0","34.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","387.82","0.0","0.0","34.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","387.82",""
"Macao","Australia","2015.0","Import","92.0","4.05","17598.61","0.17","0.0","0.0","771.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","83491.91","0.0","0.0","771.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","83491.91",""
"Macao","Austria","2015.0","Import","99.0","4.35","1729.33","0.02","0.0","0.0","306.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","13549.01","0.0","0.0","306.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","13549.01",""
"Macao","Belgium","2015.0","Import","37.0","1.63","1678.19","0.02","0.0","0.0","250.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","14672.11","0.0","0.0","250.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","14672.11",""
"Macao","Bangladesh","2015.0","Import","4.0","0.18","39.92","0.0","0.0","0.0","79.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","704.09","0.0","0.0","79.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","704.09",""
"Macao","Bulgaria","2015.0","Import","3.0","0.13","18.35","0.0","0.0","0.0","162.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1877.82","0.0","0.0","162.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1877.82",""
"Macao","Bosnia and Herzegovina","2015.0","Import","1.0","0.04","27.05","0.0","0.0","0.0","27.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","430.6","0.0","0.0","27.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","430.6",""
"Macao","Bolivia","2015.0","Import","2.0","0.09","19.57","0.0","0.0","0.0","33.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","23.13","0.0","0.0","33.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","23.13",""
"Macao","Brazil","2015.0","Import","4.0","0.18","193.78","0.0","0.0","0.0","127.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","41309.71","0.0","0.0","127.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","41309.71",""
"Macao","Bhutan","2015.0","Import","1.0","0.04","1.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
