"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Morocco","Aruba","2015.0","Import","1.0","0.02","0.08","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Angola","2015.0","Import","2.0","0.05","32.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Albania","2015.0","Import","51.0","1.19","1388.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Andorra","2015.0","Import","6.0","0.14","146.75","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","United Arab Emirates","2015.0","Import","683.0","15.99","542151.72","1.44","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"Morocco","Argentina","2015.0","Import","166.0","3.89","411654.7","1.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Armenia","2015.0","Import","2.0","0.05","0.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","American Samoa","2015.0","Import","3.0","0.07","0.3","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Fr. So. Ant. Tr","2015.0","Import","1.0","0.02","0.03","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Australia","2015.0","Import","272.0","6.37","24562.5","0.07","22.24","53.05","322.0","100.0","0.0","0.0","0.0","200.0","2.5","0.0","9726.12","0.0","22.24","53.05","322.0","100.0","0.0","0.0","0.0","200.0","2.5","0.0","9726.12","0.0",""
"Morocco","Austria","2015.0","Import","912.0","21.35","182779.62","0.49","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Azerbaijan","2015.0","Import","9.0","0.21","61.47","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Belgium","2015.0","Import","2032.0","47.57","617595.39","1.64","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Benin","2015.0","Import","7.0","0.16","211.82","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Burkina Faso","2015.0","Import","12.0","0.28","1449.95","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Bangladesh","2015.0","Import","291.0","6.81","29291.31","0.08","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Bulgaria","2015.0","Import","564.0","13.2","76558.63","0.2","1.21","1.67","1269.0","4.41","95.59","0.0","0.0","40.0","0.0","0.0","11622.67","38447.65","12.66","11.84","1269.0","100.0","0.0","0.0","0.0","40.0","2.5","0.0","50070.32","0.0","1.0"
"Morocco","Bahrain","2015.0","Import","66.0","1.54","67977.83","0.18","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Bahamas, The","2015.0","Import","2.0","0.05","17279.63","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Bosnia and Herzegovina","2015.0","Import","70.0","1.64","9890.35","0.03","8.75","2.59","47.0","100.0","0.0","0.0","0.0","25.0","2.5","0.0","5714.88","0.0","8.75","2.59","47.0","100.0","0.0","0.0","0.0","25.0","2.5","0.0","5714.88","0.0",""
"Morocco","Belarus","2015.0","Import","42.0","0.98","2922.56","0.01","10.75","3.54","159.0","100.0","0.0","0.0","0.0","25.0","2.5","0.0","3007.3","0.0","10.75","3.54","159.0","100.0","0.0","0.0","0.0","25.0","2.5","0.0","3007.3","0.0",""
"Morocco","Belize","2015.0","Import","7.0","0.16","397.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Bermuda","2015.0","Import","1.0","0.02","14.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Bolivia","2015.0","Import","15.0","0.35","406.47","0.0","17.21","24.16","14.0","100.0","0.0","0.0","0.0","25.0","2.5","0.0","352.81","0.0","17.21","24.16","14.0","100.0","0.0","0.0","0.0","25.0","2.5","0.0","352.81","0.0",""
"Morocco","Brazil","2015.0","Import","603.0","14.12","624700.72","1.66","12.27","19.56","1297.0","100.0","0.0","0.0","0.0","200.0","2.5","0.0","490143.95","0.0","12.27","19.56","1297.0","100.0","0.0","0.0","0.0","200.0","2.5","0.0","490143.95","0.0",""
"Morocco","Barbados","2015.0","Import","4.0","0.09","23.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Brunei","2015.0","Import","2.0","0.05","0.64","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Bunkers","2015.0","Import","3.0","0.07","133530.31","0.36","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Central African Republic","2015.0","Import","3.0","0.07","5950.38","0.02","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Canada","2015.0","Import","745.0","17.44","397588.77","1.06","11.3","64.85","2785.0","100.0","0.0","0.0","0.0","170.0","2.5","0.0","238281.96","0.0","11.3","64.85","2785.0","100.0","0.0","0.0","0.0","170.0","2.5","0.0","238281.96","0.0",""
"Morocco","Switzerland","2015.0","Import","1170.0","27.39","266352.33","0.71","0.65","0.79","4788.0","6.08","93.92","0.0","0.0","50.0","0.0","0.0","21205.53","265456.09","9.76","9.3","4788.0","100.0","0.0","0.0","0.0","100.0","2.5","0.0","286661.62","0.0","1.0"
"Morocco","Chile","2015.0","Import","52.0","1.22","36869.8","0.1","12.12","12.08","90.0","100.0","0.0","0.0","0.0","49.0","2.5","0.0","2510.19","0.0","12.12","12.08","90.0","100.0","0.0","0.0","0.0","49.0","2.5","0.0","2510.19","0.0",""
"Morocco","China","2015.0","Import","2989.0","69.97","3152868.07","8.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Cote d'Ivoire","2015.0","Import","68.0","1.59","11484.52","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Cameroon","2015.0","Import","25.0","0.59","4007.89","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Congo, Rep.","2015.0","Import","14.0","0.33","8249.46","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Cook Islands","2015.0","Import","1.0","0.02","0.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Colombia","2015.0","Import","65.0","1.52","4534.72","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Cape Verde","2015.0","Import","5.0","0.12","2347.25","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Costa Rica","2015.0","Import","45.0","1.05","4578.74","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Cuba","2015.0","Import","8.0","0.19","1961.42","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Cyprus","2015.0","Import","60.0","1.4","2786.89","0.01","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Morocco","Czech Republic","2015.0","Import","826.0","19.34","185096.58","0.49","0.72","1.16","3279.0","3.32","96.68","0.0","0.0","40.0","0.0","0.0","56606.24","154261.36","11.97","12.9","3279.0","100.0","0.0","0.0","0.0","49.0","2.5","0.0","210867.6","0.0","1.0"
"Morocco","Germany","2015.0","Import","2768.0","64.79","2179611.5","5.81","0.78","1.7","10784.0","5.13","94.87","0.0","0.0","100.0","0.0","0.0","651020.16","1459749.52","10.29","9.54","10784.0","99.91","0.09","0.0","0.0","100.0","0.0","0.0","2100526.38","10243.3","1.0"
"Morocco","Djibouti","2015.0","Import","2.0","0.05","0.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"Morocco","Dominica","2015.0","Import","7.0","0.16","61.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Denmark","2015.0","Import","708.0","16.57","60411.22","0.16","1.52","3.63","3322.0","7.16","92.84","0.0","0.0","100.0","0.0","0.0","20596.46","36668.29","13.25","9.73","3322.0","100.0","0.0","0.0","0.0","100.0","2.5","0.0","57264.75","0.0","1.0"
"Morocco","Dominican Republic","2015.0","Import","40.0","0.94","617.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","Algeria","2015.0","Import","61.0","1.43","788521.83","2.1","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
