"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Moldova","Afghanistan","2015.0","Import","1.0","0.03","5.37","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","5.37","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","5.37",""
"Moldova","Albania","2015.0","Import","44.0","1.16","131.25","0.0","0.0","0.0","103.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","131.25","11.95","10.81","103.0","99.03","0.0","0.97","0.0","20.0","5.0","0.69","131.25","0.0","1.0"
"Moldova","Andorra","2015.0","Import","8.0","0.21","174.47","0.0","6.21","0.5","43.0","32.56","67.44","0.0","0.0","15.0","0.0","0.0","12.4","162.07","6.21","0.5","43.0","32.56","67.44","0.0","0.0","15.0","0.0","0.0","12.4","162.07",""
"Moldova","United Arab Emirates","2015.0","Import","153.0","4.05","888.71","0.02","7.69","9.99","371.0","74.39","25.61","0.0","0.0","15.0","0.0","0.0","849.77","38.94","7.69","9.99","371.0","74.39","25.61","0.0","0.0","15.0","0.0","0.0","849.77","38.94",""
"Moldova","Argentina","2015.0","Import","91.0","2.41","5803.41","0.15","5.38","7.78","361.0","44.6","35.18","0.0","20.22","20.0","0.0","0.0","4577.49","1225.92","5.38","7.78","361.0","44.6","35.18","0.0","20.22","20.0","0.0","0.0","4577.49","1225.92",""
"Moldova","Armenia","2015.0","Import","15.0","0.4","578.43","0.01","0.0","0.0","57.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","578.43","7.4","1.42","57.0","52.63","24.56","22.81","0.0","15.0","0.0","3.59","92.29","486.14","1.0"
"Moldova","Antigua and Barbuda","2015.0","Import","4.0","0.11","0.98","0.0","7.88","7.6","8.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","0.98","0.0","7.88","7.6","8.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","0.98","0.0",""
"Moldova","Australia","2015.0","Import","93.0","2.46","734.62","0.02","4.98","3.69","344.0","51.16","27.62","0.0","21.22","15.0","0.0","0.0","229.08","427.71","4.98","3.69","344.0","51.16","27.62","0.0","21.22","15.0","0.0","0.0","229.08","427.71",""
"Moldova","Austria","2015.0","Import","724.0","19.14","89506.28","2.25","5.34","3.11","1878.0","61.93","31.95","1.44","4.69","75.0","0.0","71.44","36409.99","52894.46","5.55","3.12","1878.0","61.93","31.95","1.44","4.69","75.0","0.0","71.44","36409.99","52894.46","1.0"
"Moldova","Azerbaijan","2015.0","Import","3.0","0.08","254.15","0.01","0.0","0.0","8.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","254.15","7.88","6.76","8.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","254.15","0.0","1.0"
"Moldova","Belgium","2015.0","Import","996.0","26.34","32813.52","0.82","5.58","4.14","2300.0","65.22","32.13","0.96","1.7","75.0","0.0","3.28","16779.53","15991.8","5.76","4.21","2300.0","65.22","32.13","0.96","1.7","75.0","0.0","3.28","16779.53","15991.8","1.0"
"Moldova","Benin","2015.0","Import","4.0","0.11","7.93","0.0","11.61","12.59","24.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","7.93","0.0","11.61","12.59","24.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","7.93","0.0",""
