"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Madagascar","Afghanistan","2015.0","Import","1.0","0.03","2.5","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","2.5","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","2.5","0.0",""
"Madagascar","Albania","2015.0","Import","3.0","0.08","0.36","0.0","20.0","20.0","4.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.36","0.0","20.0","20.0","4.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","0.36","0.0",""
"Madagascar","Andorra","2015.0","Import","4.0","0.11","4.36","0.0","20.0","20.0","5.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","4.36","0.0","20.0","20.0","5.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","4.36","0.0",""
"Madagascar","United Arab Emirates","2015.0","Import","546.0","14.87","189433.36","6.4","13.13","9.69","795.0","92.58","5.91","1.51","0.0","20.0","0.0","139540.17","188466.02","944.82","13.13","9.69","795.0","92.58","5.91","1.51","0.0","20.0","0.0","139540.17","188466.02","944.82",""
"Madagascar","Argentina","2015.0","Import","43.0","1.17","23267.12","0.79","12.5","7.86","67.0","97.01","2.99","0.0","0.0","20.0","0.0","0.0","14543.3","8723.82","12.5","7.86","67.0","97.01","2.99","0.0","0.0","20.0","0.0","0.0","14543.3","8723.82",""
"Madagascar","American Samoa","2015.0","Import","1.0","0.03","1.04","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.04","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.04","0.0",""
"Madagascar","Antarctica","2015.0","Import","1.0","0.03","0.08","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.08","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","0.08","0.0",""
"Madagascar","Antigua and Barbuda","2015.0","Import","6.0","0.16","48.9","0.0","9.17","0.33","6.0","83.33","16.67","0.0","0.0","20.0","0.0","0.0","2.14","46.76","9.17","0.33","6.0","83.33","16.67","0.0","0.0","20.0","0.0","0.0","2.14","46.76",""
"Madagascar","Australia","2015.0","Import","357.0","9.72","10332.42","0.35","10.54","10.55","482.0","90.66","8.09","1.24","0.0","20.0","0.0","0.89","10186.32","126.04","10.54","10.55","482.0","90.66","8.09","1.24","0.0","20.0","0.0","0.89","10186.32","126.04",""
"Madagascar","Austria","2015.0","Import","176.0","4.79","1537.84","0.05","8.12","7.44","234.0","70.51","29.49","0.0","0.0","20.0","0.0","0.0","1127.38","386.75","11.14","9.04","234.0","91.45","8.55","0.0","0.0","20.0","0.0","0.0","1449.4","64.73","1.0"
"Madagascar","Belgium","2015.0","Import","958.0","26.1","27904.46","0.94","9.65","7.98","1345.0","75.32","23.79","0.89","0.0","20.0","0.0","56.67","18141.69","9270.96","11.85","9.2","1345.0","92.49","6.62","0.89","0.0","20.0","0.0","56.67","21323.25","6089.4","1.0"
"Madagascar","Benin","2015.0","Import","2.0","0.05","6.09","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.83","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.83","0.0",""
"Madagascar","Burkina Faso","2015.0","Import","1.0","0.03","15.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","Bangladesh","2015.0","Import","48.0","1.31","543.8","0.02","17.88","19.56","85.0","94.12","5.88","0.0","0.0","20.0","0.0","0.0","541.19","2.61","17.88","19.56","85.0","94.12","5.88","0.0","0.0","20.0","0.0","0.0","541.19","2.61",""
