"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Maldives","United Arab Emirates","2015.0","Import","1984.0","76.81","317078.02","16.72","12.01","9.4","5118.0","63.23","36.64","0.14","0.0","400.0","0.0","0.13","242058.33","74033.44","12.01","9.4","5118.0","63.23","36.64","0.14","0.0","400.0","0.0","0.13","242058.33","74033.44",""
"Maldives","Argentina","2015.0","Import","22.0","0.85","727.49","0.04","26.27","16.55","96.0","39.58","60.42","0.0","0.0","50.0","0.0","0.0","243.13","484.35","26.27","16.55","96.0","39.58","60.42","0.0","0.0","50.0","0.0","0.0","243.13","484.35",""
"Maldives","Australia","2015.0","Import","1124.0","43.52","32125.33","1.69","10.13","7.45","3381.0","57.2","42.8","0.0","0.0","400.0","0.0","0.0","11835.38","20289.93","10.13","7.45","3381.0","57.2","42.8","0.0","0.0","400.0","0.0","0.0","11835.38","20289.93",""
"Maldives","Austria","2015.0","Import","104.0","4.03","2577.54","0.14","15.36","11.16","491.0","59.47","40.53","0.0","0.0","50.0","0.0","0.0","1728.22","849.32","15.36","11.16","491.0","59.47","40.53","0.0","0.0","50.0","0.0","0.0","1728.22","849.32",""
"Maldives","Belgium","2015.0","Import","338.0","13.09","4824.76","0.25","13.32","14.55","1259.0","63.3","36.7","0.0","0.0","400.0","0.0","0.0","3338.03","1486.74","13.32","14.55","1259.0","63.3","36.7","0.0","0.0","400.0","0.0","0.0","3338.03","1486.74",""
"Maldives","Bangladesh","2015.0","Import","232.0","8.98","2407.84","0.13","4.05","9.04","770.0","34.42","65.58","0.0","0.0","400.0","0.0","0.0","1280.92","1126.93","9.24","22.93","770.0","46.1","53.9","0.0","0.0","400.0","0.0","0.0","1309.59","1098.26","1.0"
"Maldives","Bulgaria","2015.0","Import","47.0","1.82","112.93","0.01","7.62","7.99","289.0","47.75","52.25","0.0","0.0","50.0","0.0","0.0","65.13","47.8","7.62","7.99","289.0","47.75","52.25","0.0","0.0","50.0","0.0","0.0","65.13","47.8",""
"Maldives","Bahrain","2015.0","Import","6.0","0.23","21775.61","1.15","9.71","8.35","52.0","65.38","34.62","0.0","0.0","20.0","0.0","0.0","21775.61","0.0","9.71","8.35","52.0","65.38","34.62","0.0","0.0","20.0","0.0","0.0","21775.61","0.0",""
"Maldives","Bahamas, The","2015.0","Import","12.0","0.46","104.78","0.01","37.5","2.07","15.0","80.0","20.0","0.0","0.0","50.0","0.0","0.0","4.34","100.44","37.5","2.07","15.0","80.0","20.0","0.0","0.0","50.0","0.0","0.0","4.34","100.44",""
"Maldives","Bermuda","2015.0","Import","6.0","0.23","0.48","0.0","34.69","47.13","59.0","20.34","79.66","0.0","0.0","50.0","0.0","0.0","0.48","0.0","34.69","47.13","59.0","20.34","79.66","0.0","0.0","50.0","0.0","0.0","0.48","0.0",""
"Maldives","Brazil","2015.0","Import","44.0","1.7","15059.85","0.79","19.33","1.24","203.0","71.43","28.57","0.0","0.0","50.0","0.0","0.0","1157.85","13902.01","19.33","1.24","203.0","71.43","28.57","0.0","0.0","50.0","0.0","0.0","1157.85","13902.01",""
"Maldives","Brunei","2015.0","Import","1.0","0.04","19.83","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","19.83","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","19.83",""
