"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Mexico","Aruba","2015.0","Import","193.0","4.31","8671.08","0.0","3.27","0.88","1292.0","26.78","72.76","0.46","0.0","20.0","0.0","0.05","7721.17","909.68","3.27","0.88","1292.0","26.78","72.76","0.46","0.0","20.0","0.0","0.05","7721.17","909.68",""
"Mexico","Afghanistan","2015.0","Import","121.0","2.71","4446.25","0.0","4.14","9.45","693.0","27.85","71.86","0.29","0.0","20.0","0.0","0.07","4074.16","347.48","4.14","9.45","693.0","27.85","71.86","0.29","0.0","20.0","0.0","0.07","4074.16","347.48",""
"Mexico","Angola","2015.0","Import","17.0","0.38","604.77","0.0","2.02","0.1","86.0","34.88","63.95","1.16","0.0","15.0","0.0","0.01","24.08","580.37","2.02","0.1","86.0","34.88","63.95","1.16","0.0","15.0","0.0","0.01","24.08","580.37",""
"Mexico","Anguila","2015.0","Import","14.0","0.31","77.75","0.0","1.54","0.15","111.0","22.52","77.48","0.0","0.0","15.0","0.0","0.0","3.31","62.88","1.54","0.15","111.0","22.52","77.48","0.0","0.0","15.0","0.0","0.0","3.31","62.88",""
"Mexico","Albania","2015.0","Import","138.0","3.09","1885.92","0.0","10.56","10.89","613.0","40.62","59.22","0.16","0.0","20.0","0.0","34.53","1329.43","361.73","10.56","10.89","613.0","40.62","59.22","0.16","0.0","20.0","0.0","34.53","1329.43","361.73",""
"Mexico","Andorra","2015.0","Import","70.0","1.56","318.4","0.0","2.65","2.93","441.0","24.04","75.74","0.23","0.0","15.0","0.0","0.53","147.85","169.27","2.65","2.93","441.0","24.04","75.74","0.23","0.0","15.0","0.0","0.53","147.85","169.27",""
"Mexico","United Arab Emirates","2015.0","Import","354.0","7.91","157432.82","0.04","5.59","0.71","1630.0","32.7","66.56","0.74","0.0","60.0","0.0","24.14","19863.18","136898.35","5.59","0.71","1630.0","32.7","66.56","0.74","0.0","60.0","0.0","24.14","19863.18","136898.35",""
"Mexico","Argentina","2015.0","Import","1176.0","26.29","1056936.23","0.27","6.08","9.51","4885.0","32.59","66.45","0.96","0.0","125.0","0.0","84813.21","714747.42","318498.65","6.08","9.51","4885.0","32.59","66.45","0.96","0.0","125.0","0.0","84813.21","714747.42","318498.65",""
"Mexico","Armenia","2015.0","Import","49.0","1.1","344.94","0.0","6.45","8.09","289.0","32.87","67.13","0.0","0.0","20.0","0.0","0.0","239.58","98.4","6.45","8.09","289.0","32.87","67.13","0.0","0.0","20.0","0.0","0.0","239.58","98.4",""
"Mexico","American Samoa","2015.0","Import","18.0","0.4","1912.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
