"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Macedonia, FYR","Afghanistan","2015.0","Import","6.0","0.15","1.38","0.0","15.5","14.79","17.0","100.0","0.0","0.0","0.0","17.5","13.0","0.0","1.38","0.0","15.5","14.79","17.0","100.0","0.0","0.0","0.0","17.5","13.0","0.0","1.38","0.0",""
"Macedonia, FYR","Albania","2015.0","Import","371.0","9.26","44829.45","0.7","0.0","0.0","958.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","44829.45","11.22","8.97","958.0","66.49","28.08","0.0","5.43","50.0","0.0","0.0","24350.4","20479.05","2.0"
"Macedonia, FYR","Andorra","2015.0","Import","2.0","0.05","1.92","0.0","4.5","4.76","11.0","90.91","9.09","0.0","0.0","5.0","0.0","0.0","1.92","0.0","4.5","4.76","11.0","90.91","9.09","0.0","0.0","5.0","0.0","0.0","1.92","0.0",""
"Macedonia, FYR","United Arab Emirates","2015.0","Import","149.0","3.72","1718.63","0.03","9.23","3.98","427.0","77.99","18.97","0.0","3.04","50.0","0.0","0.0","606.47","1112.16","9.23","3.98","427.0","77.99","18.97","0.0","3.04","50.0","0.0","0.0","606.47","1112.16",""
"Macedonia, FYR","Argentina","2015.0","Import","73.0","1.82","16022.83","0.25","6.66","1.53","217.0","50.69","41.94","0.0","7.37","45.0","0.0","0.0","3332.0","12690.82","6.66","1.53","217.0","50.69","41.94","0.0","7.37","45.0","0.0","0.0","3332.0","12690.82",""
"Macedonia, FYR","Antarctica","2015.0","Import","1.0","0.03","0.58","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.58","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.58","0.0",""
"Macedonia, FYR","Antigua and Barbuda","2015.0","Import","2.0","0.05","0.73","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.73","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.73","0.0",""
"Macedonia, FYR","Australia","2015.0","Import","426.0","10.64","1717.89","0.03","10.92","2.23","1008.0","72.42","25.2","0.0","2.38","50.0","0.0","0.0","364.75","1350.68","10.92","2.23","1008.0","72.42","25.2","0.0","2.38","50.0","0.0","0.0","364.75","1350.68",""
"Macedonia, FYR","Austria","2015.0","Import","1367.0","34.13","135636.9","2.12","0.64","0.95","3301.0","5.7","89.19","0.0","5.12","50.0","0.0","0.0","11187.4","124386.51","7.77","8.07","3301.0","63.95","30.54","0.0","5.51","50.0","0.0","0.0","100157.25","35416.66","1.0"
"Macedonia, FYR","Azerbaijan","2015.0","Import","2.0","0.05","19.49","0.0","7.76","8.82","22.0","13.64","86.36","0.0","0.0","15.0","0.0","0.0","19.49","0.0","7.76","8.82","22.0","13.64","86.36","0.0","0.0","15.0","0.0","0.0","19.49","0.0",""
