"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Malta","Afghanistan","2015.0","Import","1.0","0.03","1.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Angola","2015.0","Import","1.0","0.03","2.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Albania","2015.0","Import","15.0","0.4","3267.49","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","United Arab Emirates","2015.0","Import","319.0","8.51","39047.48","0.58","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Argentina","2015.0","Import","29.0","0.77","5339.89","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Armenia","2015.0","Import","1.0","0.03","8.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Antigua and Barbuda","2015.0","Import","3.0","0.08","139.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Australia","2015.0","Import","278.0","7.41","35890.3","0.53","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Austria","2015.0","Import","601.0","16.03","22916.72","0.34","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Azerbaijan","2015.0","Import","1.0","0.03","15174.62","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Belgium","2015.0","Import","1168.0","31.15","152485.23","2.25","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Burkina Faso","2015.0","Import","7.0","0.19","1.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Bangladesh","2015.0","Import","36.0","0.96","578.17","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Bulgaria","2015.0","Import","235.0","6.27","32462.21","0.48","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Bahrain","2015.0","Import","15.0","0.4","195.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Bosnia and Herzegovina","2015.0","Import","12.0","0.32","113.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Belarus","2015.0","Import","4.0","0.11","15.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Belize","2015.0","Import","3.0","0.08","1.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Bermuda","2015.0","Import","3.0","0.08","13344.53","0.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Bolivia","2015.0","Import","2.0","0.05","171.15","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Brazil","2015.0","Import","80.0","2.13","15502.87","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Botswana","2015.0","Import","3.0","0.08","446.77","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Central African Republic","2015.0","Import","1.0","0.03","10.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Canada","2015.0","Import","438.0","11.68","355740.77","5.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Cocos (Keeling) Islands","2015.0","Import","1.0","0.03","1.06","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Switzerland","2015.0","Import","813.0","21.68","58596.07","0.86","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Chile","2015.0","Import","11.0","0.29","2209.37","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","China","2015.0","Import","1759.0","46.91","240918.8","3.55","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Cote d'Ivoire","2015.0","Import","10.0","0.27","231.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Cameroon","2015.0","Import","6.0","0.16","11151.36","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Congo, Rep.","2015.0","Import","1.0","0.03","97.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Colombia","2015.0","Import","25.0","0.67","1488.59","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Costa Rica","2015.0","Import","9.0","0.24","1030.54","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Cuba","2015.0","Import","2.0","0.05","130.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Curaçao","2015.0","Import","4.0","0.11","17.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Cayman Islands","2015.0","Import","5.0","0.13","91774.0","1.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Cyprus","2015.0","Import","369.0","9.84","9018.6","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Czech Republic","2015.0","Import","646.0","17.23","15438.03","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Germany","2015.0","Import","2220.0","59.2","421791.29","6.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Djibouti","2015.0","Import","1.0","0.03","0.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Denmark","2015.0","Import","471.0","12.56","33995.78","0.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Dominican Republic","2015.0","Import","4.0","0.11","18.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Algeria","2015.0","Import","4.0","0.11","24663.56","0.36","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","East Asia & Pacific","2015.0","Import","2064.0","55.04","593918.53","8.75","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Europe & Central Asia","2015.0","Import","3603.0","96.08","4739977.65","69.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Ecuador","2015.0","Import","4.0","0.11","1877.06","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Egypt, Arab Rep.","2015.0","Import","243.0","6.48","26542.54","0.39","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Eritrea","2015.0","Import","2.0","0.05","2.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Spain","2015.0","Import","1547.0","41.25","255353.1","3.76","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Estonia","2015.0","Import","24.0","0.64","1458.52","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Ethiopia(excludes Eritrea)","2015.0","Import","9.0","0.24","19.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Finland","2015.0","Import","129.0","3.44","2573.4","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","France","2015.0","Import","1396.0","37.23","259983.17","3.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","United Kingdom","2015.0","Import","2482.0","66.19","464871.3","6.85","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Georgia","2015.0","Import","6.0","0.16","17.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Ghana","2015.0","Import","7.0","0.19","0.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Gibraltar","2015.0","Import","19.0","0.51","22537.0","0.33","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Gambia, The","2015.0","Import","1.0","0.03","25.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Greece","2015.0","Import","455.0","12.13","88596.54","1.31","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Guatemala","2015.0","Import","2.0","0.05","3.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Hong Kong, China","2015.0","Import","654.0","17.44","29388.0","0.43","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Honduras","2015.0","Import","1.0","0.03","13.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Croatia","2015.0","Import","57.0","1.52","67188.32","0.99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Hungary","2015.0","Import","167.0","4.45","11407.57","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Indonesia","2015.0","Import","147.0","3.92","10169.3","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","India","2015.0","Import","573.0","15.28","119895.0","1.77","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Ireland","2015.0","Import","293.0","7.81","29617.12","0.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Iran, Islamic Rep.","2015.0","Import","4.0","0.11","322.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Iraq","2015.0","Import","1.0","0.03","4052.2","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Iceland","2015.0","Import","56.0","1.49","4729.61","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Israel","2015.0","Import","210.0","5.6","29137.92","0.43","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Italy","2015.0","Import","2863.0","76.35","1443052.48","21.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Jamaica","2015.0","Import","3.0","0.08","1.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Jordan","2015.0","Import","16.0","0.43","946.88","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Japan","2015.0","Import","463.0","12.35","77869.22","1.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Kazakhstan","2015.0","Import","9.0","0.24","6020.26","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Kenya","2015.0","Import","17.0","0.45","451.04","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Kyrgyz Republic","2015.0","Import","1.0","0.03","1.25","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Cambodia","2015.0","Import","23.0","0.61","570.85","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","St. Kitts and Nevis","2015.0","Import","2.0","0.05","24.24","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Korea, Rep.","2015.0","Import","371.0","9.89","49233.96","0.73","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Kuwait","2015.0","Import","13.0","0.35","12.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Lebanon","2015.0","Import","71.0","1.89","674.51","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Liberia","2015.0","Import","1.0","0.03","0.8","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Libya","2015.0","Import","86.0","2.29","62090.64","0.91","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Latin America & Caribbean","2015.0","Import","286.0","7.63","141334.41","2.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Sri Lanka","2015.0","Import","47.0","1.25","1512.3","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Lithuania","2015.0","Import","97.0","2.59","4728.16","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Luxembourg","2015.0","Import","46.0","1.23","626.31","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Latvia","2015.0","Import","104.0","2.77","3136.78","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Macao","2015.0","Import","38.0","1.01","904.47","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Morocco","2015.0","Import","42.0","1.12","7305.51","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","Moldova","2015.0","Import","3.0","0.08","21.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
