"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Myanmar","Afghanistan","2015.0","Import","5.0","0.14","442.11","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Anguila","2015.0","Import","1.0","0.03","11.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Albania","2015.0","Import","1.0","0.03","51.37","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","United Arab Emirates","2015.0","Import","238.0","6.8","119025.83","0.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Argentina","2015.0","Import","20.0","0.57","6384.54","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Armenia","2015.0","Import","5.0","0.14","225.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Antigua and Barbuda","2015.0","Import","4.0","0.11","486.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Australia","2015.0","Import","187.0","5.34","57835.05","0.34","6.37","1.45","835.0","95.09","4.91","0.0","0.0","40.0","0.0","0.0","21576.53","86068.34","7.0","1.55","835.0","95.21","4.79","0.0","0.0","40.0","0.0","0.0","21576.53","86068.34","1.0"
"Myanmar","Austria","2015.0","Import","5.0","0.14","181.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Azerbaijan","2015.0","Import","1.0","0.03","25.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Belgium","2015.0","Import","47.0","1.34","4350.07","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Bangladesh","2015.0","Import","82.0","2.34","9778.88","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Bulgaria","2015.0","Import","24.0","0.69","2955.46","0.02","6.38","1.63","38.0","84.21","15.79","0.0","0.0","20.0","0.0","0.0","234.36","259.23","6.38","1.63","38.0","84.21","15.79","0.0","0.0","20.0","0.0","0.0","234.36","259.23",""
"Myanmar","Bahamas, The","2015.0","Import","1.0","0.03","1.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Belarus","2015.0","Import","2.0","0.06","327.02","0.0","3.36","0.62","158.0","93.04","6.96","0.0","0.0","15.0","0.0","0.0","721.0","2019.7","3.36","0.62","158.0","93.04","6.96","0.0","0.0","15.0","0.0","0.0","721.0","2019.7",""
"Myanmar","Belize","2015.0","Import","23.0","0.66","18556.74","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Brazil","2015.0","Import","33.0","0.94","21930.64","0.13","4.47","5.31","300.0","95.67","4.33","0.0","0.0","30.0","0.0","0.0","39472.37","665.96","4.47","5.31","300.0","95.67","4.33","0.0","0.0","30.0","0.0","0.0","39472.37","665.96",""
"Myanmar","Barbados","2015.0","Import","1.0","0.03","773.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","Brunei","2015.0","Import","2.0","0.06","2.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","","2.0"
"Myanmar","Botswana","2015.0","Import","1.0","0.03","29.64","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
