"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Mongolia","Aruba","2015.0","Import","4.0","0.12","12.06","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.04","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.04","0.0",""
"Mongolia","Afghanistan","2015.0","Import","2.0","0.06","6.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","Albania","2015.0","Import","23.0","0.67","75.75","0.0","5.0","5.0","38.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","152.07","0.0","5.0","5.0","38.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","152.07","0.0",""
"Mongolia","United Arab Emirates","2015.0","Import","139.0","4.07","1403.07","0.04","4.95","5.0","123.0","99.19","0.81","0.0","0.0","5.0","0.0","0.0","627.79","0.4","4.95","5.0","123.0","99.19","0.81","0.0","0.0","5.0","0.0","0.0","627.79","0.4",""
"Mongolia","Argentina","2015.0","Import","37.0","1.08","2826.13","0.07","4.83","4.99","33.0","96.97","3.03","0.0","0.0","5.0","0.0","0.0","1727.53","4.45","4.83","4.99","33.0","96.97","3.03","0.0","0.0","5.0","0.0","0.0","1727.53","4.45",""
"Mongolia","Armenia","2015.0","Import","4.0","0.12","105.7","0.0","5.0","5.0","7.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","74.8","0.0","5.0","5.0","7.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","74.8","0.0",""
"Mongolia","Australia","2015.0","Import","611.0","17.89","11790.14","0.31","4.93","4.99","739.0","97.97","1.89","0.14","0.0","5.0","0.0","0.01","14632.14","31.7","4.93","4.99","739.0","97.97","1.89","0.14","0.0","5.0","0.0","0.01","14632.14","31.7",""
"Mongolia","Austria","2015.0","Import","349.0","10.22","23893.2","0.63","5.0","4.97","507.0","99.21","0.79","0.0","0.0","25.0","0.0","0.0","8968.04","61.51","5.0","4.97","507.0","99.21","0.79","0.0","0.0","25.0","0.0","0.0","8968.04","61.51",""
"Mongolia","Azerbaijan","2015.0","Import","7.0","0.2","314.72","0.01","5.0","5.0","6.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","390.9","0.0","5.0","5.0","6.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","390.9","0.0",""
"Mongolia","Burundi","2015.0","Import","1.0","0.03","0.03","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","3.49","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","3.49","0.0",""
