"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Mozambique","Aruba","2015.0","Import","4.0","0.1","158.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Afghanistan","2015.0","Import","161.0","4.13","1722.86","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Angola","2015.0","Import","98.0","2.51","1037.67","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Albania","2015.0","Import","16.0","0.41","113.39","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Andorra","2015.0","Import","3.0","0.08","7.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","United Arab Emirates","2015.0","Import","1635.0","41.93","341647.56","4.32","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Argentina","2015.0","Import","52.0","1.33","32877.63","0.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","American Samoa","2015.0","Import","2.0","0.05","9.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Antigua and Barbuda","2015.0","Import","1.0","0.03","0.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Australia","2015.0","Import","173.0","4.44","32157.22","0.41","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Austria","2015.0","Import","156.0","4.0","18290.55","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Azerbaijan","2015.0","Import","1.0","0.03","2.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Burundi","2015.0","Import","1.0","0.03","0.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Belgium","2015.0","Import","298.0","7.64","47501.45","0.6","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Benin","2015.0","Import","2.0","0.05","68.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Burkina Faso","2015.0","Import","30.0","0.77","55.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bangladesh","2015.0","Import","24.0","0.62","294.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bulgaria","2015.0","Import","20.0","0.51","18140.06","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bahrain","2015.0","Import","66.0","1.69","411060.59","5.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bahamas, The","2015.0","Import","2.0","0.05","3910.9","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bosnia and Herzegovina","2015.0","Import","2.0","0.05","62.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Belarus","2015.0","Import","8.0","0.21","25.26","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Belize","2015.0","Import","1.0","0.03","0.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bermuda","2015.0","Import","1.0","0.03","2.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bolivia","2015.0","Import","7.0","0.18","7.99","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Brazil","2015.0","Import","714.0","18.31","48199.12","0.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Brunei","2015.0","Import","2.0","0.05","3.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Bouvet Island","2015.0","Import","3.0","0.08","38.49","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Botswana","2015.0","Import","159.0","4.08","2858.19","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Canada","2015.0","Import","241.0","6.18","33439.14","0.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Cocos (Keeling) Islands","2015.0","Import","2.0","0.05","11.98","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Switzerland","2015.0","Import","249.0","6.39","40813.6","0.52","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Chile","2015.0","Import","37.0","0.95","1554.5","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","China","2015.0","Import","2449.0","62.81","986859.12","12.48","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Cote d'Ivoire","2015.0","Import","16.0","0.41","311.18","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Cameroon","2015.0","Import","36.0","0.92","69.96","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Congo, Rep.","2015.0","Import","22.0","0.56","332.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Colombia","2015.0","Import","9.0","0.23","460.34","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Cape Verde","2015.0","Import","6.0","0.15","11.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Costa Rica","2015.0","Import","1.0","0.03","0.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Cuba","2015.0","Import","3.0","0.08","31.65","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Curaçao","2015.0","Import","166.0","4.26","8607.64","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Christmas Island","2015.0","Import","2.0","0.05","13.45","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Cayman Islands","2015.0","Import","6.0","0.15","12.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Cyprus","2015.0","Import","37.0","0.95","1909.1","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Czech Republic","2015.0","Import","75.0","1.92","909.58","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Germany","2015.0","Import","827.0","21.21","92856.56","1.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Dominica","2015.0","Import","2.0","0.05","8.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Denmark","2015.0","Import","191.0","4.9","10706.7","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Algeria","2015.0","Import","2.0","0.05","58.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","East Asia & Pacific","2015.0","Import","2620.0","67.2","1782490.14","22.54","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Europe & Central Asia","2015.0","Import","3012.0","77.25","1897276.37","23.99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Ecuador","2015.0","Import","7.0","0.18","1239.89","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Egypt, Arab Rep.","2015.0","Import","106.0","2.72","2137.75","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Western Sahara","2015.0","Import","1.0","0.03","7.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Spain","2015.0","Import","720.0","18.47","52532.98","0.66","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Estonia","2015.0","Import","6.0","0.15","22.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Ethiopia(excludes Eritrea)","2015.0","Import","11.0","0.28","73.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Finland","2015.0","Import","255.0","6.54","12880.22","0.16","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","Fiji","2015.0","Import","1.0","0.03","74.7","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","France","2015.0","Import","730.0","18.72","270166.89","3.42","","","","","","","","","","","","","","","","","","","","","","","","",""
