"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Mauritius","Aruba","2015.0","Import","1.0","0.03","0.06","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.06","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.06",""
"Mauritius","Afghanistan","2015.0","Import","2.0","0.05","0.54","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.54","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.54",""
"Mauritius","Angola","2015.0","Import","4.0","0.1","88.94","0.0","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","88.94","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","88.94","1.0"
"Mauritius","Anguila","2015.0","Import","1.0","0.03","0.17","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.17","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.17",""
"Mauritius","Albania","2015.0","Import","22.0","0.56","79.58","0.0","4.47","0.92","43.0","11.63","74.42","0.0","13.95","30.0","0.0","0.0","4.1","75.48","4.47","0.92","43.0","11.63","74.42","0.0","13.95","30.0","0.0","0.0","4.1","75.48",""
"Mauritius","United Arab Emirates","2015.0","Import","781.0","19.92","68896.57","1.55","2.55","0.41","1235.0","12.87","75.14","6.23","5.75","73.07","0.0","23.53","2935.26","65961.31","2.55","0.41","1235.0","12.87","75.14","6.23","5.75","73.07","0.0","23.53","2935.26","65961.31",""
"Mauritius","Argentina","2015.0","Import","83.0","2.12","43482.6","0.98","1.09","0.07","151.0","6.62","91.39","0.0","1.99","30.0","0.0","0.0","199.55","43283.04","1.09","0.07","151.0","6.62","91.39","0.0","1.99","30.0","0.0","0.0","199.55","43283.04",""
"Mauritius","Armenia","2015.0","Import","4.0","0.1","2.14","0.0","2.85","2.63","6.0","0.0","50.0","0.0","50.0","7.95","0.0","0.0","1.49","0.65","2.85","2.63","6.0","0.0","50.0","0.0","50.0","7.95","0.0","0.0","1.49","0.65",""
"Mauritius","American Samoa","2015.0","Import","1.0","0.03","11.99","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","11.99","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","11.99",""
"Mauritius","Antigua and Barbuda","2015.0","Import","1.0","0.03","18.75","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","18.75","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","18.75",""
