"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Malawi","Andorra","2015.0","Import","16.0","0.44","50.31","0.0","15.75","6.82","12.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","2.91","5.09","15.75","6.82","12.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","2.91","5.09",""
"Malawi","United Arab Emirates","2015.0","Import","1358.0","37.7","253645.68","10.97","14.36","6.32","1874.0","73.85","26.15","0.0","0.0","25.0","0.0","0.0","62962.55","88005.83","14.36","6.32","1874.0","73.85","26.15","0.0","0.0","25.0","0.0","0.0","62962.55","88005.83",""
"Malawi","Argentina","2015.0","Import","19.0","0.53","6472.29","0.28","16.07","10.86","33.0","93.94","6.06","0.0","0.0","25.0","0.0","0.0","8978.33","106.2","16.07","10.86","33.0","93.94","6.06","0.0","0.0","25.0","0.0","0.0","8978.33","106.2",""
"Malawi","Australia","2015.0","Import","147.0","4.08","12832.94","0.56","15.16","2.96","310.0","71.94","28.06","0.0","0.0","25.0","0.0","0.0","1318.49","8403.67","15.16","2.96","310.0","71.94","28.06","0.0","0.0","25.0","0.0","0.0","1318.49","8403.67",""
"Malawi","Austria","2015.0","Import","47.0","1.3","1339.78","0.06","9.36","6.79","102.0","59.8","40.2","0.0","0.0","25.0","0.0","0.0","598.32","364.8","9.36","6.79","102.0","59.8","40.2","0.0","0.0","25.0","0.0","0.0","598.32","364.8",""
"Malawi","Burundi","2015.0","Import","1.0","0.03","2.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Malawi","Belgium","2015.0","Import","240.0","6.66","23210.53","1.0","10.93","2.58","379.0","63.59","36.41","0.0","0.0","25.0","0.0","0.0","6903.98","28265.5","10.93","2.58","379.0","63.59","36.41","0.0","0.0","25.0","0.0","0.0","6903.98","28265.5",""
"Malawi","Burkina Faso","2015.0","Import","1.0","0.03","0.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malawi","Bangladesh","2015.0","Import","4.0","0.11","69.63","0.0","17.74","5.1","27.0","62.96","37.04","0.0","0.0","25.0","0.0","0.0","379.83","516.77","17.74","5.1","27.0","62.96","37.04","0.0","0.0","25.0","0.0","0.0","379.83","516.77",""
"Malawi","Bulgaria","2015.0","Import","29.0","0.81","1335.87","0.06","11.78","9.43","52.0","69.23","30.77","0.0","0.0","25.0","0.0","0.0","1990.46","2977.67","11.78","9.43","52.0","69.23","30.77","0.0","0.0","25.0","0.0","0.0","1990.46","2977.67",""
"Malawi","Bahrain","2015.0","Import","2.0","0.06","29.28","0.0","19.08","10.52","16.0","87.5","12.5","0.0","0.0","25.0","0.0","0.0","70.12","0.0","19.08","10.52","16.0","87.5","12.5","0.0","0.0","25.0","0.0","0.0","70.12","0.0",""
"Malawi","Bosnia and Herzegovina","2015.0","Import","3.0","0.08","1.83","0.0","17.5","24.47","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","9.31","0.0","17.5","24.47","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","9.31","0.0",""
"Malawi","Belize","2015.0","Import","2.0","0.06","0.16","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.58","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.58","0.0",""
