"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Malaysia","Aruba","2015.0","Import","1.0","0.02","0.09","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Afghanistan","2015.0","Import","7.0","0.16","37.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Angola","2015.0","Import","30.0","0.67","1769.7","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Anguila","2015.0","Import","2.0","0.04","32.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Albania","2015.0","Import","17.0","0.38","315.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Andorra","2015.0","Import","2.0","0.04","117.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","United Arab Emirates","2015.0","Import","863.0","19.28","3122163.65","1.77","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Argentina","2015.0","Import","184.0","4.11","1106829.83","0.63","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Armenia","2015.0","Import","3.0","0.07","6.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","American Samoa","2015.0","Import","5.0","0.11","377.48","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Antarctica","2015.0","Import","3.0","0.07","4.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Antigua and Barbuda","2015.0","Import","2.0","0.04","150.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Australia","2015.0","Import","2091.0","46.73","4487113.27","2.55","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Austria","2015.0","Import","915.0","20.45","633551.34","0.36","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Azerbaijan","2015.0","Import","13.0","0.29","794.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Burundi","2015.0","Import","2.0","0.04","209.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Belgium","2015.0","Import","1353.0","30.23","664962.8","0.38","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Benin","2015.0","Import","5.0","0.11","1132.61","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Burkina Faso","2015.0","Import","1.0","0.02","7451.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bangladesh","2015.0","Import","383.0","8.56","145310.44","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bulgaria","2015.0","Import","219.0","4.89","35069.73","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bahrain","2015.0","Import","62.0","1.39","53942.09","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bahamas, The","2015.0","Import","5.0","0.11","210.72","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bosnia and Herzegovina","2015.0","Import","10.0","0.22","3291.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Belarus","2015.0","Import","13.0","0.29","63486.18","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Belize","2015.0","Import","9.0","0.2","112.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bermuda","2015.0","Import","2.0","0.04","1.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bolivia","2015.0","Import","15.0","0.34","17809.64","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Brazil","2015.0","Import","524.0","11.71","1736235.71","0.99","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Barbados","2015.0","Import","14.0","0.31","126.13","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Brunei","2015.0","Import","412.0","9.21","140412.15","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Bhutan","2015.0","Import","7.0","0.16","38.66","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Botswana","2015.0","Import","2.0","0.04","131.78","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Canada","2015.0","Import","1131.0","25.27","693429.39","0.39","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Switzerland","2015.0","Import","1455.0","32.51","2117224.87","1.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","Chile","2015.0","Import","146.0","3.26","193761.89","0.11","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","China","2015.0","Import","3979.0","88.92","33242589.49","18.87","","","","","","","","","","","","","","","","","","","","","","","","",""
