"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Namibia","Angola","2015.0","Import","303.0","7.27","35585.48","0.46","0.96","0.34","484.0","0.21","98.97","0.41","0.41","328.45","0.0","19.39","19.39","12705.15","12.37","3.7","484.0","52.89","41.94","2.48","2.69","328.45","0.0","20.59","4286.17","8438.36","1.0"
"Namibia","Albania","2015.0","Import","1.0","0.02","12.42","0.0","3.39","1.67","18.0","38.89","55.56","5.56","0.0","10.0","0.0","48.01","52.43","81.78","3.39","1.67","18.0","38.89","55.56","5.56","0.0","10.0","0.0","48.01","52.43","81.78",""
"Namibia","Andorra","2015.0","Import","9.0","0.22","17.28","0.0","0.0","0.0","7.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","11.53","0.0","0.0","7.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","11.53",""
"Namibia","United Arab Emirates","2015.0","Import","446.0","10.71","48478.24","0.63","12.3","10.66","932.0","54.83","43.03","1.18","0.97","45.0","0.0","3879.07","13429.59","5097.83","12.3","10.66","932.0","54.83","43.03","1.18","0.97","45.0","0.0","3879.07","13429.59","5097.83",""
"Namibia","Argentina","2015.0","Import","22.0","0.53","2029.69","0.03","12.13","26.84","25.0","48.0","52.0","0.0","0.0","82.0","0.0","0.0","3964.85","283.07","12.13","26.84","25.0","48.0","52.0","0.0","0.0","82.0","0.0","0.0","3964.85","283.07",""
"Namibia","American Samoa","2015.0","Import","1.0","0.02","21.29","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Namibia","Antigua and Barbuda","2015.0","Import","2.0","0.05","0.19","0.0","11.59","0.0","13.0","30.77","7.69","0.0","61.54","45.0","0.0","0.0","0.08","3725.85","11.59","0.0","13.0","30.77","7.69","0.0","61.54","45.0","0.0","0.0","0.08","3725.85",""
"Namibia","Australia","2015.0","Import","349.0","8.38","17877.71","0.23","9.6","1.87","531.0","48.21","50.09","0.0","1.69","45.0","0.0","0.0","4656.02","16165.98","9.6","1.87","531.0","48.21","50.09","0.0","1.69","45.0","0.0","0.0","4656.02","16165.98",""
"Namibia","Austria","2015.0","Import","307.0","7.37","7978.03","0.1","8.6","0.88","783.0","50.19","46.62","0.38","2.81","328.45","0.0","1.62","3847.03","17273.9","8.6","0.88","783.0","50.19","46.62","0.38","2.81","328.45","0.0","1.62","3847.03","17273.9",""
"Namibia","Azerbaijan","2015.0","Import","2.0","0.05","1.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
