"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"New Caledonia","Anguila","2015.0","Import","2.0","0.07","0.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Albania","2015.0","Import","3.0","0.11","0.89","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Andorra","2015.0","Import","3.0","0.11","5.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","United Arab Emirates","2015.0","Import","46.0","1.66","11208.98","0.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Argentina","2015.0","Import","43.0","1.55","211.09","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Antigua and Barbuda","2015.0","Import","3.0","0.11","2.77","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Australia","2015.0","Import","1308.0","47.14","144603.85","5.72","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Austria","2015.0","Import","311.0","11.21","8594.31","0.34","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Azerbaijan","2015.0","Import","3.0","0.11","6.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Belgium","2015.0","Import","741.0","26.7","31794.49","1.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Burkina Faso","2015.0","Import","6.0","0.22","2.27","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bangladesh","2015.0","Import","120.0","4.32","3602.19","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bulgaria","2015.0","Import","144.0","5.19","436.93","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bahrain","2015.0","Import","1.0","0.04","0.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bahamas, The","2015.0","Import","1.0","0.04","0.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bosnia and Herzegovina","2015.0","Import","19.0","0.68","38.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Belarus","2015.0","Import","9.0","0.32","42.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Belize","2015.0","Import","4.0","0.14","25.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bermuda","2015.0","Import","1.0","0.04","1.04","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bolivia","2015.0","Import","14.0","0.5","113.22","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Brazil","2015.0","Import","214.0","7.71","9374.33","0.37","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Barbados","2015.0","Import","2.0","0.07","0.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Bhutan","2015.0","Import","1.0","0.04","0.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Central African Republic","2015.0","Import","4.0","0.14","57.44","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Canada","2015.0","Import","349.0","12.58","27170.78","1.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Cocos (Keeling) Islands","2015.0","Import","1.0","0.04","0.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia","Switzerland","2015.0","Import","498.0","17.95","21980.77","0.87","","","","","","","","","","","","","","","","","","","","","","","","",""
