"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Niger","Afghanistan","2015.0","Import","7.0","0.25","2.02","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Angola","2015.0","Import","1.0","0.04","3.58","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Albania","2015.0","Import","8.0","0.28","6.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Andorra","2015.0","Import","2.0","0.07","1.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","United Arab Emirates","2015.0","Import","447.0","15.79","8776.45","0.36","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Argentina","2015.0","Import","17.0","0.6","10211.56","0.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Armenia","2015.0","Import","1.0","0.04","2.7","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","American Samoa","2015.0","Import","1.0","0.04","4.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Australia","2015.0","Import","31.0","1.1","1008.25","0.04","10.44","5.82","20.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","182.25","0.0","10.44","5.82","20.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","182.25","0.0",""
"Niger","Austria","2015.0","Import","19.0","0.67","705.26","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Azerbaijan","2015.0","Import","3.0","0.11","3.63","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Belgium","2015.0","Import","463.0","16.35","23557.66","0.96","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Benin","2015.0","Import","390.0","13.78","61521.1","2.5","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Niger","Burkina Faso","2015.0","Import","298.0","10.53","12305.31","0.5","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Niger","Bangladesh","2015.0","Import","11.0","0.39","22.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Bulgaria","2015.0","Import","15.0","0.53","67.17","0.0","12.0","19.17","7.0","85.71","14.29","0.0","0.0","20.0","0.0","0.0","875.68","14.36","12.0","19.17","7.0","85.71","14.29","0.0","0.0","20.0","0.0","0.0","875.68","14.36",""
"Niger","Bahrain","2015.0","Import","1.0","0.04","1652.6","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Bosnia and Herzegovina","2015.0","Import","6.0","0.21","95.65","0.0","18.29","18.46","11.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","96.55","0.0","18.29","18.46","11.0","100.0","0.0","0.0","0.0","20.0","5.0","0.0","96.55","0.0",""
"Niger","Belarus","2015.0","Import","3.0","0.11","205.09","0.01","6.56","7.1","9.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","269.5","0.0","6.56","7.1","9.0","100.0","0.0","0.0","0.0","10.0","5.0","0.0","269.5","0.0",""
"Niger","Bermuda","2015.0","Import","1.0","0.04","14.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Bolivia","2015.0","Import","1.0","0.04","2.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Brazil","2015.0","Import","52.0","1.84","32638.49","1.33","25.0","26.09","20.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","754.68","0.0","25.0","26.09","20.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","754.68","0.0",""
"Niger","Brunei","2015.0","Import","3.0","0.11","46.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Central African Republic","2015.0","Import","1.0","0.04","4.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Canada","2015.0","Import","100.0","3.53","2037.55","0.08","12.74","13.23","105.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","4575.37","0.0","12.74","13.23","105.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","4575.37","0.0",""
"Niger","Switzerland","2015.0","Import","263.0","9.29","15167.88","0.62","12.81","13.47","319.0","95.92","4.08","0.0","0.0","35.0","0.0","0.0","20805.75","787.65","12.81","13.47","319.0","95.92","4.08","0.0","0.0","35.0","0.0","0.0","20805.75","787.65",""
"Niger","Chile","2015.0","Import","10.0","0.35","2420.28","0.1","12.14","5.79","7.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","5276.1","0.0","12.14","5.79","7.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","5276.1","0.0",""
"Niger","China","2015.0","Import","1742.0","61.53","565398.16","23.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Cote d'Ivoire","2015.0","Import","287.0","10.14","53530.45","2.18","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Niger","Cameroon","2015.0","Import","5.0","0.18","5928.67","0.24","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Congo, Rep.","2015.0","Import","5.0","0.18","266.51","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Cape Verde","2015.0","Import","2.0","0.07","1.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","Cuba","2015.0","Import","1.0","0.04","405.19","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
