"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Nicaragua","Aruba","2015.0","Import","3.0","0.08","297.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicaragua","Afghanistan","2015.0","Import","5.0","0.13","15.61","0.0","8.21","7.08","27.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","1.54","0.08","8.21","7.08","27.0","66.67","33.33","0.0","0.0","15.0","0.0","0.0","1.54","0.08",""
"Nicaragua","Angola","2015.0","Import","2.0","0.05","4.9","0.0","15.0","15.0","3.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","9.29","0.0","15.0","15.0","3.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","9.29","0.0",""
"Nicaragua","Albania","2015.0","Import","8.0","0.21","5.96","0.0","7.29","6.23","33.0","72.73","27.27","0.0","0.0","15.0","0.0","0.0","38.39","9.01","7.29","6.23","33.0","72.73","27.27","0.0","0.0","15.0","0.0","0.0","38.39","9.01",""
"Nicaragua","Andorra","2015.0","Import","2.0","0.05","15.41","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","1.55","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","1.55","0.0",""
"Nicaragua","United Arab Emirates","2015.0","Import","25.0","0.67","2202.7","0.04","5.45","0.12","68.0","47.06","52.94","0.0","0.0","15.0","0.0","0.0","4.59","395.54","5.45","0.12","68.0","47.06","52.94","0.0","0.0","15.0","0.0","0.0","4.59","395.54",""
"Nicaragua","Argentina","2015.0","Import","356.0","9.54","30433.39","0.52","5.07","3.49","828.0","53.62","46.38","0.0","0.0","40.0","0.0","0.0","18999.41","15115.26","5.07","3.49","828.0","53.62","46.38","0.0","0.0","40.0","0.0","0.0","18999.41","15115.26",""
"Nicaragua","Antarctica","2015.0","Import","5.0","0.13","105.46","0.0","7.5","7.5","2.0","50.0","50.0","0.0","0.0","15.0","0.0","0.0","0.1","0.0","7.5","7.5","2.0","50.0","50.0","0.0","0.0","15.0","0.0","0.0","0.1","0.0",""
"Nicaragua","Antigua and Barbuda","2015.0","Import","6.0","0.16","0.76","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicaragua","Australia","2015.0","Import","210.0","5.63","6063.2","0.1","5.46","24.99","538.0","50.74","49.26","0.0","0.0","60.0","0.0","0.0","2707.38","753.14","5.46","24.99","538.0","50.74","49.26","0.0","0.0","60.0","0.0","0.0","2707.38","753.14",""
