"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Netherlands","Aruba","2015.0","Import","694.0","15.35","6146.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Afghanistan","2015.0","Import","118.0","2.61","1054.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Angola","2015.0","Import","901.0","19.93","512926.2","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Anguila","2015.0","Import","2.0","0.04","40.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Albania","2015.0","Import","234.0","5.18","8765.71","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Andorra","2015.0","Import","220.0","4.87","644.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","United Arab Emirates","2015.0","Import","2074.0","45.87","945846.64","0.22","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Argentina","2015.0","Import","1908.0","42.2","1263955.97","0.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Armenia","2015.0","Import","58.0","1.28","3391.59","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","American Samoa","2015.0","Import","2.0","0.04","0.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Fr. So. Ant. Tr","2015.0","Import","2.0","0.04","0.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Antigua and Barbuda","2015.0","Import","239.0","5.29","324.92","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Australia","2015.0","Import","2327.0","51.47","1095946.37","0.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Austria","2015.0","Import","4416.0","97.68","2421819.8","0.57","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Azerbaijan","2015.0","Import","449.0","9.93","4943.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Burundi","2015.0","Import","93.0","2.06","114.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Belgium","2015.0","Import","4430.0","97.99","42271650.2","9.95","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Benin","2015.0","Import","320.0","7.08","4649.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Bonaire","2015.0","Import","187.0","4.14","884.88","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Burkina Faso","2015.0","Import","432.0","9.56","9670.11","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Bangladesh","2015.0","Import","1837.0","40.63","965193.67","0.23","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","Bulgaria","2015.0","Import","4358.0","96.39","621606.16","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
