"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Norway","Afghanistan","2015.0","Import","30.0","0.68","141.34","0.0","0.19","0.08","52.0","0.0","98.08","0.0","1.92","11.68","0.0","0.0","2.05","139.95","0.99","0.13","52.0","1.92","94.23","0.0","3.85","26.29","0.0","0.0","2.53","139.48","1.0"
"Norway","Angola","2015.0","Import","135.0","3.08","29321.69","0.04","0.08","0.0","257.0","0.39","99.61","0.0","0.0","10.7","0.0","0.0","0.16","29321.54","0.08","0.0","257.0","0.39","99.61","0.0","0.0","10.7","0.0","0.0","0.16","29321.54","1.0"
"Norway","Albania","2015.0","Import","94.0","2.15","2360.72","0.0","0.0","0.0","135.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2361.36","6.22","6.57","135.0","53.33","46.67","0.0","0.0","10.7","0.0","0.0","1458.29","903.06","1.0"
"Norway","Andorra","2015.0","Import","15.0","0.34","2720.03","0.0","0.0","0.0","32.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2723.71","0.0","0.0","32.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2723.71",""
"Norway","United Arab Emirates","2015.0","Import","515.0","11.75","48152.36","0.06","0.93","0.16","853.0","0.59","96.48","0.0","2.93","188.78","0.0","0.0","248.56","47909.87","2.68","0.27","853.0","12.31","84.29","0.12","3.28","268.49","0.0","0.84","704.28","47454.16","1.0"
"Norway","Argentina","2015.0","Import","229.0","5.23","31469.1","0.04","5.57","12.16","439.0","1.59","84.97","0.0","13.44","379.96","0.0","0.0","15612.76","15873.63","7.36","14.02","439.0","2.96","81.78","0.0","15.26","422.23","0.0","0.0","15709.53","15776.86","1.0"
"Norway","Armenia","2015.0","Import","24.0","0.55","432.46","0.0","5.35","10.19","28.0","42.86","57.14","0.0","0.0","10.7","0.0","0.0","411.89","20.57","9.15","10.52","28.0","89.29","10.71","0.0","0.0","10.7","0.0","0.0","427.45","5.01","1.0"
"Norway","Fr. So. Ant. Tr","2015.0","Import","2.0","0.05","0.4","0.0","0.0","0.0","10.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.0","0.0","10.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4",""
"Norway","Antigua and Barbuda","2015.0","Import","2.0","0.05","17.15","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","17.15","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","17.15",""
"Norway","Australia","2015.0","Import","1006.0","22.96","100922.69","0.13","3.6","1.15","1626.0","9.96","84.13","0.0","5.9","354.78","0.0","0.0","2550.36","98039.08","3.6","1.15","1626.0","9.96","84.13","0.0","5.9","354.78","0.0","0.0","2550.36","98039.08",""
