"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Nepal","Afghanistan","2015.0","Import","13.0","0.32","80.26","0.0","11.67","14.7","14.0","71.43","21.43","7.14","0.0","30.0","0.0","10.88","80.0","0.26","11.67","14.7","14.0","71.43","21.43","7.14","0.0","30.0","0.0","10.88","80.0","0.26",""
"Nepal","Angola","2015.0","Import","1.0","0.02","105.77","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","105.77","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","105.77","0.0",""
"Nepal","Anguila","2015.0","Import","2.0","0.05","0.05","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.05","0.0","15.0","15.0","2.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.05","0.0",""
"Nepal","Andorra","2015.0","Import","44.0","1.08","84.62","0.0","12.95","11.43","67.0","92.54","1.49","5.97","0.0","30.0","0.0","1.32","84.04","0.58","12.95","11.43","67.0","92.54","1.49","5.97","0.0","30.0","0.0","1.32","84.04","0.58",""
"Nepal","United Arab Emirates","2015.0","Import","352.0","8.66","266313.27","4.03","15.13","6.35","398.0","92.21","5.28","1.26","1.26","170.34","0.0","8147.67","266100.91","212.36","15.13","6.35","398.0","92.21","5.28","1.26","1.26","170.34","0.0","8147.67","266100.91","212.36",""
"Nepal","Argentina","2015.0","Import","25.0","0.61","71054.01","1.07","13.24","5.71","27.0","96.3","0.0","0.0","3.7","107.61","5.0","0.0","71054.01","0.0","13.24","5.71","27.0","96.3","0.0","0.0","3.7","107.61","5.0","0.0","71054.01","0.0",""
"Nepal","American Samoa","2015.0","Import","1.0","0.02","0.1","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.1","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.1","0.0",""
"Nepal","Antigua and Barbuda","2015.0","Import","3.0","0.07","9.35","0.0","8.33","5.03","3.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","9.35","0.0","8.33","5.03","3.0","100.0","0.0","0.0","0.0","15.0","5.0","0.0","9.35","0.0",""
"Nepal","Australia","2015.0","Import","270.0","6.64","35755.88","0.54","14.47","10.09","315.0","88.89","7.62","1.59","1.9","184.83","0.0","1426.93","35664.35","91.52","14.47","10.09","315.0","88.89","7.62","1.59","1.9","184.83","0.0","1426.93","35664.35","91.52",""
"Nepal","Austria","2015.0","Import","172.0","4.23","3193.6","0.05","11.72","11.51","188.0","89.36","10.11","0.53","0.0","30.0","0.0","1.22","2991.64","201.96","11.72","11.51","188.0","89.36","10.11","0.53","0.0","30.0","0.0","1.22","2991.64","201.96",""
"Nepal","Belgium","2015.0","Import","180.0","4.43","7788.61","0.12","13.33","11.27","213.0","92.49","5.16","1.88","0.47","114.97","0.0","40.06","7777.58","11.04","13.33","11.27","213.0","92.49","5.16","1.88","0.47","114.97","0.0","40.06","7777.58","11.04",""
"Nepal","Benin","2015.0","Import","1.0","0.02","17.86","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","17.86","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","17.86","0.0",""
"Nepal","Bangladesh","2015.0","Import","262.0","6.44","24799.95","0.38","15.88","17.02","306.0","93.79","4.25","1.63","0.33","80.0","0.0","296.29","24029.36","770.59","17.71","17.76","306.0","93.79","4.25","1.63","0.33","80.0","0.0","296.29","24029.36","770.59","1.0"
"Nepal","Bulgaria","2015.0","Import","40.0","0.98","1277.42","0.02","17.54","13.21","44.0","68.18","25.0","0.0","6.82","184.83","0.0","0.0","1270.14","7.27","17.54","13.21","44.0","68.18","25.0","0.0","6.82","184.83","0.0","0.0","1270.14","7.27",""
"Nepal","Bahrain","2015.0","Import","41.0","1.01","286.2","0.0","15.94","10.08","50.0","94.0","4.0","0.0","2.0","30.0","0.0","0.0","285.8","0.39","15.94","10.08","50.0","94.0","4.0","0.0","2.0","30.0","0.0","0.0","285.8","0.39",""
"Nepal","Bahamas, The","2015.0","Import","1.0","0.02","0.13","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.13","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.13","0.0",""
"Nepal","Bosnia and Herzegovina","2015.0","Import","6.0","0.15","3.12","0.0","16.67","17.65","6.0","100.0","0.0","0.0","0.0","20.0","15.0","0.0","3.12","0.0","16.67","17.65","6.0","100.0","0.0","0.0","0.0","20.0","15.0","0.0","3.12","0.0",""
"Nepal","Belarus","2015.0","Import","14.0","0.34","3170.77","0.05","15.71","19.53","14.0","92.86","7.14","0.0","0.0","20.0","0.0","0.0","3168.24","2.53","15.71","19.53","14.0","92.86","7.14","0.0","0.0","20.0","0.0","0.0","3168.24","2.53",""
"Nepal","Belize","2015.0","Import","1.0","0.02","1.76","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.76","0.0","10.0","10.0","1.0","100.0","0.0","0.0","0.0","10.0","10.0","0.0","1.76","0.0",""
"Nepal","Bolivia","2015.0","Import","1.0","0.02","0.02","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.02","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.02","0.0",""
"Nepal","Brazil","2015.0","Import","63.0","1.55","19086.35","0.29","15.01","5.41","68.0","95.59","1.47","0.0","2.94","168.97","0.0","0.0","19019.35","66.99","15.01","5.41","68.0","95.59","1.47","0.0","2.94","168.97","0.0","0.0","19019.35","66.99",""
"Nepal","Barbados","2015.0","Import","2.0","0.05","1.21","0.0","33.91","27.84","3.0","33.33","0.0","0.0","66.67","79.36","5.0","0.0","1.21","0.0","33.91","27.84","3.0","33.33","0.0","0.0","66.67","79.36","5.0","0.0","1.21","0.0",""
"Nepal","Brunei","2015.0","Import","12.0","0.3","14.52","0.0","17.5","6.86","13.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","14.52","0.0","17.5","6.86","13.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","14.52","0.0",""
"Nepal","Bhutan","2015.0","Import","16.0","0.39","3087.29","0.05","11.81","5.01","16.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","3087.29","0.0","14.69","5.05","16.0","100.0","0.0","0.0","0.0","30.0","5.0","0.0","3087.29","0.0","2.0"
"Nepal","Botswana","2015.0","Import","1.0","0.02","0.1","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.1","0.0","15.0","15.0","1.0","100.0","0.0","0.0","0.0","15.0","15.0","0.0","0.1","0.0",""
"Nepal","Central African Republic","2015.0","Import","6.0","0.15","5.51","0.0","26.98","41.13","6.0","66.67","0.0","16.67","16.67","49.89","15.0","1.56","5.51","0.0","26.98","41.13","6.0","66.67","0.0","16.67","16.67","49.89","15.0","1.56","5.51","0.0",""
