"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"New Zealand","Aruba","2015.0","Import","7.0","0.16","12.91","0.0","2.66","1.84","23.0","43.48","56.52","0.0","0.0","10.0","0.0","0.0","4.29","8.62","2.66","1.84","23.0","43.48","56.52","0.0","0.0","10.0","0.0","0.0","4.29","8.62",""
"New Zealand","Afghanistan","2015.0","Import","98.0","2.28","83.64","0.0","0.01","0.0","204.0","0.49","99.51","0.0","0.0","5.0","0.0","0.0","0.29","83.33","5.43","5.68","204.0","55.39","43.63","0.0","0.98","210.78","0.0","0.0","64.37","19.26","1.0"
"New Zealand","Angola","2015.0","Import","3.0","0.07","1.97","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.97","3.33","3.58","3.0","66.67","33.33","0.0","0.0","5.0","0.0","0.0","1.41","0.56","1.0"
"New Zealand","Anguila","2015.0","Import","55.0","1.28","144.72","0.0","2.28","1.02","140.0","45.0","53.57","1.43","0.0","10.0","0.0","0.94","36.55","108.17","2.43","1.04","140.0","47.14","51.43","1.43","0.0","10.0","0.0","0.94","36.55","108.17","1.0"
"New Zealand","Albania","2015.0","Import","45.0","1.05","266.72","0.0","6.16","4.75","98.0","68.37","30.61","1.02","0.0","10.0","0.0","0.03","175.72","90.99","6.22","4.75","98.0","69.39","29.59","1.02","0.0","10.0","0.0","0.03","175.72","90.99","1.0"
"New Zealand","Andorra","2015.0","Import","26.0","0.6","47.92","0.0","3.2","3.2","67.0","61.19","35.82","2.99","0.0","10.0","0.0","0.1","31.73","16.19","3.2","3.2","67.0","61.19","35.82","2.99","0.0","10.0","0.0","0.1","31.73","16.19",""
"New Zealand","United Arab Emirates","2015.0","Import","627.0","14.58","317309.62","0.87","3.65","0.59","1239.0","58.76","40.44","0.65","0.16","10.0","0.0","24.61","44628.47","272543.47","3.65","0.59","1239.0","58.76","40.44","0.65","0.16","10.0","0.0","24.61","44628.47","272543.47",""
"New Zealand","Argentina","2015.0","Import","226.0","5.25","140032.51","0.38","2.59","1.41","515.0","49.32","49.32","1.36","0.0","10.0","0.0","2.05","32933.57","106784.42","2.65","1.42","515.0","50.87","47.77","1.36","0.0","10.0","0.0","2.05","32933.57","106784.42","1.0"
"New Zealand","Armenia","2015.0","Import","17.0","0.4","61.66","0.0","4.9","4.3","37.0","62.16","37.84","0.0","0.0","10.0","0.0","0.0","41.25","20.41","4.9","4.3","37.0","62.16","37.84","0.0","0.0","10.0","0.0","0.0","41.25","20.41",""
"New Zealand","American Samoa","2015.0","Import","26.0","0.6","879.29","0.0","2.08","0.15","56.0","50.0","50.0","0.0","0.0","10.0","0.0","0.0","27.19","852.1","2.08","0.15","56.0","50.0","50.0","0.0","0.0","10.0","0.0","0.0","27.19","852.1",""
"New Zealand","Antarctica","2015.0","Import","5.0","0.12","4068.7","0.01","2.0","0.0","7.0","42.86","42.86","14.29","0.0","5.0","0.0","0.11","0.33","4068.37","2.0","0.0","7.0","42.86","42.86","14.29","0.0","5.0","0.0","0.11","0.33","4068.37",""
"New Zealand","Fr. So. Ant. Tr","2015.0","Import","1.0","0.02","0.16","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.16","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.16","0.0",""
"New Zealand","Antigua and Barbuda","2015.0","Import","9.0","0.21","14.03","0.0","2.55","2.07","34.0","47.06","50.0","2.94","0.0","5.0","0.0","0.03","10.93","3.1","2.55","2.07","34.0","47.06","50.0","2.94","0.0","5.0","0.0","0.03","10.93","3.1","1.0"
