"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Oman","Angola","2015.0","Import","1.0","0.02","2.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oman","Albania","2015.0","Import","4.0","0.1","1255.45","0.0","5.0","5.0","6.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","1255.45","0.0","5.0","5.0","6.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","1255.45","0.0",""
"Oman","United Arab Emirates","2015.0","Import","3728.0","92.07","10159603.2","35.02","0.0","0.0","5989.0","0.0","99.78","0.22","0.0","0.0","0.0","18040.54","18040.54","10138650.96","5.45","4.47","5989.0","88.18","11.29","0.28","0.25","623.18","0.0","240502.05","8593377.37","1563314.14","2.0"
"Oman","Argentina","2015.0","Import","64.0","1.58","37368.69","0.13","3.94","1.99","169.0","76.33","23.67","0.0","0.0","100.0","0.0","0.0","14745.72","22622.98","3.94","1.99","169.0","76.33","23.67","0.0","0.0","100.0","0.0","0.0","14745.72","22622.98",""
"Oman","Australia","2015.0","Import","366.0","9.04","226135.64","0.78","5.41","3.53","771.0","78.86","20.88","0.26","0.0","100.0","0.0","2.13","157790.24","68222.59","5.41","3.53","771.0","78.86","20.88","0.26","0.0","100.0","0.0","2.13","157790.24","68222.59",""
"Oman","Austria","2015.0","Import","430.0","10.62","15091.76","0.05","4.39","3.9","825.0","86.3","13.45","0.24","0.0","100.0","0.0","28.57","11788.21","3297.82","4.39","3.9","825.0","86.3","13.45","0.24","0.0","100.0","0.0","28.57","11788.21","3297.82",""
"Oman","Burundi","2015.0","Import","1.0","0.02","1.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oman","Belgium","2015.0","Import","1079.0","26.65","279912.69","0.96","5.21","4.49","2006.0","88.53","11.27","0.2","0.0","100.0","0.0","134.2","239183.91","40673.76","5.21","4.49","2006.0","88.53","11.27","0.2","0.0","100.0","0.0","134.2","239183.91","40673.76",""
"Oman","Bangladesh","2015.0","Import","128.0","3.16","6277.04","0.02","5.04","4.62","320.0","89.06","10.94","0.0","0.0","100.0","0.0","0.0","5400.45","865.04","5.04","4.62","320.0","89.06","10.94","0.0","0.0","100.0","0.0","0.0","5400.45","865.04",""
"Oman","Bulgaria","2015.0","Import","65.0","1.61","54337.83","0.19","3.91","4.94","156.0","67.95","32.05","0.0","0.0","5.0","0.0","0.0","53732.2","605.11","3.91","4.94","156.0","67.95","32.05","0.0","0.0","5.0","0.0","0.0","53732.2","605.11",""
"Oman","Bahrain","2015.0","Import","349.0","8.62","256474.11","0.88","0.0","0.0","865.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","256323.08","4.43","4.94","865.0","87.98","11.79","0.23","0.0","100.0","0.0","12445.61","253231.41","3091.68","2.0"
"Oman","Bosnia and Herzegovina","2015.0","Import","2.0","0.05","0.78","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.52","0.0","5.0","5.0","1.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.52","0.0",""
"Oman","Brazil","2015.0","Import","194.0","4.79","623004.9","2.15","4.39","5.02","368.0","80.43","19.57","0.0","0.0","100.0","0.0","0.0","607618.64","15382.01","4.39","5.02","368.0","80.43","19.57","0.0","0.0","100.0","0.0","0.0","607618.64","15382.01",""
"Oman","Brunei","2015.0","Import","1.0","0.02","112.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oman","Canada","2015.0","Import","547.0","13.51","88366.74","0.3","4.46","2.95","1143.0","84.25","15.57","0.17","0.0","100.0","0.0","71.64","52073.65","36235.65","4.46","2.95","1143.0","84.25","15.57","0.17","0.0","100.0","0.0","71.64","52073.65","36235.65",""
"Oman","Switzerland","2015.0","Import","561.0","13.86","176571.13","0.61","0.11","0.25","1092.0","3.75","96.15","0.09","0.0","100.0","0.0","0.34","8768.65","167783.02","4.35","2.93","1092.0","87.09","12.82","0.09","0.0","100.0","0.0","0.34","103595.95","72955.72","2.0"
"Oman","Chile","2015.0","Import","18.0","0.44","14463.7","0.05","4.17","4.4","39.0","92.31","7.69","0.0","0.0","5.0","0.0","0.0","12714.88","1748.82","4.17","4.4","39.0","92.31","7.69","0.0","0.0","5.0","0.0","0.0","12714.88","1748.82",""
"Oman","China","2015.0","Import","1977.0","48.83","1456449.36","5.02","4.73","4.73","3354.0","92.55","7.22","0.24","0.0","100.0","0.0","2413.28","1381966.29","74283.18","4.73","4.73","3354.0","92.55","7.22","0.24","0.0","100.0","0.0","2413.28","1381966.29","74283.18",""
