"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Pakistan","Afghanistan","2015.0","Import","179.0","4.36","390400.9","0.89","12.38","9.18","311.0","99.36","0.0","0.0","0.64","830.74","1.37","0.0","390330.6","0.0","12.38","9.18","311.0","99.36","0.0","0.0","0.64","830.74","1.37","0.0","390330.6","0.0",""
"Pakistan","Angola","2015.0","Import","14.0","0.34","636.24","0.0","11.25","7.03","43.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","636.24","0.0","11.25","7.03","43.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","636.24","0.0",""
"Pakistan","Anguila","2015.0","Import","2.0","0.05","0.51","0.0","18.5","22.16","5.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","0.51","0.0","18.5","22.16","5.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","0.51","0.0",""
"Pakistan","Albania","2015.0","Import","13.0","0.32","59.26","0.0","11.87","10.34","27.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","59.02","0.0","11.87","10.34","27.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","59.02","0.0",""
"Pakistan","United Arab Emirates","2015.0","Import","2119.0","51.58","5734688.18","13.04","14.28","7.53","3548.0","99.3","0.0","0.0","0.7","830.74","0.29","0.0","5732775.29","0.0","14.28","7.53","3548.0","99.3","0.0","0.0","0.7","830.74","0.29","0.0","5732775.29","0.0",""
"Pakistan","Argentina","2015.0","Import","104.0","2.53","440967.16","1.0","10.78","8.66","255.0","99.22","0.0","0.0","0.78","35.0","2.0","0.0","440965.62","0.0","10.78","8.66","255.0","99.22","0.0","0.0","0.78","35.0","2.0","0.0","440965.62","0.0",""
"Pakistan","Armenia","2015.0","Import","5.0","0.12","51.18","0.0","18.96","19.54","14.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","51.16","0.0","18.96","19.54","14.0","100.0","0.0","0.0","0.0","35.0","5.0","0.0","51.16","0.0",""
"Pakistan","American Samoa","2015.0","Import","8.0","0.19","57.91","0.0","12.33","12.72","28.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","57.91","0.0","12.33","12.72","28.0","100.0","0.0","0.0","0.0","35.0","2.0","0.0","57.91","0.0",""
"Pakistan","Fr. So. Ant. Tr","2015.0","Import","1.0","0.02","320.34","0.0","10.11","10.11","1.0","0.0","0.0","0.0","100.0","10.11","10.11","0.0","320.34","0.0","10.11","10.11","1.0","0.0","0.0","0.0","100.0","10.11","10.11","0.0","320.34","0.0",""
"Pakistan","Australia","2015.0","Import","647.0","15.75","537580.91","1.22","14.04","5.04","1412.0","99.65","0.0","0.0","0.35","100.0","1.37","0.0","537528.94","0.0","14.04","5.04","1412.0","99.65","0.0","0.0","0.35","100.0","1.37","0.0","537528.94","0.0",""
