"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Peru","Aruba","2015.0","Import","2.0","0.05","2584.38","0.01","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2584.38","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2584.38",""
"Peru","Afghanistan","2015.0","Import","6.0","0.14","35.28","0.0","4.67","5.39","10.0","40.0","60.0","0.0","0.0","11.0","0.0","0.0","31.19","4.09","4.67","5.39","10.0","40.0","60.0","0.0","0.0","11.0","0.0","0.0","31.19","4.09",""
"Peru","Angola","2015.0","Import","5.0","0.12","226.74","0.0","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","226.74","0.0","0.0","9.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","226.74",""
"Peru","Albania","2015.0","Import","24.0","0.58","77.06","0.0","6.4","9.78","66.0","53.03","46.97","0.0","0.0","11.0","0.0","0.0","75.42","1.64","6.4","9.78","66.0","53.03","46.97","0.0","0.0","11.0","0.0","0.0","75.42","1.64",""
"Peru","Andorra","2015.0","Import","5.0","0.12","3.61","0.0","1.1","0.04","18.0","5.56","94.44","0.0","0.0","11.0","0.0","0.0","0.03","3.58","1.1","0.04","18.0","5.56","94.44","0.0","0.0","11.0","0.0","0.0","0.03","3.58",""
"Peru","United Arab Emirates","2015.0","Import","123.0","2.97","18199.16","0.05","2.91","1.42","265.0","33.58","66.42","0.0","0.0","11.0","0.0","0.0","4293.56","13905.6","2.91","1.42","265.0","33.58","66.42","0.0","0.0","11.0","0.0","0.0","4293.56","13905.6",""
"Peru","Argentina","2015.0","Import","1226.0","29.57","862271.33","2.26","2.78","1.34","2359.0","32.01","67.99","0.0","0.0","11.0","0.0","0.0","204380.42","657889.05","2.78","1.34","2359.0","32.01","67.99","0.0","0.0","11.0","0.0","0.0","204380.42","657889.05",""
"Peru","Armenia","2015.0","Import","6.0","0.14","124.23","0.0","2.96","0.19","49.0","10.2","89.8","0.0","0.0","11.0","0.0","0.0","2.27","121.96","2.96","0.19","49.0","10.2","89.8","0.0","0.0","11.0","0.0","0.0","2.27","121.96",""
"Peru","American Samoa","2015.0","Import","3.0","0.07","4.2","0.0","0.0","0.0","6.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.2","0.0","0.0","6.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","4.2",""
"Peru","Antarctica","2015.0","Import","1.0","0.02","0.03","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03",""
"Peru","Antigua and Barbuda","2015.0","Import","3.0","0.07","0.14","0.0","0.0","0.0","11.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.0","0.0","11.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14",""
"Peru","Australia","2015.0","Import","593.0","14.3","131600.49","0.35","1.56","0.32","1189.0","20.19","79.81","0.0","0.0","11.0","0.0","0.0","19259.39","112331.99","1.56","0.32","1189.0","20.19","79.81","0.0","0.0","11.0","0.0","0.0","19259.39","112331.99",""
"Peru","Austria","2015.0","Import","830.0","20.02","120710.17","0.32","1.79","1.76","1597.0","24.86","75.14","0.0","0.0","11.0","0.0","0.0","36647.62","84062.55","1.79","1.76","1597.0","24.86","75.14","0.0","0.0","11.0","0.0","0.0","36647.62","84062.55",""
"Peru","Burundi","2015.0","Import","2.0","0.05","3.6","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","3.6","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","3.6",""
"Peru","Belgium","2015.0","Import","973.0","23.47","183654.58","0.48","2.0","1.47","1898.0","26.03","73.97","0.0","0.0","11.0","0.0","0.0","47217.64","136436.37","2.0","1.47","1898.0","26.03","73.97","0.0","0.0","11.0","0.0","0.0","47217.64","136436.37",""
"Peru","Burkina Faso","2015.0","Import","1.0","0.02","62.53","0.0","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","62.53","0.0","0.0","2.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","62.53",""
"Peru","Bangladesh","2015.0","Import","222.0","5.35","35889.47","0.09","9.95","10.83","322.0","98.76","1.24","0.0","0.0","11.0","0.0","0.0","35765.3","124.17","9.95","10.83","322.0","98.76","1.24","0.0","0.0","11.0","0.0","0.0","35765.3","124.17",""
