"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Philippines","Aruba","2015.0","Import","1.0","0.02","1.53","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Afghanistan","2015.0","Import","43.0","0.94","1153.72","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Angola","2015.0","Import","6.0","0.13","887.36","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Anguila","2015.0","Import","3.0","0.07","96.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Albania","2015.0","Import","14.0","0.31","113.35","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Andorra","2015.0","Import","14.0","0.31","220.56","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","United Arab Emirates","2015.0","Import","542.0","11.89","496020.93","0.71","8.27","9.33","1769.0","93.95","6.05","0.0","0.0","45.0","0.0","0.0","113683.22","9408.01","8.27","9.33","1769.0","93.95","6.05","0.0","0.0","45.0","0.0","0.0","113683.22","9408.01",""
"Philippines","Argentina","2015.0","Import","107.0","2.35","199082.31","0.28","5.31","2.88","640.0","94.22","5.78","0.0","0.0","50.0","0.0","0.0","283366.75","141.1","5.31","2.88","640.0","94.22","5.78","0.0","0.0","50.0","0.0","0.0","283366.75","141.1",""
"Philippines","Armenia","2015.0","Import","3.0","0.07","69.21","0.0","0.88","0.82","5.0","80.0","20.0","0.0","0.0","1.0","0.0","0.0","70.06","0.0","0.88","0.82","5.0","80.0","20.0","0.0","0.0","1.0","0.0","0.0","70.06","0.0",""
"Philippines","American Samoa","2015.0","Import","3.0","0.07","47.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Antarctica","2015.0","Import","1.0","0.02","11.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Fr. So. Ant. Tr","2015.0","Import","13.0","0.29","140.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Antigua and Barbuda","2015.0","Import","3.0","0.07","25.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Australia","2015.0","Import","1596.0","35.02","845209.21","1.2","0.84","0.6","4383.0","8.1","91.9","0.0","0.0","65.0","0.0","0.0","121186.75","1026558.71","5.8","4.71","4383.0","92.95","7.05","0.0","0.0","65.0","0.0","0.0","1125015.39","22730.06","1.0"
"Philippines","Austria","2015.0","Import","552.0","12.11","71242.64","0.1","6.0","4.87","2758.0","90.28","9.72","0.0","0.0","40.0","0.0","0.0","120120.38","2150.14","6.0","4.87","2758.0","90.28","9.72","0.0","0.0","40.0","0.0","0.0","120120.38","2150.14",""
"Philippines","Azerbaijan","2015.0","Import","2.0","0.04","52.33","0.0","1.0","1.0","2.0","100.0","0.0","0.0","0.0","1.0","1.0","0.0","108.52","0.0","1.0","1.0","2.0","100.0","0.0","0.0","0.0","1.0","1.0","0.0","108.52","0.0",""
"Philippines","Burundi","2015.0","Import","7.0","0.15","17.73","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Philippines","Belgium","2015.0","Import","976.0","21.41","393267.29","0.56","5.9","5.13","3467.0","92.67","7.33","0.0","0.0","65.0","0.0","0.0","370243.04","3188.93","5.9","5.13","3467.0","92.67","7.33","0.0","0.0","65.0","0.0","0.0","370243.04","3188.93",""
"Philippines","Bangladesh","2015.0","Import","229.0","5.02","32983.26","0.05","12.99","11.07","365.0","95.89","4.11","0.0","0.0","30.0","0.0","0.0","35807.11","2.0","12.99","11.07","365.0","95.89","4.11","0.0","0.0","30.0","0.0","0.0","35807.11","2.0",""
