"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Palau","Andorra","2015.0","Import","124.0","4.15","202.49","0.13","9.04","67.35","136.0","88.97","2.21","0.74","8.09","205.88","0.0","0.38","201.5","1.0","9.04","67.35","136.0","88.97","2.21","0.74","8.09","205.88","0.0","0.38","201.5","1.0",""
"Palau","United Arab Emirates","2015.0","Import","7.0","0.23","0.19","0.0","3.0","3.0","7.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.19","0.0","3.0","3.0","7.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.19","0.0",""
"Palau","Australia","2015.0","Import","196.0","6.56","3246.2","2.16","5.17","11.84","219.0","72.6","19.63","3.65","4.11","205.88","0.0","5.53","2195.57","1023.55","5.17","11.84","219.0","72.6","19.63","3.65","4.11","205.88","0.0","5.53","2195.57","1023.55",""
"Palau","Austria","2015.0","Import","3.0","0.1","25.32","0.02","3.0","3.0","3.0","33.33","0.0","66.67","0.0","3.0","3.0","12.13","25.32","0.0","3.0","3.0","3.0","33.33","0.0","66.67","0.0","3.0","3.0","12.13","25.32","0.0",""
"Palau","Belgium","2015.0","Import","54.0","1.81","286.1","0.19","16.45","2.52","60.0","80.0","10.0","0.0","10.0","812.73","0.0","0.0","83.16","202.94","16.45","2.52","60.0","80.0","10.0","0.0","10.0","812.73","0.0","0.0","83.16","202.94",""
"Palau","Bangladesh","2015.0","Import","15.0","0.5","20.92","0.01","3.87","0.17","16.0","81.25","18.75","0.0","0.0","25.0","0.0","0.0","1.15","19.77","3.87","0.17","16.0","81.25","18.75","0.0","0.0","25.0","0.0","0.0","1.15","19.77",""
"Palau","Bulgaria","2015.0","Import","1.0","0.03","1.93","0.0","3.0","3.0","1.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","1.93","0.0","3.0","3.0","1.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","1.93","0.0",""
"Palau","Bahrain","2015.0","Import","1.0","0.03","0.58","0.0","3.0","3.0","3.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.58","0.0","3.0","3.0","3.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.58","0.0",""
"Palau","Bahamas, The","2015.0","Import","2.0","0.07","0.36","0.0","3.0","3.0","2.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.36","0.0","3.0","3.0","2.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","0.36","0.0",""
"Palau","Bosnia and Herzegovina","2015.0","Import","2.0","0.07","24.94","0.02","102.94","0.17","2.0","0.0","50.0","0.0","50.0","205.88","0.0","0.0","0.02","24.92","102.94","0.17","2.0","0.0","50.0","0.0","50.0","205.88","0.0","0.0","0.02","24.92",""
"Palau","Brazil","2015.0","Import","7.0","0.23","14.16","0.01","2.14","1.93","7.0","71.43","28.57","0.0","0.0","3.0","0.0","0.0","9.1","5.06","2.14","1.93","7.0","71.43","28.57","0.0","0.0","3.0","0.0","0.0","9.1","5.06",""
"Palau","Central African Republic","2015.0","Import","1.0","0.03","0.05","0.0","205.88","205.88","1.0","0.0","0.0","0.0","100.0","205.88","205.88","0.0","0.05","0.0","205.88","205.88","1.0","0.0","0.0","0.0","100.0","205.88","205.88","0.0","0.05","0.0",""
"Palau","Canada","2015.0","Import","39.0","1.3","210.33","0.14","8.23","3.53","45.0","82.22","11.11","0.0","6.67","205.88","0.0","0.0","170.92","39.41","8.23","3.53","45.0","82.22","11.11","0.0","6.67","205.88","0.0","0.0","170.92","39.41",""
"Palau","Switzerland","2015.0","Import","126.0","4.22","586.26","0.39","4.63","2.85","129.0","94.57","4.65","0.0","0.78","205.88","0.0","0.0","515.47","70.79","4.63","2.85","129.0","94.57","4.65","0.0","0.78","205.88","0.0","0.0","515.47","70.79",""
"Palau","China","2015.0","Import","1548.0","51.79","8269.06","5.5","5.01","14.52","1657.0","85.76","12.25","0.06","1.93","1721.31","0.0","0.1","8110.46","158.62","5.01","14.52","1657.0","85.76","12.25","0.06","1.93","1721.31","0.0","0.1","8110.46","158.62",""
"Palau","Cote d'Ivoire","2015.0","Import","284.0","9.5","955.31","0.64","5.09","4.46","295.0","95.59","1.69","0.0","2.71","205.88","0.0","0.0","955.03","0.28","5.09","4.46","295.0","95.59","1.69","0.0","2.71","205.88","0.0","0.0","955.03","0.28",""
"Palau","Colombia","2015.0","Import","8.0","0.27","2.85","0.0","3.0","3.0","8.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","2.85","0.0","3.0","3.0","8.0","100.0","0.0","0.0","0.0","3.0","3.0","0.0","2.85","0.0",""
"Palau","Costa Rica","2015.0","Import","1.0","0.03","0.1","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.1","0.0","25.0","25.0","1.0","100.0","0.0","0.0","0.0","25.0","25.0","0.0","0.1","0.0",""
