"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Poland","Afghanistan","2015.0","Import","31.0","0.69","117.87","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Angola","2015.0","Import","9.0","0.2","3922.4","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Anguila","2015.0","Import","8.0","0.18","713.07","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Albania","2015.0","Import","146.0","3.23","7654.79","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Andorra","2015.0","Import","49.0","1.08","92.64","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","United Arab Emirates","2015.0","Import","613.0","13.55","126145.79","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Argentina","2015.0","Import","319.0","7.05","647021.38","0.34","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Armenia","2015.0","Import","65.0","1.44","17652.45","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","American Samoa","2015.0","Import","14.0","0.31","126.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Antarctica","2015.0","Import","7.0","0.15","356.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Fr. So. Ant. Tr","2015.0","Import","7.0","0.15","99.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Antigua and Barbuda","2015.0","Import","10.0","0.22","124951.18","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Australia","2015.0","Import","840.0","18.57","328001.57","0.17","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Austria","2015.0","Import","2569.0","56.8","3335876.27","1.76","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Azerbaijan","2015.0","Import","26.0","0.57","14207.94","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Burundi","2015.0","Import","5.0","0.11","1758.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Belgium","2015.0","Import","2965.0","65.55","4585280.74","2.42","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Benin","2015.0","Import","2.0","0.04","109.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Burkina Faso","2015.0","Import","14.0","0.31","927.83","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bangladesh","2015.0","Import","388.0","8.58","833568.82","0.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bulgaria","2015.0","Import","1157.0","25.58","498846.83","0.26","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bahrain","2015.0","Import","20.0","0.44","25804.09","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bahamas, The","2015.0","Import","11.0","0.24","757959.04","0.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bosnia and Herzegovina","2015.0","Import","269.0","5.95","61259.79","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Saint Barthélemy","2015.0","Import","14.0","0.31","61.94","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Belarus","2015.0","Import","746.0","16.49","831654.09","0.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Belize","2015.0","Import","13.0","0.29","854.59","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bermuda","2015.0","Import","5.0","0.11","5.28","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bolivia","2015.0","Import","23.0","0.51","7577.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Brazil","2015.0","Import","850.0","18.79","1013562.35","0.53","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Barbados","2015.0","Import","10.0","0.22","17412.99","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Brunei","2015.0","Import","30.0","0.66","87.54","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bhutan","2015.0","Import","10.0","0.22","189.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Bunkers","2015.0","Import","3.0","0.07","3.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Botswana","2015.0","Import","4.0","0.09","78.69","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Central African Republic","2015.0","Import","15.0","0.33","280.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Canada","2015.0","Import","1503.0","33.23","364610.62","0.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cocos (Keeling) Islands","2015.0","Import","8.0","0.18","13.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Switzerland","2015.0","Import","2414.0","53.37","1529178.75","0.81","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Chile","2015.0","Import","208.0","4.6","152948.68","0.08","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","China","2015.0","Import","3441.0","76.08","22380369.23","11.8","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cote d'Ivoire","2015.0","Import","47.0","1.04","190175.19","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cameroon","2015.0","Import","52.0","1.15","17011.65","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Congo, Rep.","2015.0","Import","17.0","0.38","19526.74","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cook Islands","2015.0","Import","9.0","0.2","2323.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Colombia","2015.0","Import","219.0","4.84","111285.16","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Comoros","2015.0","Import","8.0","0.18","224.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cape Verde","2015.0","Import","11.0","0.24","29.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Costa Rica","2015.0","Import","151.0","3.34","75097.98","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cuba","2015.0","Import","14.0","0.31","1825.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Curaçao","2015.0","Import","5.0","0.11","4052.9","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Christmas Island","2015.0","Import","10.0","0.22","100.21","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cayman Islands","2015.0","Import","5.0","0.11","49001.81","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Cyprus","2015.0","Import","176.0","3.89","256733.13","0.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Czech Republic","2015.0","Import","3008.0","66.5","6361731.94","3.35","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Germany","2015.0","Import","4263.0","94.25","42886470.08","22.61","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Djibouti","2015.0","Import","45.0","0.99","544.93","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Dominica","2015.0","Import","25.0","0.55","58.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Denmark","2015.0","Import","2507.0","55.43","2252219.3","1.19","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Dominican Republic","2015.0","Import","135.0","2.98","28081.01","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Algeria","2015.0","Import","18.0","0.4","38034.3","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","East Asia & Pacific","2015.0","Import","3763.0","83.2","34488350.13","18.18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Europe & Central Asia","2015.0","Import","4486.0","99.18","137145387.26","72.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Ecuador","2015.0","Import","156.0","3.45","237321.95","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Egypt, Arab Rep.","2015.0","Import","457.0","10.1","106664.71","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Eritrea","2015.0","Import","14.0","0.31","152.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Western Sahara","2015.0","Import","1.0","0.02","0.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Spain","2015.0","Import","2975.0","65.77","4059120.98","2.14","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Estonia","2015.0","Import","820.0","18.13","177401.69","0.09","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Ethiopia(excludes Eritrea)","2015.0","Import","54.0","1.19","4854.57","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Finland","2015.0","Import","1407.0","31.11","1569144.29","0.83","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Fiji","2015.0","Import","12.0","0.27","17.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Falkland Island","2015.0","Import","5.0","0.11","376.67","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","France","2015.0","Import","3448.0","76.23","7057141.61","3.72","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Faeroe Islands","2015.0","Import","25.0","0.55","33977.1","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Micronesia, Fed. Sts.","2015.0","Import","2.0","0.04","5.6","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Gabon","2015.0","Import","25.0","0.55","9800.11","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
