"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Portugal","Aruba","2015.0","Import","1.0","0.02","0.91","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Afghanistan","2015.0","Import","2.0","0.04","20.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Angola","2015.0","Import","363.0","8.11","1266540.03","1.89","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Albania","2015.0","Import","6.0","0.13","172.23","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Andorra","2015.0","Import","40.0","0.89","168.16","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","United Arab Emirates","2015.0","Import","318.0","7.1","23096.28","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Argentina","2015.0","Import","195.0","4.35","48231.69","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Armenia","2015.0","Import","2.0","0.04","25.37","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Antigua and Barbuda","2015.0","Import","5.0","0.11","52.34","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Australia","2015.0","Import","416.0","9.29","40259.77","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Austria","2015.0","Import","1449.0","32.36","334386.36","0.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Azerbaijan","2015.0","Import","11.0","0.25","463353.88","0.69","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Belgium","2015.0","Import","2886.0","64.45","1881070.12","2.81","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Benin","2015.0","Import","1.0","0.02","3639.82","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Burkina Faso","2015.0","Import","8.0","0.18","2392.84","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bangladesh","2015.0","Import","132.0","2.95","40147.95","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bulgaria","2015.0","Import","355.0","7.93","89154.76","0.13","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bahrain","2015.0","Import","18.0","0.4","670.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bahamas, The","2015.0","Import","18.0","0.4","51.52","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bosnia and Herzegovina","2015.0","Import","17.0","0.38","1480.51","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Saint Barthélemy","2015.0","Import","2.0","0.04","3.01","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Belarus","2015.0","Import","17.0","0.38","629.46","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Belize","2015.0","Import","2.0","0.04","542.05","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bermuda","2015.0","Import","3.0","0.07","887.74","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bolivia","2015.0","Import","13.0","0.29","1173.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Brazil","2015.0","Import","1247.0","27.85","953436.47","1.43","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Brunei","2015.0","Import","2.0","0.04","62.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Bhutan","2015.0","Import","1.0","0.02","258.31","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Botswana","2015.0","Import","5.0","0.11","1.33","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Central African Republic","2015.0","Import","2.0","0.04","1744.68","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Canada","2015.0","Import","753.0","16.82","79775.1","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Cocos (Keeling) Islands","2015.0","Import","1.0","0.02","0.25","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Switzerland","2015.0","Import","1494.0","33.36","292888.6","0.44","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Chile","2015.0","Import","180.0","4.02","43501.58","0.07","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","China","2015.0","Import","2565.0","57.28","1970978.61","2.95","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Cote d'Ivoire","2015.0","Import","19.0","0.42","29670.22","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Cameroon","2015.0","Import","67.0","1.5","260977.25","0.39","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Congo, Rep.","2015.0","Import","16.0","0.36","264760.28","0.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Colombia","2015.0","Import","169.0","3.77","309845.23","0.46","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Comoros","2015.0","Import","1.0","0.02","4.43","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Cape Verde","2015.0","Import","214.0","4.78","12101.11","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Costa Rica","2015.0","Import","43.0","0.96","31510.45","0.05","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Cuba","2015.0","Import","11.0","0.25","29741.97","0.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Curaçao","2015.0","Import","19.0","0.42","798.17","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Cayman Islands","2015.0","Import","1.0","0.02","2.41","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Cyprus","2015.0","Import","157.0","3.51","6778.77","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
