"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Paraguay","Aruba","2015.0","Import","1.0","0.03","1754.77","0.02","0.83","0.83","12.0","16.67","83.33","0.0","0.0","6.0","0.0","0.0","1754.77","0.0","0.83","0.83","12.0","16.67","83.33","0.0","0.0","6.0","0.0","0.0","1754.77","0.0",""
"Paraguay","Afghanistan","2015.0","Import","2.0","0.05","0.96","0.0","10.0","10.0","6.0","100.0","0.0","0.0","0.0","18.0","2.0","0.0","0.96","0.0","10.0","10.0","6.0","100.0","0.0","0.0","0.0","18.0","2.0","0.0","0.96","0.0",""
"Paraguay","United Arab Emirates","2015.0","Import","83.0","2.23","16943.22","0.16","9.85","2.62","234.0","74.36","25.64","0.0","0.0","25.0","0.0","0.0","15568.9","1374.32","9.85","2.62","234.0","74.36","25.64","0.0","0.0","25.0","0.0","0.0","15568.9","1374.32",""
"Paraguay","Argentina","2015.0","Import","1886.0","50.64","1535166.03","14.92","0.12","0.68","4742.0","0.72","99.28","0.0","0.0","30.0","0.0","0.0","80370.83","1454791.52","10.95","7.01","4742.0","82.86","17.14","0.0","0.0","30.0","0.0","0.0","1213115.15","322047.2","5.0"
"Paraguay","American Samoa","2015.0","Import","9.0","0.24","3.22","0.0","10.28","7.39","38.0","92.11","7.89","0.0","0.0","18.0","0.0","0.0","3.22","0.0","10.28","7.39","38.0","92.11","7.89","0.0","0.0","18.0","0.0","0.0","3.22","0.0",""
"Paraguay","Australia","2015.0","Import","92.0","2.47","3981.59","0.04","7.73","8.98","473.0","68.29","31.71","0.0","0.0","20.0","0.0","0.0","3511.79","469.79","7.73","8.98","473.0","68.29","31.71","0.0","0.0","20.0","0.0","0.0","3511.79","469.79",""
"Paraguay","Austria","2015.0","Import","333.0","8.94","13917.27","0.14","10.41","8.76","1152.0","75.61","24.39","0.0","0.0","25.0","0.0","0.0","10902.85","3014.42","10.41","8.76","1152.0","75.61","24.39","0.0","0.0","25.0","0.0","0.0","10902.85","3014.42",""
"Paraguay","Belgium","2015.0","Import","359.0","9.64","40302.55","0.39","8.39","3.94","1315.0","74.9","25.1","0.0","0.0","22.0","0.0","0.0","34948.88","5353.67","8.39","3.94","1315.0","74.9","25.1","0.0","0.0","22.0","0.0","0.0","34948.88","5353.67",""
"Paraguay","Benin","2015.0","Import","1.0","0.03","34.14","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","34.14","0.0","20.0","20.0","1.0","100.0","0.0","0.0","0.0","20.0","20.0","0.0","34.14","0.0",""
"Paraguay","Bangladesh","2015.0","Import","64.0","1.72","1740.54","0.02","20.44","21.65","94.0","98.94","1.06","0.0","0.0","25.0","0.0","0.0","1740.54","0.0","20.44","21.65","94.0","98.94","1.06","0.0","0.0","25.0","0.0","0.0","1740.54","0.0",""
"Paraguay","Bulgaria","2015.0","Import","53.0","1.42","4103.24","0.04","9.58","8.03","200.0","71.5","28.5","0.0","0.0","22.0","0.0","0.0","3014.88","1088.35","9.58","8.03","200.0","71.5","28.5","0.0","0.0","22.0","0.0","0.0","3014.88","1088.35",""
"Paraguay","Bahrain","2015.0","Import","1.0","0.03","0.08","0.0","12.5","12.5","4.0","100.0","0.0","0.0","0.0","16.0","2.0","0.0","0.08","0.0","12.5","12.5","4.0","100.0","0.0","0.0","0.0","16.0","2.0","0.0","0.08","0.0",""
"Paraguay","Bosnia and Herzegovina","2015.0","Import","4.0","0.11","3.35","0.0","3.88","9.54","10.0","60.0","40.0","0.0","0.0","10.0","0.0","0.0","3.33","0.02","3.88","9.54","10.0","60.0","40.0","0.0","0.0","10.0","0.0","0.0","3.33","0.02",""
"Paraguay","Belarus","2015.0","Import","8.0","0.21","9535.35","0.09","11.75","0.03","13.0","76.92","23.08","0.0","0.0","20.0","0.0","0.0","24.79","9510.56","11.75","0.03","13.0","76.92","23.08","0.0","0.0","20.0","0.0","0.0","24.79","9510.56",""
"Paraguay","Belize","2015.0","Import","4.0","0.11","37.74","0.0","13.25","1.46","9.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","37.74","0.0","13.25","1.46","9.0","66.67","33.33","0.0","0.0","25.0","0.0","0.0","37.74","0.0",""
"Paraguay","Bolivia","2015.0","Import","196.0","5.26","42009.41","0.41","0.02","0.11","558.0","0.18","99.82","0.0","0.0","8.0","0.0","0.0","1165.84","40843.57","14.18","6.07","558.0","87.46","12.54","0.0","0.0","25.0","0.0","0.0","23862.45","18146.96","5.0"
"Paraguay","Brazil","2015.0","Import","2872.0","77.12","2576661.87","25.04","0.11","0.62","6603.0","0.95","99.05","0.0","0.0","30.0","0.0","0.0","136370.32","2440289.8","10.94","8.89","6603.0","81.83","18.17","0.0","0.0","30.0","0.0","0.0","2037266.12","539394.0","4.0"
"Paraguay","Barbados","2015.0","Import","1.0","0.03","58.54","0.0","18.0","18.0","1.0","100.0","0.0","0.0","0.0","18.0","18.0","0.0","58.54","0.0","18.0","18.0","1.0","100.0","0.0","0.0","0.0","18.0","18.0","0.0","58.54","0.0",""
"Paraguay","Brunei","2015.0","Import","1.0","0.03","0.04","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.04",""
"Paraguay","Canada","2015.0","Import","498.0","13.37","28984.08","0.28","9.48","3.13","1603.0","70.99","29.01","0.0","0.0","22.0","0.0","0.0","10950.64","18033.45","9.48","3.13","1603.0","70.99","29.01","0.0","0.0","22.0","0.0","0.0","10950.64","18033.45",""
"Paraguay","Switzerland","2015.0","Import","567.0","15.23","55239.18","0.54","10.08","4.03","1990.0","75.03","24.97","0.0","0.0","26.0","0.0","0.0","50674.43","4564.75","10.08","4.03","1990.0","75.03","24.97","0.0","0.0","26.0","0.0","0.0","50674.43","4564.75",""
"Paraguay","Chile","2015.0","Import","836.0","22.45","160804.3","1.56","0.0","0.0","2126.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","160719.04","11.46","11.93","2126.0","77.56","22.44","0.0","0.0","25.0","0.0","0.0","151725.15","8993.89","4.0"
"Paraguay","China","2015.0","Import","2550.0","68.47","2417033.88","23.49","11.03","8.34","6264.0","80.78","19.22","0.0","0.0","26.0","0.0","0.0","2217857.9","198926.0","11.03","8.34","6264.0","80.78","19.22","0.0","0.0","26.0","0.0","0.0","2217857.9","198926.0",""
"Paraguay","Colombia","2015.0","Import","329.0","8.83","24432.11","0.24","1.67","1.18","978.0","41.51","58.49","0.0","0.0","20.0","0.0","0.0","10258.66","14100.2","12.53","9.9","978.0","79.75","20.25","0.0","0.0","25.0","0.0","0.0","22275.71","2083.15","4.0"
"Paraguay","Cape Verde","2015.0","Import","1.0","0.03","0.54","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.54","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.54",""
"Paraguay","Costa Rica","2015.0","Import","56.0","1.5","1684.38","0.02","9.52","6.24","254.0","75.98","24.02","0.0","0.0","20.0","0.0","0.0","1671.57","12.81","9.52","6.24","254.0","75.98","24.02","0.0","0.0","20.0","0.0","0.0","1671.57","12.81",""
"Paraguay","Cuba","2015.0","Import","5.0","0.13","1201.48","0.01","1.0","4.53","90.0","1.11","98.89","0.0","0.0","5.0","0.0","0.0","1088.56","112.92","11.46","19.56","90.0","78.89","21.11","0.0","0.0","20.0","0.0","0.0","1201.48","0.0","4.0"
"Paraguay","Cyprus","2015.0","Import","1.0","0.03","3.08","0.0","10.36","10.36","72.0","84.72","15.28","0.0","0.0","14.0","0.0","0.0","3.08","0.0","10.36","10.36","72.0","84.72","15.28","0.0","0.0","14.0","0.0","0.0","3.08","0.0",""
"Paraguay","Czech Republic","2015.0","Import","219.0","5.88","5558.7","0.05","9.97","7.01","804.0","77.24","22.76","0.0","0.0","22.0","0.0","0.0","3613.55","1945.15","9.97","7.01","804.0","77.24","22.76","0.0","0.0","22.0","0.0","0.0","3613.55","1945.15",""
"Paraguay","Germany","2015.0","Import","1745.0","46.86","230027.43","2.24","9.85","8.54","4978.0","79.61","20.39","0.0","0.0","30.0","0.0","0.0","196620.28","33404.4","9.85","8.54","4978.0","79.61","20.39","0.0","0.0","30.0","0.0","0.0","196620.28","33404.4",""
"Paraguay","Djibouti","2015.0","Import","1.0","0.03","87.38","0.0","5.14","5.14","7.0","100.0","0.0","0.0","0.0","14.0","2.0","0.0","87.38","0.0","5.14","5.14","7.0","100.0","0.0","0.0","0.0","14.0","2.0","0.0","87.38","0.0",""
"Paraguay","Dominica","2015.0","Import","5.0","0.13","627.18","0.01","10.9","8.46","9.0","88.89","11.11","0.0","0.0","18.0","0.0","0.0","627.18","0.0","10.9","8.46","9.0","88.89","11.11","0.0","0.0","18.0","0.0","0.0","627.18","0.0",""
"Paraguay","Denmark","2015.0","Import","245.0","6.58","7061.05","0.07","8.54","5.49","990.0","71.62","28.38","0.0","0.0","20.0","0.0","0.0","4786.2","2274.85","8.54","5.49","990.0","71.62","28.38","0.0","0.0","20.0","0.0","0.0","4786.2","2274.85",""
"Paraguay","Dominican Republic","2015.0","Import","13.0","0.35","942.7","0.01","12.3","10.38","92.0","86.96","13.04","0.0","0.0","20.0","0.0","0.0","942.7","0.0","12.3","10.38","92.0","86.96","13.04","0.0","0.0","20.0","0.0","0.0","942.7","0.0",""
"Paraguay","East Asia & Pacific","2015.0","Import","2681.0","71.99","3161813.52","30.72","11.03","8.74","17652.0","75.95","24.05","0.0","0.0","28.0","0.0","0.0","2922290.24","239269.25","11.02","8.74","6543.0","80.68","19.32","0.0","0.0","28.0","0.0","0.0","2922290.24","239269.25",""
"Paraguay","Europe & Central Asia","2015.0","Import","2576.0","69.17","1198612.76","11.65","10.11","5.82","32696.0","76.18","23.82","0.0","0.0","30.0","0.0","0.0","969117.74","229472.18","10.51","5.82","6509.0","80.44","19.56","0.0","0.0","30.0","0.0","0.0","969117.74","229472.18",""
"Paraguay","Ecuador","2015.0","Import","73.0","1.96","4734.39","0.05","0.65","2.15","324.0","4.32","95.68","0.0","0.0","12.0","0.0","0.0","2265.44","2468.95","12.55","15.61","324.0","76.54","23.46","0.0","0.0","25.0","0.0","0.0","4551.83","182.55","5.0"
"Paraguay","Egypt, Arab Rep.","2015.0","Import","30.0","0.81","627.23","0.01","17.16","17.1","70.0","91.43","8.57","0.0","0.0","25.0","0.0","0.0","627.23","0.0","17.16","17.1","70.0","91.43","8.57","0.0","0.0","25.0","0.0","0.0","627.23","0.0",""
"Paraguay","Spain","2015.0","Import","1482.0","39.8","105709.84","1.03","10.9","7.39","3829.0","77.88","22.12","0.0","0.0","28.0","0.0","0.0","82093.61","23596.14","10.9","7.39","3829.0","77.88","22.12","0.0","0.0","28.0","0.0","0.0","82093.61","23596.14",""
"Paraguay","Estonia","2015.0","Import","6.0","0.16","52.57","0.0","3.56","5.94","28.0","53.57","46.43","0.0","0.0","16.0","0.0","0.0","48.2","4.38","3.56","5.94","28.0","53.57","46.43","0.0","0.0","16.0","0.0","0.0","48.2","4.38",""
