"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Occ.Pal.Terr","Aruba","2015.0","Import","81.0","2.59","814.83","0.02","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Albania","2015.0","Import","11.0","0.35","139.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Andorra","2015.0","Import","4.0","0.13","29.85","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","United Arab Emirates","2015.0","Import","317.0","10.14","33111.18","0.63","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Argentina","2015.0","Import","35.0","1.12","4786.75","0.09","14.19","3.68","24.0","4.17","79.17","0.0","16.67","114.0","0.0","0.0","332.18","2184.06","15.48","4.19","24.0","20.83","58.33","0.0","20.83","114.0","0.0","0.0","580.88","1935.36","1.0"
"Occ.Pal.Terr","Armenia","2015.0","Import","1.0","0.03","9.38","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Australia","2015.0","Import","53.0","1.7","5439.7","0.1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Austria","2015.0","Import","146.0","4.67","12809.0","0.25","1.52","0.09","200.0","1.0","98.5","0.0","0.5","69.92","0.0","0.0","9.2","4748.68","5.09","2.77","200.0","49.5","50.0","0.0","0.5","69.92","0.0","0.0","2562.73","2195.15","1.0"
"Occ.Pal.Terr","Belgium","2015.0","Import","310.0","9.92","25955.32","0.5","0.66","0.35","307.0","0.65","98.05","0.0","1.3","47.94","0.0","0.0","165.63","6100.25","4.65","4.62","307.0","46.91","50.81","0.0","2.28","100.0","0.0","0.0","4646.06","1619.83","1.0"
"Occ.Pal.Terr","Burkina Faso","2015.0","Import","2.0","0.06","243.62","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Bangladesh","2015.0","Import","23.0","0.74","344.71","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Bulgaria","2015.0","Import","117.0","3.74","4085.36","0.08","2.51","2.07","62.0","0.0","93.55","0.0","6.45","41.21","0.0","0.0","210.21","983.27","7.36","7.1","62.0","53.23","38.71","0.0","8.06","41.21","0.0","0.0","1092.84","100.65","1.0"
"Occ.Pal.Terr","Bahrain","2015.0","Import","14.0","0.45","6081.62","0.12","16.67","8.99","19.0","42.11","26.32","0.0","31.58","40.0","0.0","0.0","5965.54","51.6","16.67","8.99","19.0","42.11","26.32","0.0","31.58","40.0","0.0","0.0","5965.54","51.6",""
"Occ.Pal.Terr","Bosnia and Herzegovina","2015.0","Import","5.0","0.16","16.99","0.0","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","23.58","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","23.58",""
"Occ.Pal.Terr","Bolivia","2015.0","Import","1.0","0.03","39.97","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Brazil","2015.0","Import","118.0","3.78","37048.95","0.71","4.14","0.49","69.0","8.7","79.71","0.0","11.59","80.63","0.0","0.0","1192.6","45811.41","10.04","0.5","69.0","49.28","37.68","0.0","13.04","80.63","0.0","0.0","1219.34","45784.67","1.0"
"Occ.Pal.Terr","Canada","2015.0","Import","178.0","5.7","3266.51","0.06","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"Occ.Pal.Terr","Switzerland","2015.0","Import","233.0","7.46","51172.66","0.98","0.0","0.0","374.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","24882.67","4.2","1.32","374.0","45.19","54.28","0.0","0.53","25.0","0.0","0.0","7510.52","17372.16","1.0"
"Occ.Pal.Terr","Chile","2015.0","Import","13.0","0.42","524.53","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","China","2015.0","Import","2139.0","68.45","368037.04","7.04","5.64","6.33","1936.0","54.65","44.11","0.15","1.08","100.0","0.0","87.73","45644.33","25125.62","5.64","6.33","1936.0","54.65","44.11","0.15","1.08","100.0","0.0","87.73","45644.33","25125.62",""
"Occ.Pal.Terr","Cote d'Ivoire","2015.0","Import","2.0","0.06","66.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Cameroon","2015.0","Import","2.0","0.06","185.86","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Congo, Rep.","2015.0","Import","1.0","0.03","29.32","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Colombia","2015.0","Import","4.0","0.13","3020.74","0.06","1.56","1.11","11.0","36.36","63.64","0.0","0.0","5.0","0.0","0.0","272.65","0.0","1.56","1.11","11.0","36.36","63.64","0.0","0.0","5.0","0.0","0.0","272.65","0.0",""
"Occ.Pal.Terr","Costa Rica","2015.0","Import","7.0","0.22","1700.29","0.03","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occ.Pal.Terr","Cuba","2015.0","Import","1.0","0.03","43.12","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
