"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"French Polynesia","Afghanistan","2015.0","Import","1.0","0.03","0.25","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"French Polynesia","Angola","2015.0","Import","1.0","0.03","0.2","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"French Polynesia","Anguila","2015.0","Import","2.0","0.06","0.93","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"French Polynesia","Albania","2015.0","Import","21.0","0.61","92.15","0.01","11.2","12.98","19.0","100.0","0.0","0.0","0.0","15.0","4.0","0.0","104.96","0.0","11.2","12.98","19.0","100.0","0.0","0.0","0.0","15.0","4.0","0.0","104.96","0.0",""
"French Polynesia","Andorra","2015.0","Import","2.0","0.06","9.48","0.0","13.0","13.0","1.0","100.0","0.0","0.0","0.0","13.0","13.0","0.0","0.07","0.0","13.0","13.0","1.0","100.0","0.0","0.0","0.0","13.0","13.0","0.0","0.07","0.0",""
"French Polynesia","United Arab Emirates","2015.0","Import","48.0","1.4","420.39","0.03","10.48","9.83","54.0","85.19","14.81","0.0","0.0","15.0","0.0","0.0","1591.29","0.09","10.48","9.83","54.0","85.19","14.81","0.0","0.0","15.0","0.0","0.0","1591.29","0.09",""
"French Polynesia","Argentina","2015.0","Import","53.0","1.54","3562.44","0.23","7.65","1.58","93.0","80.65","19.35","0.0","0.0","15.0","0.0","0.0","519.2","3803.92","7.65","1.58","93.0","80.65","19.35","0.0","0.0","15.0","0.0","0.0","519.2","3803.92",""
"French Polynesia","Antigua and Barbuda","2015.0","Import","2.0","0.06","0.52","0.0","11.5","9.16","3.0","100.0","0.0","0.0","0.0","15.0","8.0","0.0","0.14","0.0","11.5","9.16","3.0","100.0","0.0","0.0","0.0","15.0","8.0","0.0","0.14","0.0",""
"French Polynesia","Australia","2015.0","Import","853.0","24.83","43752.35","2.87","9.56","5.34","1102.0","91.38","8.62","0.0","0.0","15.0","0.0","0.0","33330.97","18212.85","9.56","5.34","1102.0","91.38","8.62","0.0","0.0","15.0","0.0","0.0","33330.97","18212.85",""
"French Polynesia","Austria","2015.0","Import","307.0","8.94","2368.03","0.16","3.92","3.43","386.0","91.19","8.81","0.0","0.0","8.0","0.0","0.0","2802.87","301.05","9.61","10.51","386.0","94.82","5.18","0.0","0.0","15.0","0.0","0.0","3046.54","57.38","1.0"
"French Polynesia","Azerbaijan","2015.0","Import","1.0","0.03","0.14","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"French Polynesia","Burundi","2015.0","Import","1.0","0.03","0.42","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"French Polynesia","Belgium","2015.0","Import","827.0","24.08","22167.47","1.45","4.16","3.5","1091.0","90.83","9.17","0.0","0.0","10.0","0.0","0.0","28478.97","2325.78","9.08","7.62","1091.0","92.39","7.61","0.0","0.0","15.0","0.0","0.0","29903.06","901.69","1.0"
