"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Qatar","Afghanistan","2015.0","Import","44.0","1.06","214.73","0.0","3.88","3.09","112.0","88.39","11.61","0.0","0.0","5.0","0.0","0.0","132.79","81.94","3.88","3.09","112.0","88.39","11.61","0.0","0.0","5.0","0.0","0.0","132.79","81.94",""
"Qatar","Angola","2015.0","Import","9.0","0.22","15.0","0.0","4.44","4.99","30.0","96.67","3.33","0.0","0.0","5.0","0.0","0.0","14.98","0.03","4.44","4.99","30.0","96.67","3.33","0.0","0.0","5.0","0.0","0.0","14.98","0.03",""
"Qatar","Albania","2015.0","Import","143.0","3.44","2224.76","0.01","4.88","4.92","241.0","97.1","2.9","0.0","0.0","5.0","0.0","0.0","2222.19","2.57","4.88","4.92","241.0","97.1","2.9","0.0","0.0","5.0","0.0","0.0","2222.19","2.57",""
"Qatar","United Arab Emirates","2015.0","Import","2704.0","64.98","2860802.12","8.77","0.0","0.0","4720.0","0.0","99.77","0.23","0.0","0.0","0.0","859.66","859.66","2859680.48","4.54","4.62","4720.0","88.39","11.19","0.4","0.02","100.0","0.0","8200.65","2625370.28","235169.85","2.0"
"Qatar","Argentina","2015.0","Import","269.0","6.46","34117.68","0.1","3.92","1.97","599.0","78.8","20.2","1.0","0.0","5.0","0.0","215.89","13691.3","20426.13","3.92","1.97","599.0","78.8","20.2","1.0","0.0","5.0","0.0","215.89","13691.3","20426.13",""
"Qatar","Armenia","2015.0","Import","23.0","0.55","81.79","0.0","5.0","5.0","68.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","81.79","0.0","5.0","5.0","68.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","81.79","0.0",""
"Qatar","Antigua and Barbuda","2015.0","Import","8.0","0.19","4.47","0.0","4.38","4.96","13.0","92.31","7.69","0.0","0.0","5.0","0.0","0.0","4.44","0.04","4.38","4.96","13.0","92.31","7.69","0.0","0.0","5.0","0.0","0.0","4.44","0.04",""
"Qatar","Australia","2015.0","Import","1163.0","27.95","632302.22","1.94","4.27","3.1","2237.0","85.07","14.62","0.31","0.0","5.0","0.0","987.14","393818.38","238441.46","4.27","3.1","2237.0","85.07","14.62","0.31","0.0","5.0","0.0","987.14","393818.38","238441.46",""
"Qatar","Austria","2015.0","Import","1045.0","25.11","260108.91","0.8","4.43","4.41","2025.0","87.7","12.05","0.25","0.0","5.0","0.0","14.59","229507.98","30593.35","4.43","4.41","2025.0","87.7","12.05","0.25","0.0","5.0","0.0","14.59","229507.98","30593.35",""
"Qatar","Azerbaijan","2015.0","Import","38.0","0.91","526.93","0.0","4.61","4.92","88.0","86.36","13.64","0.0","0.0","5.0","0.0","0.0","518.49","8.45","4.61","4.92","88.0","86.36","13.64","0.0","0.0","5.0","0.0","0.0","518.49","8.45",""
"Qatar","Burundi","2015.0","Import","2.0","0.05","24.82","0.0","5.0","5.0","10.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","24.82","0.0","5.0","5.0","10.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","24.82","0.0",""
"Qatar","Belgium","2015.0","Import","1476.0","35.47","264745.67","0.81","4.53","3.4","2749.0","89.2","10.22","0.44","0.15","100.0","0.0","1186.47","180912.75","83827.13","4.53","3.4","2749.0","89.2","10.22","0.44","0.15","100.0","0.0","1186.47","180912.75","83827.13",""
"Qatar","Benin","2015.0","Import","2.0","0.05","39.11","0.0","2.5","2.57","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","20.1","19.01","2.5","2.57","2.0","50.0","50.0","0.0","0.0","5.0","0.0","0.0","20.1","19.01",""
"Qatar","Burkina Faso","2015.0","Import","3.0","0.07","0.71","0.0","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.71","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.71",""
"Qatar","Bangladesh","2015.0","Import","513.0","12.33","47723.58","0.15","4.8","4.55","999.0","93.59","5.71","0.7","0.0","5.0","0.0","185.17","43472.09","4247.99","4.8","4.55","999.0","93.59","5.71","0.7","0.0","5.0","0.0","185.17","43472.09","4247.99",""
"Qatar","Bulgaria","2015.0","Import","611.0","14.68","27738.33","0.09","4.64","4.91","1126.0","91.65","8.26","0.09","0.0","5.0","0.0","42.49","27245.79","491.13","4.64","4.91","1126.0","91.65","8.26","0.09","0.0","5.0","0.0","42.49","27245.79","491.13",""
"Qatar","Bahrain","2015.0","Import","773.0","18.58","289723.04","0.89","0.0","0.0","1591.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","289703.27","4.5","4.78","1591.0","88.94","10.94","0.13","0.0","5.0","0.0","42.51","277469.41","12233.86","2.0"
"Qatar","Bahamas, The","2015.0","Import","2.0","0.05","0.4","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.4","0.0","5.0","5.0","3.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","0.4","0.0",""
"Qatar","Bosnia and Herzegovina","2015.0","Import","155.0","3.73","1839.99","0.01","4.7","4.79","334.0","92.81","6.59","0.6","0.0","5.0","0.0","2.28","1810.48","29.52","4.7","4.79","334.0","92.81","6.59","0.6","0.0","5.0","0.0","2.28","1810.48","29.52",""
"Qatar","Belarus","2015.0","Import","129.0","3.1","4078.47","0.01","4.68","4.81","324.0","94.75","5.25","0.0","0.0","5.0","0.0","0.0","3922.6","155.86","4.68","4.81","324.0","94.75","5.25","0.0","0.0","5.0","0.0","0.0","3922.6","155.86",""
"Qatar","Bolivia","2015.0","Import","56.0","1.35","347.22","0.0","4.47","2.68","164.0","90.24","9.76","0.0","0.0","5.0","0.0","0.0","186.25","160.97","4.47","2.68","164.0","90.24","9.76","0.0","0.0","5.0","0.0","0.0","186.25","160.97",""
"Qatar","Brazil","2015.0","Import","778.0","18.7","548643.35","1.68","4.41","4.96","1487.0","87.76","11.7","0.54","0.0","5.0","0.0","1865.61","544183.38","4453.0","4.41","4.96","1487.0","87.76","11.7","0.54","0.0","5.0","0.0","1865.61","544183.38","4453.0",""
"Qatar","Brunei","2015.0","Import","6.0","0.14","38.32","0.0","4.17","5.0","30.0","73.33","26.67","0.0","0.0","5.0","0.0","0.0","38.3","0.03","4.17","5.0","30.0","73.33","26.67","0.0","0.0","5.0","0.0","0.0","38.3","0.03",""
"Qatar","Bhutan","2015.0","Import","10.0","0.24","34.48","0.0","4.28","3.48","23.0","78.26","21.74","0.0","0.0","5.0","0.0","0.0","32.72","1.76","4.28","3.48","23.0","78.26","21.74","0.0","0.0","5.0","0.0","0.0","32.72","1.76",""
"Qatar","Botswana","2015.0","Import","5.0","0.12","10.75","0.0","5.0","5.0","7.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","10.75","0.0","5.0","5.0","7.0","100.0","0.0","0.0","0.0","5.0","5.0","0.0","10.75","0.0",""
"Qatar","Central African Republic","2015.0","Import","4.0","0.1","0.68","0.0","2.5","3.85","7.0","71.43","28.57","0.0","0.0","5.0","0.0","0.0","0.53","0.16","2.5","3.85","7.0","71.43","28.57","0.0","0.0","5.0","0.0","0.0","0.53","0.16",""
"Qatar","Canada","2015.0","Import","1303.0","31.31","166069.33","0.51","4.34","3.92","2472.0","86.85","12.9","0.24","0.0","5.0","0.0","195.49","130254.64","35787.99","4.34","3.92","2472.0","86.85","12.9","0.24","0.0","5.0","0.0","195.49","130254.64","35787.99",""
"Qatar","Switzerland","2015.0","Import","1368.0","32.88","883865.44","2.71","0.18","0.05","2542.0","5.7","94.06","0.24","0.0","5.0","0.0","13231.87","22002.02","861857.75","4.48","3.42","2542.0","89.14","10.62","0.24","0.0","5.0","0.0","13231.87","608765.95","275093.83","2.0"
"Qatar","Chile","2015.0","Import","149.0","3.58","12265.14","0.04","3.44","2.52","332.0","74.4","23.8","1.81","0.0","5.0","0.0","703.87","6515.89","5749.25","3.44","2.52","332.0","74.4","23.8","1.81","0.0","5.0","0.0","703.87","6515.89","5749.25",""
"Qatar","China","2015.0","Import","3090.0","74.26","3765052.45","11.55","4.57","3.77","5104.0","90.24","9.38","0.37","0.0","5.0","0.0","2148.92","2843309.45","921561.71","4.57","3.77","5104.0","90.24","9.38","0.37","0.0","5.0","0.0","2148.92","2843309.45","921561.71",""
"Qatar","Cote d'Ivoire","2015.0","Import","32.0","0.77","1578.02","0.0","4.43","4.97","71.0","91.55","8.45","0.0","0.0","5.0","0.0","0.0","1567.13","10.89","4.43","4.97","71.0","91.55","8.45","0.0","0.0","5.0","0.0","0.0","1567.13","10.89",""
"Qatar","Cameroon","2015.0","Import","44.0","1.06","1050.07","0.0","4.37","4.97","93.0","89.25","10.75","0.0","0.0","5.0","0.0","0.0","1043.21","6.86","4.37","4.97","93.0","89.25","10.75","0.0","0.0","5.0","0.0","0.0","1043.21","6.86",""
"Qatar","Congo, Rep.","2015.0","Import","10.0","0.24","529.97","0.0","4.0","5.0","27.0","92.59","7.41","0.0","0.0","5.0","0.0","0.0","529.59","0.37","4.0","5.0","27.0","92.59","7.41","0.0","0.0","5.0","0.0","0.0","529.59","0.37",""
"Qatar","Colombia","2015.0","Import","164.0","3.94","2324.1","0.01","3.63","3.63","313.0","78.91","20.45","0.64","0.0","5.0","0.0","37.79","1686.07","637.95","3.63","3.63","313.0","78.91","20.45","0.64","0.0","5.0","0.0","37.79","1686.07","637.95",""
"Qatar","Comoros","2015.0","Import","23.0","0.55","258.95","0.0","0.0","0.0","33.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","258.95","4.58","4.27","33.0","93.94","6.06","0.0","0.0","5.0","0.0","0.0","221.15","37.81","1.0"
"Qatar","Cape Verde","2015.0","Import","4.0","0.1","12.9","0.0","3.75","4.6","4.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","11.87","1.04","3.75","4.6","4.0","75.0","25.0","0.0","0.0","5.0","0.0","0.0","11.87","1.04",""
"Qatar","Costa Rica","2015.0","Import","134.0","3.22","4159.91","0.01","3.01","2.66","288.0","65.97","33.68","0.35","0.0","5.0","0.0","0.35","2223.24","1931.26","3.01","2.66","288.0","65.97","33.68","0.35","0.0","5.0","0.0","0.35","2223.24","1931.26",""
"Qatar","Cuba","2015.0","Import","18.0","0.43","2671.48","0.01","4.23","2.09","39.0","76.92","7.69","15.38","0.0","5.0","0.0","2435.18","2534.1","137.38","4.23","2.09","39.0","76.92","7.69","15.38","0.0","5.0","0.0","2435.18","2534.1","137.38",""
"Qatar","Curaçao","2015.0","Import","1.0","0.02","2.81","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2.81","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2.81",""
"Qatar","Cyprus","2015.0","Import","184.0","4.42","8345.42","0.03","4.37","2.6","407.0","85.5","14.5","0.0","0.0","5.0","0.0","0.0","4333.55","4011.63","4.37","2.6","407.0","85.5","14.5","0.0","0.0","5.0","0.0","0.0","4333.55","4011.63",""
"Qatar","Czech Republic","2015.0","Import","1011.0","24.3","161667.8","0.5","4.48","3.01","1932.0","88.98","10.82","0.21","0.0","5.0","0.0","2424.51","98693.92","62973.87","4.48","3.01","1932.0","88.98","10.82","0.21","0.0","5.0","0.0","2424.51","98693.92","62973.87",""
"Qatar","Germany","2015.0","Import","2708.0","65.08","2442326.01","7.49","4.54","4.65","4621.0","89.16","10.3","0.54","0.0","5.0","0.0","39809.81","2277120.38","165038.67","4.54","4.65","4621.0","89.16","10.3","0.54","0.0","5.0","0.0","39809.81","2277120.38","165038.67",""
"Qatar","Djibouti","2015.0","Import","11.0","0.26","703.78","0.0","0.0","0.0","18.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","703.78","2.08","0.15","18.0","44.44","55.56","0.0","0.0","5.0","0.0","0.0","21.36","682.42","1.0"
"Qatar","Denmark","2015.0","Import","972.0","23.36","102492.26","0.31","4.53","3.65","1884.0","87.53","11.73","0.53","0.21","100.0","0.0","2585.41","75369.63","27117.1","4.53","3.65","1884.0","87.53","11.73","0.53","0.21","100.0","0.0","2585.41","75369.63","27117.1",""
"Qatar","Dominican Republic","2015.0","Import","115.0","2.76","3391.9","0.01","4.4","4.7","246.0","84.15","14.63","1.22","0.0","5.0","0.0","156.24","3198.59","193.26","4.4","4.7","246.0","84.15","14.63","1.22","0.0","5.0","0.0","156.24","3198.59","193.26",""
"Qatar","Algeria","2015.0","Import","40.0","0.96","1918.86","0.01","0.0","0.0","91.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1918.78","2.68","0.13","91.0","65.93","34.07","0.0","0.0","5.0","0.0","0.0","48.05","1870.74","1.0"
"Qatar","East Asia & Pacific","2015.0","Import","3517.0","84.52","9060595.09","27.78","4.29","4.02","31159.0","84.32","15.36","0.31","0.0","5.0","0.0","13056.22","7328370.38","1731489.41","4.51","4.08","5788.0","88.77","10.68","0.1","0.0","5.0","0.0","13056.22","7431411.31","1628448.48","1.0"
"Qatar","Europe & Central Asia","2015.0","Import","3759.0","90.34","11334184.64","34.76","4.27","4.04","62645.0","83.87","15.72","0.37","0.04","100.0","0.0","104572.22","9201474.65","2131625.52","4.57","4.32","6055.0","88.42","10.73","0.07","0.02","100.0","0.0","104572.22","9820574.79","1512525.39","8.0"
"Qatar","Ecuador","2015.0","Import","97.0","2.33","6485.28","0.02","3.63","4.66","202.0","80.2","19.31","0.5","0.0","5.0","0.0","6.02","6037.81","447.45","3.63","4.66","202.0","80.2","19.31","0.5","0.0","5.0","0.0","6.02","6037.81","447.45",""
"Qatar","Egypt, Arab Rep.","2015.0","Import","1249.0","30.02","361095.42","1.11","0.0","0.0","2482.0","0.0","99.76","0.24","0.0","0.0","0.0","431.06","431.06","360648.89","4.6","4.43","2482.0","86.78","12.45","0.36","0.4","100.0","0.0","817.78","309358.93","51721.02","1.0"
