"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Russian Federation","Aruba","2015.0","Import","3.0","0.07","11.05","0.0","0.0","0.0","5.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","11.05","11.27","12.49","5.0","100.0","0.0","0.0","0.0","16.3","5.0","0.0","11.05","0.0","2.0"
"Russian Federation","Afghanistan","2015.0","Import","9.0","0.2","9100.74","0.01","4.25","0.0","50.0","64.0","36.0","0.0","0.0","14.6","0.0","0.0","4.97","9095.77","4.81","5.0","50.0","70.0","30.0","0.0","0.0","14.6","0.0","0.0","9098.42","2.33","1.0"
"Russian Federation","Angola","2015.0","Import","6.0","0.14","20.23","0.0","5.65","4.64","27.0","51.85","44.44","0.0","3.7","15.2","0.0","0.0","16.38","3.86","6.48","5.59","27.0","62.96","33.33","0.0","3.7","15.2","0.0","0.0","20.23","0.0","1.0"
"Russian Federation","Anguila","2015.0","Import","16.0","0.36","214.25","0.0","0.0","0.0","91.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","214.25","5.41","4.33","91.0","42.86","17.58","0.0","39.56","17.0","0.0","0.0","211.82","2.42","2.0"
"Russian Federation","Albania","2015.0","Import","157.0","3.54","12224.93","0.01","9.63","8.73","463.0","33.91","5.62","0.22","60.26","20.0","0.0","4026.16","12201.53","23.4","9.74","8.77","463.0","33.91","5.62","0.22","60.26","20.0","0.0","4026.16","12201.53","23.4","1.0"
"Russian Federation","Andorra","2015.0","Import","12.0","0.27","686.57","0.0","8.69","11.96","68.0","77.94","20.59","0.0","1.47","17.7","0.0","0.0","686.57","0.0","8.69","11.96","68.0","77.94","20.59","0.0","1.47","17.7","0.0","0.0","686.57","0.0",""
"Russian Federation","United Arab Emirates","2015.0","Import","475.0","10.72","162394.0","0.09","0.0","0.0","1650.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","162394.0","7.98","5.11","1650.0","66.06","18.73","0.48","14.73","18.3","0.0","42.71","105088.25","57305.74","2.0"
"Russian Federation","Argentina","2015.0","Import","366.0","8.26","827053.2","0.45","0.0","0.0","1612.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","827053.2","7.08","6.83","1612.0","65.01","21.84","1.74","11.41","80.0","0.0","13451.4","544800.43","282252.77","2.0"
"Russian Federation","Armenia","2015.0","Import","386.0","8.71","175831.85","0.1","0.0","0.0","1645.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","175831.85","8.47","6.1","1645.0","59.27","11.79","4.32","24.62","80.0","0.0","5340.46","172602.46","3229.39","2.0"
"Russian Federation","American Samoa","2015.0","Import","3.0","0.07","1.08","0.0","0.0","0.0","20.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1.08","3.36","1.28","20.0","35.0","20.0","0.0","45.0","14.6","0.0","0.0","1.0","0.08","1.0"
"Russian Federation","Antarctica","2015.0","Import","2.0","0.05","27.12","0.0","8.0","5.69","2.0","50.0","0.0","0.0","50.0","11.0","5.0","0.0","27.12","0.0","8.0","5.69","2.0","50.0","0.0","0.0","50.0","11.0","5.0","0.0","27.12","0.0",""
"Russian Federation","Fr. So. Ant. Tr","2015.0","Import","1.0","0.02","0.34","0.0","0.0","0.0","3.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.34","5.1","5.1","3.0","66.67","33.33","0.0","0.0","10.3","0.0","0.0","0.34","0.0","1.0"
"Russian Federation","Antigua and Barbuda","2015.0","Import","3.0","0.07","68.75","0.0","0.0","0.0","20.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","68.75","4.43","4.0","20.0","55.0","45.0","0.0","0.0","10.0","0.0","0.0","68.75","0.0","2.0"
"Russian Federation","Australia","2015.0","Import","691.0","15.59","575413.53","0.31","6.68","1.77","2461.0","65.01","23.08","1.91","10.0","19.0","0.0","931.51","168522.79","406890.74","6.68","1.77","2461.0","65.01","23.08","1.91","10.0","19.0","0.0","931.51","168522.79","406890.74",""
"Russian Federation","Austria","2015.0","Import","1874.0","42.27","1751612.74","0.96","7.26","4.78","5511.0","66.45","19.16","3.28","11.11","20.0","0.0","149849.66","1273601.92","478010.82","7.26","4.78","5511.0","66.45","19.16","3.28","11.11","20.0","0.0","149849.66","1273601.92","478010.82",""
"Russian Federation","Azerbaijan","2015.0","Import","176.0","3.97","440921.95","0.24","0.0","0.0","952.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","440921.95","7.44","8.04","952.0","66.39","9.66","8.19","15.76","18.0","0.0","4446.37","410177.18","30744.77","2.0"
"Russian Federation","Burundi","2015.0","Import","2.0","0.05","1216.22","0.0","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1216.22","0.0","0.0","4.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1216.22","1.0"
"Russian Federation","Belgium","2015.0","Import","1944.0","43.85","1868686.17","1.02","7.13","5.59","5483.0","67.94","17.82","2.35","11.89","21.7","0.0","105955.1","1666936.09","201750.09","7.13","5.59","5483.0","67.94","17.82","2.35","11.89","21.7","0.0","105955.1","1666936.09","201750.09",""
"Russian Federation","Benin","2015.0","Import","6.0","0.14","33.51","0.0","4.13","3.53","32.0","9.38","81.25","0.0","9.38","15.0","0.0","0.0","12.07","21.44","8.77","6.28","32.0","87.5","0.0","0.0","12.5","17.5","3.0","0.0","33.51","0.0","1.0"
"Russian Federation","Burkina Faso","2015.0","Import","5.0","0.11","43.57","0.0","5.4","1.76","11.0","54.55","45.45","0.0","0.0","18.0","0.0","0.0","8.69","34.88","8.5","5.23","11.0","90.91","9.09","0.0","0.0","18.0","0.0","0.0","43.57","0.0","1.0"
"Russian Federation","Bangladesh","2015.0","Import","339.0","7.65","579036.17","0.32","9.94","8.26","752.0","38.03","11.04","0.0","50.93","20.0","0.0","0.0","523026.79","56009.38","10.76","8.82","752.0","45.08","3.19","0.0","51.73","20.0","0.0","0.0","579028.2","7.97","1.0"
