"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Rwanda","Aruba","2015.0","Import","4.0","0.11","2.03","0.0","17.5","23.99","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","2.03","0.0","17.5","23.99","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","2.03","0.0",""
"Rwanda","Angola","2015.0","Import","5.0","0.14","36.47","0.0","6.25","4.01","3.0","33.33","66.67","0.0","0.0","25.0","0.0","0.0","0.15","0.31","6.25","4.01","3.0","33.33","66.67","0.0","0.0","25.0","0.0","0.0","0.15","0.31",""
"Rwanda","Anguila","2015.0","Import","1.0","0.03","0.61","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.15",""
"Rwanda","Albania","2015.0","Import","3.0","0.09","2.24","0.0","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14","0.0","0.0","1.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.14",""
"Rwanda","Andorra","2015.0","Import","23.0","0.66","5.72","0.0","16.25","19.73","15.0","93.33","6.67","0.0","0.0","25.0","0.0","0.0","11.33","1.15","16.25","19.73","15.0","93.33","6.67","0.0","0.0","25.0","0.0","0.0","11.33","1.15",""
"Rwanda","United Arab Emirates","2015.0","Import","1968.0","56.41","95052.39","5.12","15.7","10.89","2192.0","75.59","23.91","0.0","0.5","100.0","0.0","0.0","103992.71","22029.53","15.7","10.89","2192.0","75.59","23.91","0.0","0.5","100.0","0.0","0.0","103992.71","22029.53",""
"Rwanda","Argentina","2015.0","Import","13.0","0.37","309.07","0.02","12.0","0.09","5.0","60.0","40.0","0.0","0.0","25.0","0.0","0.0","0.91","142.34","12.0","0.09","5.0","60.0","40.0","0.0","0.0","25.0","0.0","0.0","0.91","142.34",""
"Rwanda","Armenia","2015.0","Import","1.0","0.03","126.39","0.01","17.5","17.06","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","0.83","0.0","17.5","17.06","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","0.83","0.0",""
"Rwanda","Australia","2015.0","Import","76.0","2.18","4488.17","0.24","15.35","24.46","49.0","59.18","38.78","0.0","2.04","35.0","0.0","0.0","1811.99","678.91","15.35","24.46","49.0","59.18","38.78","0.0","2.04","35.0","0.0","0.0","1811.99","678.91",""
"Rwanda","Austria","2015.0","Import","45.0","1.29","1204.45","0.06","12.11","3.31","56.0","60.71","39.29","0.0","0.0","25.0","0.0","0.0","301.47","767.82","12.11","3.31","56.0","60.71","39.29","0.0","0.0","25.0","0.0","0.0","301.47","767.82",""
"Rwanda","Azerbaijan","2015.0","Import","3.0","0.09","11.77","0.0","17.5","10.06","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","2.39","0.0","17.5","10.06","2.0","100.0","0.0","0.0","0.0","25.0","10.0","0.0","2.39","0.0",""
"Rwanda","Burundi","2015.0","Import","407.0","11.67","8746.4","0.47","0.0","0.0","494.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","6738.06","18.4","22.49","494.0","78.14","21.05","0.0","0.81","60.0","0.0","0.0","6122.31","615.75","2.0"
