"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Saudi Arabia","Aruba","2015.0","Import","12.0","0.3","1693.87","0.0","5.0","5.81","32.0","90.63","9.38","0.0","0.0","15.0","0.0","0.0","1556.54","137.33","5.0","5.81","32.0","90.63","9.38","0.0","0.0","15.0","0.0","0.0","1556.54","137.33",""
"Saudi Arabia","Afghanistan","2015.0","Import","5.0","0.13","626.13","0.0","4.17","2.6","16.0","93.75","6.25","0.0","0.0","5.0","0.0","0.0","326.13","300.0","4.17","2.6","16.0","93.75","6.25","0.0","0.0","5.0","0.0","0.0","326.13","300.0",""
"Saudi Arabia","Albania","2015.0","Import","16.0","0.41","6374.94","0.0","5.0","4.95","25.0","96.0","4.0","0.0","0.0","10.0","0.0","0.0","6271.21","103.73","5.0","4.95","25.0","96.0","4.0","0.0","0.0","10.0","0.0","0.0","6271.21","103.73",""
"Saudi Arabia","United Arab Emirates","2015.0","Import","1224.0","31.11","8589267.54","5.24","5.3","4.61","2516.0","88.95","10.57","0.48","0.0","40.0","0.0","54021.4","5918999.38","2669945.74","5.3","4.61","2516.0","88.95","10.57","0.48","0.0","40.0","0.0","54021.4","5918999.38","2669945.74",""
"Saudi Arabia","Argentina","2015.0","Import","96.0","2.44","510213.97","0.31","4.49","1.21","174.0","78.16","20.11","1.72","0.0","15.0","0.0","1652.0","120118.82","390095.16","4.49","1.21","174.0","78.16","20.11","1.72","0.0","15.0","0.0","1652.0","120118.82","390095.16",""
"Saudi Arabia","Armenia","2015.0","Import","3.0","0.08","1148.0","0.0","10.17","11.83","11.0","100.0","0.0","0.0","0.0","12.0","6.5","0.0","1148.0","0.0","10.17","11.83","11.0","100.0","0.0","0.0","0.0","12.0","6.5","0.0","1148.0","0.0",""
"Saudi Arabia","Australia","2015.0","Import","468.0","11.89","1801407.32","1.1","4.49","4.34","999.0","80.78","18.92","0.3","0.0","20.0","0.0","140.27","1544788.05","256509.92","4.49","4.34","999.0","80.78","18.92","0.3","0.0","20.0","0.0","140.27","1544788.05","256509.92",""
"Saudi Arabia","Austria","2015.0","Import","639.0","16.24","961470.0","0.59","5.05","3.91","1242.0","88.89","10.55","0.56","0.0","20.0","0.0","320.8","726535.31","234900.56","5.05","3.91","1242.0","88.89","10.55","0.56","0.0","20.0","0.0","320.8","726535.31","234900.56",""
"Saudi Arabia","Azerbaijan","2015.0","Import","1.0","0.03","51.73","0.0","7.63","7.63","8.0","100.0","0.0","0.0","0.0","12.0","5.0","0.0","51.73","0.0","7.63","7.63","8.0","100.0","0.0","0.0","0.0","12.0","5.0","0.0","51.73","0.0",""
"Saudi Arabia","Belgium","2015.0","Import","802.0","20.38","1183547.35","0.72","5.09","4.16","1686.0","89.21","10.26","0.53","0.0","20.0","0.0","7758.41","890150.17","293397.16","5.09","4.16","1686.0","89.21","10.26","0.53","0.0","20.0","0.0","7758.41","890150.17","293397.16",""
"Saudi Arabia","Benin","2015.0","Import","3.0","0.08","589.07","0.0","1.67","3.68","5.0","20.0","80.0","0.0","0.0","5.0","0.0","0.0","433.6","155.47","1.67","3.68","5.0","20.0","80.0","0.0","0.0","5.0","0.0","0.0","433.6","155.47",""
"Saudi Arabia","Bangladesh","2015.0","Import","220.0","5.59","341701.49","0.21","5.3","5.09","434.0","90.09","9.22","0.69","0.0","15.0","0.0","231.2","332839.61","8861.88","5.3","5.09","434.0","90.09","9.22","0.69","0.0","15.0","0.0","231.2","332839.61","8861.88",""
