"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Senegal","Afghanistan","2015.0","Import","17.0","0.48","303.24","0.01","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","Angola","2015.0","Import","52.0","1.46","17346.81","0.31","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","Albania","2015.0","Import","252.0","7.05","8517.85","0.15","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","United Arab Emirates","2015.0","Import","1243.0","34.79","132058.46","2.36","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","Argentina","2015.0","Import","24.0","0.67","58347.29","1.04","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","Antigua and Barbuda","2015.0","Import","26.0","0.73","12009.35","0.21","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","Australia","2015.0","Import","350.0","9.8","12287.36","0.22","11.7","12.1","298.0","97.65","2.35","0.0","0.0","35.0","0.0","0.0","16522.78","54.73","11.7","12.1","298.0","97.65","2.35","0.0","0.0","35.0","0.0","0.0","16522.78","54.73",""
"Senegal","Austria","2015.0","Import","148.0","4.14","6499.46","0.12","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","Azerbaijan","2015.0","Import","7.0","0.2","3555.61","0.06","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","Burundi","2015.0","Import","2.0","0.06","6.5","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
