"Reporter Name","Partner Name","Year","Trade Flow","No Of imported HS6 digit Products","Import Share in Total Products (%)","Import (US$ Thousand)","Import Partner Share (%)","AHS Simple Average (%)","AHS Weighted Average (%)","AHS Total Tariff Lines","AHS Dutiable Tariff Lines Share (%)","AHS Duty Free Tariff Lines Share (%)","AHS Specific Tariff Lines Share (%)","AHS AVE Tariff Lines Share (%)","AHS MaxRate (%)","AHS MinRate (%)","AHS SpecificDuty Imports(US$ Thousand)","AHS Dutiable Imports (US$ Thousand)","AHS Duty Free Imports (US$ Thousand)","MFN Simple Average (%)","MFN Weighted Average (%)","MFN Total Tariff Lines","MFN Dutiable Tariff Lines Share (%)","MFN Duty Free Tariff Lines Share (%)","MFN Specific Tariff Lines Share (%)","MFN AVE Tariff Lines Share (%)","MFN MaxRate (%)","MFN MinRate (%)","MFN SpecificDuty Imports (US$ Thousand)","MFN Dutiable Imports (US$ Thousand)","MFN Duty Free Imports (US$ Thousand)","No Of Tariff Agreement"
"Singapore","Aruba","2015.0","Import","5.0","0.12","2047.75","0.0","0.0","0.0","25.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2046.74","0.0","0.0","25.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2046.74",""
"Singapore","Afghanistan","2015.0","Import","12.0","0.28","217.67","0.0","0.0","0.0","70.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","216.82","0.0","0.0","70.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","216.82",""
"Singapore","Angola","2015.0","Import","68.0","1.57","1875.95","0.0","0.0","0.0","266.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1597.33","0.0","0.0","266.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","1597.33",""
"Singapore","Anguila","2015.0","Import","6.0","0.14","47.37","0.0","0.0","0.0","36.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","47.33","0.0","0.0","36.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","47.33",""
"Singapore","Albania","2015.0","Import","57.0","1.32","166.94","0.0","0.0","0.0","205.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","166.94","0.0","0.0","205.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","166.94",""
"Singapore","Andorra","2015.0","Import","30.0","0.69","359.98","0.0","0.0","0.0","132.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","352.35","0.0","0.0","132.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","352.35",""
"Singapore","United Arab Emirates","2015.0","Import","1159.0","26.8","8161139.33","2.75","0.0","0.0","3153.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","8143310.68","0.38","0.01","3153.0","0.0","99.81","0.0","0.19","447.86","0.0","0.0","141.25","8143169.43","1.0"
"Singapore","Argentina","2015.0","Import","340.0","7.86","149067.89","0.05","1.28","0.0","1174.0","0.0","99.83","0.0","0.17","447.86","0.0","0.0","0.03","135342.44","1.28","0.0","1174.0","0.0","99.83","0.0","0.17","447.86","0.0","0.0","0.03","135342.44",""
"Singapore","Armenia","2015.0","Import","33.0","0.76","2364.68","0.0","0.0","0.0","154.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2356.99","0.0","0.0","154.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2356.99",""
"Singapore","American Samoa","2015.0","Import","23.0","0.53","448.15","0.0","0.0","0.0","85.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","448.15","0.0","0.0","85.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","448.15",""
"Singapore","Fr. So. Ant. Tr","2015.0","Import","5.0","0.12","114.88","0.0","0.0","0.0","8.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","114.88","0.0","0.0","8.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","114.88",""
"Singapore","Antigua and Barbuda","2015.0","Import","7.0","0.16","914.47","0.0","0.0","0.0","49.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","914.29","0.0","0.0","49.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","914.29",""
"Singapore","Australia","2015.0","Import","2654.0","61.36","3212725.27","1.08","0.0","0.0","6164.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2987415.12","0.16","0.25","6164.0","0.0","99.9","0.0","0.1","447.86","0.0","0.0","1962.91","2985452.21","2.0"
"Singapore","Austria","2015.0","Import","1281.0","29.62","1052580.15","0.35","0.35","0.03","3532.0","0.0","99.83","0.0","0.17","447.86","0.0","0.0","145.09","1041605.65","0.35","0.03","3532.0","0.0","99.83","0.0","0.17","447.86","0.0","0.0","145.09","1041605.65",""
"Singapore","Azerbaijan","2015.0","Import","29.0","0.67","239.59","0.0","0.0","0.0","81.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","238.77","0.0","0.0","81.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","238.77",""
"Singapore","Burundi","2015.0","Import","12.0","0.28","15.1","0.0","0.0","0.0","20.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","15.1","0.0","0.0","20.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","15.1",""
"Singapore","Belgium","2015.0","Import","2095.0","48.44","1322273.86","0.45","0.21","3.21","4868.0","0.0","99.88","0.0","0.12","447.86","0.0","0.0","9142.64","1265753.4","0.21","3.21","4868.0","0.0","99.88","0.0","0.12","447.86","0.0","0.0","9142.64","1265753.4",""
"Singapore","Benin","2015.0","Import","5.0","0.12","446.37","0.0","0.0","0.0","28.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","446.37","0.0","0.0","28.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","446.37",""
"Singapore","Burkina Faso","2015.0","Import","4.0","0.09","385.87","0.0","0.0","0.0","36.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","385.86","0.0","0.0","36.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","385.86",""
"Singapore","Bangladesh","2015.0","Import","609.0","14.08","152336.31","0.05","0.0","0.0","1696.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","150556.13","0.0","0.0","1696.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","150556.13",""
"Singapore","Bulgaria","2015.0","Import","535.0","12.37","291204.26","0.1","0.85","0.07","1624.0","0.0","99.63","0.0","0.37","447.86","0.0","0.0","42.45","287837.76","0.85","0.07","1624.0","0.0","99.63","0.0","0.37","447.86","0.0","0.0","42.45","287837.76",""
"Singapore","Bahrain","2015.0","Import","97.0","2.24","198045.07","0.07","0.0","0.0","422.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","197977.76","0.0","0.0","422.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","197977.76","1.0"
"Singapore","Bahamas, The","2015.0","Import","40.0","0.92","9826.82","0.0","11.88","2.35","143.0","0.0","95.8","0.0","4.2","447.86","0.0","0.0","51.65","9765.47","11.88","2.35","143.0","0.0","95.8","0.0","4.2","447.86","0.0","0.0","51.65","9765.47",""
"Singapore","Bosnia and Herzegovina","2015.0","Import","128.0","2.96","2056.98","0.0","0.0","0.0","434.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2048.49","0.0","0.0","434.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","2048.49",""
"Singapore","Belarus","2015.0","Import","117.0","2.71","130936.13","0.04","3.7","0.0","356.0","0.0","99.44","0.0","0.56","447.86","0.0","0.0","0.36","130934.21","3.7","0.0","356.0","0.0","99.44","0.0","0.56","447.86","0.0","0.0","0.36","130934.21",""
"Singapore","Belize","2015.0","Import","23.0","0.53","579.52","0.0","0.0","0.0","125.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","478.56","0.0","0.0","125.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","478.56",""
"Singapore","Bermuda","2015.0","Import","8.0","0.19","37.32","0.0","1.71","0.03","33.0","0.0","87.88","0.0","12.12","34.56","0.0","0.0","0.08","37.24","1.71","0.03","33.0","0.0","87.88","0.0","12.12","34.56","0.0","0.0","0.08","37.24",""
"Singapore","Bolivia","2015.0","Import","22.0","0.51","31169.06","0.01","0.0","0.0","43.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","31164.29","0.0","0.0","43.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","31164.29",""
"Singapore","Brazil","2015.0","Import","972.0","22.47","1381521.54","0.47","0.46","0.0","2780.0","0.0","99.78","0.0","0.22","447.86","0.0","0.0","2.17","1371625.09","0.46","0.0","2780.0","0.0","99.78","0.0","0.22","447.86","0.0","0.0","2.17","1371625.09",""
"Singapore","Barbados","2015.0","Import","15.0","0.35","309.26","0.0","0.0","0.0","37.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","308.1","0.0","0.0","37.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","308.1",""
"Singapore","Brunei","2015.0","Import","404.0","9.34","137810.86","0.05","0.0","0.0","1503.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","136464.53","0.0","0.0","1503.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","136464.53","3.0"
"Singapore","Bhutan","2015.0","Import","26.0","0.6","113.88","0.0","0.0","0.0","95.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","112.34","0.0","0.0","95.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","112.34",""
